,age,age_origin
"Ajellomyces_capsulatus_24760069:Ajellomyces capsulatus
",1-17岁,young
"Ajellomyces_capsulatus_2476103:Ajellomyces capsulatus
",17-65岁,59
"Ajellomyces_capsulatus_24856525:Ajellomyces capsulatus
",none,describes
"Ajellomyces_capsulatus_25351289:Ajellomyces capsulatus
",>65岁,"1999 to 2011, 226 cases (10.1%) were positive for GLD. One hundred ninety"
"Ajellomyces_capsulatus_25802128:Ajellomyces capsulatus
",1-17岁,6-year old
"Ajellomyces_capsulatus_26449511:Ajellomyces capsulatus
",17-65岁,60
"Ajellomyces_capsulatus_26744657:Ajellomyces capsulatus
",none,urban
"Ajellomyces_capsulatus_26896884:Ajellomyces capsulatus
",17-65岁,33-year-old
"Ajellomyces_capsulatus_26897068:Ajellomyces capsulatus
",none,patients
"Ajellomyces_capsulatus_26974302:Ajellomyces capsulatus
",none,HIV
"Ajellomyces_capsulatus_27837497:Ajellomyces capsulatus
",none,most
"Ajellomyces_capsulatus_27927829:Ajellomyces capsulatus
",17-65岁,19-year-old
"Ajellomyces_capsulatus_27997332:Ajellomyces capsulatus
",none,we
"Ajellomyces_capsulatus_28080991:Ajellomyces capsulatus
",17-65岁,30
"Ajellomyces_capsulatus_28161740:Ajellomyces capsulatus
",17-65岁,15-50
"Ajellomyces_capsulatus_28384860:Ajellomyces capsulatus
",>65岁,71
"Ajellomyces_capsulatus_28797489:Ajellomyces capsulatus
",none,patients
"Ajellomyces_capsulatus_29374650:Ajellomyces capsulatus
",17-65岁,44-year-old
"Ajellomyces_capsulatus_29519625:Ajellomyces capsulatus
",17-65岁,34-year-old
"Ajellomyces_capsulatus_29744231:Ajellomyces capsulatus
",1-17岁,thirteen
"Ajellomyces_capsulatus_2986505:Ajellomyces capsulatus
",none,alone
"Ajellomyces_capsulatus_29942759:Ajellomyces capsulatus
",17-65岁,53-year-old
"Ajellomyces_capsulatus_30114999:Ajellomyces capsulatus
",none,with
"Ajellomyces_capsulatus_30584503:Ajellomyces capsulatus
",17-65岁,52-year-old
"Ajellomyces_capsulatus_30898964:Ajellomyces capsulatus
",17-65岁,adult
"Ajellomyces_capsulatus_31207386:Ajellomyces capsulatus
",>65岁,289
"Ajellomyces_capsulatus_31316875:Ajellomyces capsulatus
",>65岁,71-year-old
"Ajellomyces_capsulatus_31414001:Ajellomyces capsulatus
",17-65岁,48.1 vs 56
"Ajellomyces_capsulatus_31955178:Ajellomyces capsulatus
",>65岁,75-year-old
"Ajellomyces_capsulatus_320285:Ajellomyces capsulatus
",>65岁,older
"Ajellomyces_capsulatus_32340747:Ajellomyces capsulatus
",>65岁,2019
"Ajellomyces_capsulatus_32928557:Ajellomyces capsulatus
",17-65岁,24
"Ajellomyces_capsulatus_3317978:Ajellomyces capsulatus
",none,recipient
"Ajellomyces_capsulatus_33718797:Ajellomyces capsulatus
",none,Together
"Ajellomyces_capsulatus_33775537:Ajellomyces capsulatus
",>65岁,213
"Ajellomyces_capsulatus_33819269:Ajellomyces capsulatus
",17-65岁,61
"Ajellomyces_capsulatus_34036653:Ajellomyces capsulatus
",none,ensuing
"Ajellomyces_capsulatus_34037087:Ajellomyces capsulatus
",none,literature
"Ajellomyces_capsulatus_34055523:Ajellomyces capsulatus
",17-65岁,43-year-old
"Ajellomyces_capsulatus_34068825:Ajellomyces capsulatus
",none,present
"Ajellomyces_capsulatus_34098976:Ajellomyces capsulatus
",1-17岁,9
"Ajellomyces_capsulatus_34139578:Ajellomyces capsulatus
",none,recipients
"Ajellomyces_capsulatus_34153725:Ajellomyces capsulatus
",>65岁,68-year-old
"Ajellomyces_capsulatus_34175216:Ajellomyces capsulatus
",none,an immunocompetent
"Ajellomyces_capsulatus_34199970:Ajellomyces capsulatus
",1-17岁,9.5 +- 5
"Ajellomyces_capsulatus_34236777:Ajellomyces capsulatus
",1-17岁,16
"Ajellomyces_capsulatus_34239744:Ajellomyces capsulatus
",17-65岁,34-year-old
"Ajellomyces_capsulatus_34251468:Ajellomyces capsulatus
",17-65岁,61-year-old
"Ajellomyces_capsulatus_34277293:Ajellomyces capsulatus
",17-65岁,Adult
"Ajellomyces_capsulatus_34356955:Ajellomyces capsulatus
",17-65岁,17
"Ajellomyces_capsulatus_34422265:Ajellomyces capsulatus
",none,", increasing"
"Ajellomyces_capsulatus_34474909:Ajellomyces capsulatus
",1-17岁,Eight
"Ajellomyces_capsulatus_34513158:Ajellomyces capsulatus
",17-65岁,44-year-old
"Ajellomyces_capsulatus_34549067:Ajellomyces capsulatus
",17-65岁,57-year-old
"Ajellomyces_capsulatus_34557565:Ajellomyces capsulatus
",1-17岁,two
"Ajellomyces_capsulatus_34747375:Ajellomyces capsulatus
",17-65岁,adult
"Ajellomyces_capsulatus_34874582:Ajellomyces capsulatus
",>65岁,76
"Ajellomyces_capsulatus_350045:Ajellomyces capsulatus
",17-65岁,58
"Ajellomyces_capsulatus_416862:Ajellomyces capsulatus
",17-65岁,20
"Ajellomyces_capsulatus_4397883:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_6252645:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_6974996:Ajellomyces capsulatus
",>65岁,92
"Ajellomyces_capsulatus_7985710:Ajellomyces capsulatus
",1-17岁,7
"Ajellomyces_capsulatus_7991523:Ajellomyces capsulatus
",17-65岁,21 to 60
"Ajellomyces_capsulatus_8020389:Ajellomyces capsulatus
",17-65岁,35-year-old
"Ajellomyces_capsulatus_8093636:Ajellomyces capsulatus
",>65岁,68
"Ajellomyces_capsulatus_9298723:Ajellomyces capsulatus
",none,-
"Ajellomyces_capsulatus_9446191:Ajellomyces capsulatus
",none,"malignancy,"
"Ajellomyces_capsulatus_9676066:Ajellomyces capsulatus
",none,farm-dwelling
"Ajellomyces_capsulatus_9894949:Ajellomyces capsulatus
",none,some time
"Ajellomyces_crescens_1238904:Ajellomyces crescens
",1-17岁,young
"Ajellomyces_crescens_12462193:Ajellomyces crescens
",none,a
"Ajellomyces_crescens_15094906:Ajellomyces crescens
",17-65岁,sixty-year-old
"Ajellomyces_crescens_16772233:Ajellomyces crescens
",none,animal
"Ajellomyces_crescens_17425208:Ajellomyces crescens
",none,fungal infection.
"Ajellomyces_crescens_19244459:Ajellomyces crescens
",none,immunocompetent
"Ajellomyces_crescens_19734484:Ajellomyces crescens
",none,the UK
"Ajellomyces_crescens_22259200:Ajellomyces crescens
",17-65岁,27-year-old
"Ajellomyces_crescens_22493137:Ajellomyces crescens
",1-17岁,young
"Ajellomyces_crescens_2331914:Ajellomyces crescens
",none,considered
"Ajellomyces_crescens_25787928:Ajellomyces crescens
",none,a
"Ajellomyces_crescens_5166527:Ajellomyces crescens
",1-17岁,11-year-old
"Ajellomyces_crescens_5408596:Ajellomyces crescens
",none,method
"Ajellomyces_crescens_5507021:Ajellomyces crescens
",none,.
"Ajellomyces_crescens_570537:Ajellomyces crescens
",17-65岁,Fifty
"Ajellomyces_crescens_6541531:Ajellomyces crescens
",>65岁,125
"Ajellomyces_crescens_6625072:Ajellomyces crescens
",17-65岁,56-year-old
"Ajellomyces_crescens_8352373:Ajellomyces crescens
",none,dyspnea
"Ajellomyces_crescens_945461:Ajellomyces crescens
",>65岁,90
"Ajellomyces_dermatitidis_10072267:Ajellomyces dermatitidis
",1-17岁,two
"Ajellomyces_dermatitidis_10490216:Ajellomyces dermatitidis
",1-17岁,8-year-old
"Ajellomyces_dermatitidis_10982135:Ajellomyces dermatitidis
",1-17岁,12-yr-old
"Ajellomyces_dermatitidis_10983933:Ajellomyces dermatitidis
",none,paper
"Ajellomyces_dermatitidis_11340548:Ajellomyces dermatitidis
",none,residents
"Ajellomyces_dermatitidis_11888958:Ajellomyces dermatitidis
",>65岁,119
"Ajellomyces_dermatitidis_13206703:Ajellomyces dermatitidis
",1岁以下,infant; a preliminary report
"Ajellomyces_dermatitidis_14375842:Ajellomyces dermatitidis
",1岁以下,premature infant
"Ajellomyces_dermatitidis_15314888:Ajellomyces dermatitidis
",17-65岁,17-year-old
"Ajellomyces_dermatitidis_15871735:Ajellomyces dermatitidis
",none,cottages
"Ajellomyces_dermatitidis_16088455:Ajellomyces dermatitidis
",none,although there is promising experimental data involving
"Ajellomyces_dermatitidis_16397422:Ajellomyces dermatitidis
",>65岁,66-year-old
"Ajellomyces_dermatitidis_17149463:Ajellomyces dermatitidis
",17-65岁,24-year-old
"Ajellomyces_dermatitidis_17414110:Ajellomyces dermatitidis
",none,redundant
"Ajellomyces_dermatitidis_17428278:Ajellomyces dermatitidis
",17-65岁,26
"Ajellomyces_dermatitidis_18320978:Ajellomyces dermatitidis
",17-65岁,17
"Ajellomyces_dermatitidis_18574291:Ajellomyces dermatitidis
",none,previously healthy
"Ajellomyces_dermatitidis_18651302:Ajellomyces dermatitidis
",>65岁,0-85
"Ajellomyces_dermatitidis_18822873:Ajellomyces dermatitidis
",17-65岁,46-year-old
"Ajellomyces_dermatitidis_18931937:Ajellomyces dermatitidis
",>65岁,older
"Ajellomyces_dermatitidis_19496934:Ajellomyces dermatitidis
",1-17岁,Two
"Ajellomyces_dermatitidis_21852517:Ajellomyces dermatitidis
",1-17岁,three
"Ajellomyces_dermatitidis_22167402:Ajellomyces dermatitidis
",none,.
"Ajellomyces_dermatitidis_22747656:Ajellomyces dermatitidis
",1-17岁,4-year-old
"Ajellomyces_dermatitidis_23068144:Ajellomyces dermatitidis
",none,Midwest
"Ajellomyces_dermatitidis_23228191:Ajellomyces dermatitidis
",1-17岁,3-years-old
"Ajellomyces_dermatitidis_23717820:Ajellomyces dermatitidis
",17-65岁,27-year-old
"Ajellomyces_dermatitidis_25125734:Ajellomyces dermatitidis
",none,.
"Ajellomyces_dermatitidis_25217516:Ajellomyces dermatitidis
",17-65岁,49-year-old
"Ajellomyces_dermatitidis_26020566:Ajellomyces dermatitidis
",17-65岁,44
"Ajellomyces_dermatitidis_26465989:Ajellomyces dermatitidis
",17-65岁,57-Year-Old
"Ajellomyces_dermatitidis_26986699:Ajellomyces dermatitidis
",1-17岁,young
"Ajellomyces_dermatitidis_27927829:Ajellomyces dermatitidis
",17-65岁,19-year-old
"Ajellomyces_dermatitidis_28797487:Ajellomyces dermatitidis
",none,evade
"Ajellomyces_dermatitidis_28797489:Ajellomyces dermatitidis
",none,local
"Ajellomyces_dermatitidis_28813733:Ajellomyces dermatitidis
",17-65岁,57-year-old
"Ajellomyces_dermatitidis_29601779:Ajellomyces dermatitidis
",17-65岁,20-y-old
"Ajellomyces_dermatitidis_29849375:Ajellomyces dermatitidis
",17-65岁,29-year-old
"Ajellomyces_dermatitidis_30263127:Ajellomyces dermatitidis
",17-65岁,36-year-old
"Ajellomyces_dermatitidis_30775340:Ajellomyces dermatitidis
",none,healthy
"Ajellomyces_dermatitidis_31027465:Ajellomyces dermatitidis
",1-17岁,five
"Ajellomyces_dermatitidis_31324667:Ajellomyces dermatitidis
",17-65岁,43-year-old
"Ajellomyces_dermatitidis_31414001:Ajellomyces dermatitidis
",17-65岁,48.1 vs 56
"Ajellomyces_dermatitidis_31656442:Ajellomyces dermatitidis
",none,a
"Ajellomyces_dermatitidis_31896663:Ajellomyces dermatitidis
",1-17岁,5
"Ajellomyces_dermatitidis_31939939:Ajellomyces dermatitidis
",none,and
"Ajellomyces_dermatitidis_320285:Ajellomyces dermatitidis
",>65岁,older
"Ajellomyces_dermatitidis_32179889:Ajellomyces dermatitidis
",17-65岁,adult
"Ajellomyces_dermatitidis_32205801:Ajellomyces dermatitidis
",1-17岁,pediatric
"Ajellomyces_dermatitidis_32310071:Ajellomyces dermatitidis
",none,Median
"Ajellomyces_dermatitidis_32337141:Ajellomyces dermatitidis
",17-65岁,42-year-old
"Ajellomyces_dermatitidis_32371194:Ajellomyces dermatitidis
",none,.
"Ajellomyces_dermatitidis_32455114:Ajellomyces dermatitidis
",none,previously healthy
"Ajellomyces_dermatitidis_32489864:Ajellomyces dermatitidis
",17-65岁,48 year old
"Ajellomyces_dermatitidis_32571776:Ajellomyces dermatitidis
",>65岁,2008
"Ajellomyces_dermatitidis_32649137:Ajellomyces dermatitidis
",none,a patient residing
"Ajellomyces_dermatitidis_32652975:Ajellomyces dermatitidis
",17-65岁,24-years-old
"Ajellomyces_dermatitidis_32656024:Ajellomyces dermatitidis
",none,pregnant
"Ajellomyces_dermatitidis_32766820:Ajellomyces dermatitidis
",none,"emzantsi,"
"Ajellomyces_dermatitidis_32963686:Ajellomyces dermatitidis
",17-65岁,35
"Ajellomyces_dermatitidis_33269079:Ajellomyces dermatitidis
",17-65岁,27-year-old
"Ajellomyces_dermatitidis_33298609:Ajellomyces dermatitidis
",none,NY
"Ajellomyces_dermatitidis_33563770:Ajellomyces dermatitidis
",1-17岁,15-year-old
"Ajellomyces_dermatitidis_33684979:Ajellomyces dermatitidis
",1-17岁,young
"Ajellomyces_dermatitidis_33866867:Ajellomyces dermatitidis
",17-65岁,27-year-old
"Ajellomyces_dermatitidis_33990518:Ajellomyces dermatitidis
",1-17岁,12
"Ajellomyces_dermatitidis_34016289:Ajellomyces dermatitidis
",none,extrapulmonary
"Ajellomyces_dermatitidis_34036653:Ajellomyces dermatitidis
",none,ensuing
"Ajellomyces_dermatitidis_34146378:Ajellomyces dermatitidis
",17-65岁,59
"Ajellomyces_dermatitidis_34540497:Ajellomyces dermatitidis
",17-65岁,50-year-old
"Ajellomyces_dermatitidis_34603804:Ajellomyces dermatitidis
",none,a
"Ajellomyces_dermatitidis_34670643:Ajellomyces dermatitidis
",17-65岁,30
"Ajellomyces_dermatitidis_34673714:Ajellomyces dermatitidis
",1-17岁,13-year-old
"Ajellomyces_dermatitidis_34829177:Ajellomyces dermatitidis
",>65岁,"51 years (range, 6-84"
"Ajellomyces_dermatitidis_34874582:Ajellomyces dermatitidis
",>65岁,76
"Ajellomyces_dermatitidis_34888690:Ajellomyces dermatitidis
",none,a patient with well-controlled
"Ajellomyces_dermatitidis_34969112:Ajellomyces dermatitidis
",none,including
"Ajellomyces_dermatitidis_610419:Ajellomyces dermatitidis
",17-65岁,47-year-old
"Ajellomyces_dermatitidis_6984622:Ajellomyces dermatitidis
",17-65岁,49-year-old
"Ajellomyces_dermatitidis_792:Ajellomyces dermatitidis
",none,discussing
"Ajellomyces_dermatitidis_8672047:Ajellomyces dermatitidis
",none,European renal transplant recipient
"Ajellomyces_dermatitidis_9894949:Ajellomyces dermatitidis
",none,some time
"Ajellomyces_dermatitidis_9990284:Ajellomyces dermatitidis
",17-65岁,54-year-old
"Alternaria_alternata_9360752:Alternaria alternata
",none,a
"Alternaria_infectoria__11326020:Alternaria infectoria 
",17-65岁,20
"Alternaria_infectoria__22897073:Alternaria infectoria 
",none,a
"Alternaria_infectoria__27866319:Alternaria infectoria 
",17-65岁,61-year-old
"Anncaliia_22385431:Anncaliia
",17-65岁,49 years old
"Anncaliia_34391631:Anncaliia
",17-65岁,55-year-old
"Anncaliia_algerae_22385431:Anncaliia algerae
",17-65岁,49 years old
"Anncaliia_algerae_34391631:Anncaliia algerae
",17-65岁,55-year-old
"Apophysomyces_elegans_11545569:Apophysomyces elegans
",1-17岁,nine
"Apophysomyces_elegans_16772227:Apophysomyces elegans
",>65岁,178
"Apophysomyces_elegans_17576314:Apophysomyces elegans
",none,diabetic
"Apophysomyces_elegans_19386856:Apophysomyces elegans
",>65岁,approximately 80
"Apophysomyces_elegans_19892892:Apophysomyces elegans
",none,elegans
"Apophysomyces_elegans_25250768:Apophysomyces elegans
",>65岁,71
"Apophysomyces_elegans_25587084:Apophysomyces elegans
",17-65岁,40
"Apophysomyces_elegans_30879364:Apophysomyces elegans
",none,an immunocompetent
"Apophysomyces_variabilis_25587084:Apophysomyces variabilis
",17-65岁,40
"Apophysomyces_variabilis_29642408:Apophysomyces variabilis
",1-17岁,five
"Apophysomyces_variabilis_30085158:Apophysomyces variabilis
",1-17岁,two
"Apophysomyces_variabilis_30901907:Apophysomyces variabilis
",none,mucormycosis country-wise
"Apophysomyces_variabilis_31811914:Apophysomyces variabilis
",>65岁,465
"Arthroderma_benhamiae_23114507:Arthroderma benhamiae
",17-65岁,adults
"Arthrographis_22160311:Arthrographis
",none,a patient
"Arthrographis_27995052:Arthrographis
",17-65岁,19-year-old
"Arthrographis_29087135:Arthrographis
",1-17岁,a male child
"Arthrographis_31300282:Arthrographis
",1-17岁,7-year-old
"Arthrographis_kalrae_22160311:Arthrographis kalrae
",none,a
"Arthrographis_kalrae_27995052:Arthrographis kalrae
",17-65岁,19-year-old
"Arthrographis_kalrae_29087135:Arthrographis kalrae
",1-17岁,a male child
"Arthrographis_kalrae_31300282:Arthrographis kalrae
",1-17岁,7-year-old
"Aspergillus_alliaceus__17537938:Aspergillus alliaceus 
",none,.
"Aspergillus_alliaceus__20392148:Aspergillus alliaceus 
",none,an acute myeloid leukemia
"Aspergillus_calidoustus_22805441:Aspergillus calidoustus
",1岁以下,39 months
"Aspergillus_calidoustus_23161769:Aspergillus calidoustus
",none,a patient with leukaemia
"Aspergillus_calidoustus_24920775:Aspergillus calidoustus
",none,Kuwait
"Aspergillus_calidoustus_29526942:Aspergillus calidoustus
",17-65岁,53-year-old
"Aspergillus_calidoustus_30541477:Aspergillus calidoustus
",17-65岁,64 year-old
"Aspergillus_calidoustus_31925638:Aspergillus calidoustus
",17-65岁,56-year-old
"Aspergillus_calidoustus_32155243:Aspergillus calidoustus
",17-65岁,23-year old
"Aspergillus_calidoustus_32155262:Aspergillus calidoustus
",none,organ
"Aspergillus_calidoustus_32545485:Aspergillus calidoustus
",none,options
"Aspergillus_candidus_2051688:Aspergillus candidus
",17-65岁,18-year-old
"Aspergillus_candidus_25179636:Aspergillus candidus
",none,AIDS
"Aspergillus_carneus_26922988:Aspergillus carneus
",1-17岁,child
"Aspergillus_carneus_30289467:Aspergillus carneus
",>65岁,419
"Aspergillus_fischerianus__25947561:Aspergillus fischerianus 
",none,approximately
"Aspergillus_fischerianus__9730310:Aspergillus fischerianus 
",none,A
"Aspergillus_flavipes_18217319:Aspergillus flavipes
",>65岁,76-year-old
"Aspergillus_flavipes_2811014:Aspergillus flavipes
",17-65岁,52-year-old
"Aspergillus_flavus_10914055:Aspergillus flavus
",1-17岁,11-year-old
"Aspergillus_flavus_114435:Aspergillus flavus
",none,author
"Aspergillus_flavus_11809609:Aspergillus flavus
",17-65岁,64-year-old
"Aspergillus_flavus_14737778:Aspergillus flavus
",>65岁,69-year-old
"Aspergillus_flavus_15032419:Aspergillus flavus
",17-65岁,33 year old
"Aspergillus_flavus_1729033:Aspergillus flavus
",none,.
"Aspergillus_flavus_18500728:Aspergillus flavus
",1-17岁,2-year-old
"Aspergillus_flavus_19730788:Aspergillus flavus
",17-65岁,63-year-old
"Aspergillus_flavus_20299503:Aspergillus flavus
",none,given the wide variations in the oral bioavailability of voriconazole.
"Aspergillus_flavus_20692461:Aspergillus flavus
",17-65岁,38-year-old
"Aspergillus_flavus_22250755:Aspergillus flavus
",17-65岁,43-year-old
"Aspergillus_flavus_23522080:Aspergillus flavus
",>65岁,78-year-old
"Aspergillus_flavus_24914263:Aspergillus flavus
",>65岁,65-year-old
"Aspergillus_flavus_25398925:Aspergillus flavus
",none,a man
"Aspergillus_flavus_26036497:Aspergillus flavus
",none,kidney
"Aspergillus_flavus_28384860:Aspergillus flavus
",>65岁,71
"Aspergillus_flavus_28539863:Aspergillus flavus
",17-65岁,40
"Aspergillus_flavus_28680996:Aspergillus flavus
",17-65岁,18
"Aspergillus_flavus_3104658:Aspergillus flavus
",17-65岁,56-year-old
"Aspergillus_flavus_32134016:Aspergillus flavus
",>65岁,104
"Aspergillus_flavus_32482366:Aspergillus flavus
",none,"patients, appropriate antimicrobial agents can be recommended."
"Aspergillus_flavus_32837881:Aspergillus flavus
",none,a
"Aspergillus_flavus_33012653:Aspergillus flavus
",none,this
"Aspergillus_flavus_33230628:Aspergillus flavus
",17-65岁,62
"Aspergillus_flavus_33576014:Aspergillus flavus
",none,CAPA
"Aspergillus_flavus_33751395:Aspergillus flavus
",1-17岁,4
"Aspergillus_flavus_6618677:Aspergillus flavus
",1-17岁,15
"Aspergillus_flavus_6788456:Aspergillus flavus
",none,:
"Aspergillus_flavus_6802046:Aspergillus flavus
",>65岁,older
"Aspergillus_flavus_8544382:Aspergillus flavus
",17-65岁,36-year-old
"Aspergillus_flavus_8643846:Aspergillus flavus
",17-65岁,hundred and fifty AIDS
"Aspergillus_flavus_9248266:Aspergillus flavus
",1-17岁,13
"Aspergillus_fumigatus_19730788:Aspergillus fumigatus
",17-65岁,63-year-old
"Aspergillus_fumigatus_19827582:Aspergillus fumigatus
",>65岁,80-year-old
"Aspergillus_fumigatus_20205795:Aspergillus fumigatus
",>65岁,66 year-old
"Aspergillus_fumigatus_20803983:Aspergillus fumigatus
",>65岁,73-year-old
"Aspergillus_fumigatus_21057748:Aspergillus fumigatus
",17-65岁,63-year-old
"Aspergillus_fumigatus_21357614:Aspergillus fumigatus
",1-17岁,3 yr old
"Aspergillus_fumigatus_21700234:Aspergillus fumigatus
",17-65岁,52-year old
"Aspergillus_fumigatus_22294141:Aspergillus fumigatus
",none,this
"Aspergillus_fumigatus_22417634:Aspergillus fumigatus
",none,tsunami
"Aspergillus_fumigatus_22435902:Aspergillus fumigatus
",none,.
"Aspergillus_fumigatus_23254917:Aspergillus fumigatus
",none,carcinoma.ABSTRACT:
"Aspergillus_fumigatus_24033938:Aspergillus fumigatus
",17-65岁,28
"Aspergillus_fumigatus_24107913:Aspergillus fumigatus
",17-65岁,59-year-old
"Aspergillus_fumigatus_24862414:Aspergillus fumigatus
",none,and
"Aspergillus_fumigatus_25917588:Aspergillus fumigatus
",17-65岁,49-year-old
"Aspergillus_fumigatus_26455910:Aspergillus fumigatus
",none,an immunocompromised critically ill
"Aspergillus_fumigatus_26623497:Aspergillus fumigatus
",none,:
"Aspergillus_fumigatus_27041173:Aspergillus fumigatus
",>65岁,84-year-old
"Aspergillus_fumigatus_28288860:Aspergillus fumigatus
",>65岁,87
"Aspergillus_fumigatus_28377567:Aspergillus fumigatus
",17-65岁,23-year-old
"Aspergillus_fumigatus_28660636:Aspergillus fumigatus
",none,the
"Aspergillus_fumigatus_28780309:Aspergillus fumigatus
",1-17岁,8.8 years (range: 1.5 months to 16
"Aspergillus_fumigatus_28866833:Aspergillus fumigatus
",17-65岁,61-year-old
"Aspergillus_fumigatus_28990950:Aspergillus fumigatus
",1-17岁,3-year-old
"Aspergillus_fumigatus_29189562:Aspergillus fumigatus
",none,a
"Aspergillus_fumigatus_29877282:Aspergillus fumigatus
",>65岁,70-year-old
"Aspergillus_fumigatus_30503225:Aspergillus fumigatus
",17-65岁,32 year-old
