,evi,evi_origin
"Absidia_corymbifera_2689623:Absidia corymbifera
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,immunofluorescence staining histopathology staining. The histopathology pulmonary mycosis was diagnosed in four of 116 farmed deer examined on suspicion of tuberculosis. The histopathology immunofluorescence staining. staining im by immunofluorescence staining immunofluorescence farmed deer examined on suspicion of tuberculosis. The histopathology mycosis was diagnosed in four of 116 farmed deer examined on suspicion of tuberculosis. The histopathology four of 116 farmed deer examined on suspicion of tuberculosis. The histopathology his immunofluorescence staining. Three fallow deer (Dama dama) had invasive necrotizing mycotic pneumonia immunofluorescence stain tuberculosis. The histopathology histopathology showed allergic bronchopulmonary mycosis immunofluorescence staining. Three fallow deer (Dama dama immunofluorescence staining. Three fallow deer
"Absidia_corymbifera_28197828:Absidia corymbifera
",none,lung infection Lichtheimia corymbifera and Aspergillus flavus Coinfection with Lichtheimia corymbifera and Aspergillus flavus Aspergillus flavus flavus pulmonary coinfection Lichtheimia corymbifera Lichtheimia corymbifera and Aspergillus flavus in an Immune-Competent Patient Coinfection with Lichtheimia corymbifera pulmonary coinfection has been rarely reported in immune-competent patients pulmonary coinfection has been rarely reported in immune-competent patients. We report case of a young male Lichtheimia corymbifera and Aspergillus flavus pulmonary coinfection ABSTRACT:Lichtheimia corymbifera and Aspergillus flavus Aspergillus flavus in an Immune-Competent Patient an Immune-Competent Patient Coinfection Immune-Competent Patient flavus pulmonary coinfection ABSTRACT:Lichtheimia corymbifera and Aspergillus flavus pulmonary coinfection Aspergillus flavus pulmonary coinfection
"Absidia_corymbifera_30083512:Absidia corymbifera
",none,"fungal spore inoculation of fungal spore spore fungal spore from patient skin, respiratory tract or from care giver inoculation of fungal spore from patient skin, respiratory tract or from care giver fungal spore from patient skin, respiratory tract burn injury is caused by inoculation of fungal spore inoculation spore from patient skin, respiratory tract or from care giver Invasive fungal infection in burn injury is caused by inoculation of fungal spore fungal spore from patient skin, respiratory tract or from care giver. The risk factors for acquiring fungal infection inoculation of fungal spore from patient skin, respiratory tract fungal spore from patient skin Electrical Scalp Burn.ABSTRACT:Invasive fungal infection in burn injury is caused by inoculation of fungal spore spore from patient skin, respiratory tract patient skin, respiratory tract or from care giver inoculation of fungal spore from patient skin, respiratory tract or from care giver. The risk factors for acquiring fungal infection inoculation of fungal spore from patient skin burn injury is caused by inoculation of fungal spore from patient skin, respiratory tract or from care giver spore from patient skin, respiratory tract or from care giver. The risk factors for acquiring fungal infection"
"Absidia_corymbifera_30338581:Absidia corymbifera
",none,Paranasal sinus Paranasal sinus was the primary site of infection proven mucormycosis Mucormycosis involved mainly the sinu-orbital site sinus Mucormycosis retrospective study from the Infection Working Group of Italian Pediatric Hematology Oncology Association Para infection Working Group of the Italian Association of Pediatric Hematology and Oncology invasive mucormycosis occurred between 2009 and 2016. PATIENTS: Fifteen cases of proven mucormycosis Infection Working Group of Italian Pediatric Hematology Oncology Association Paranasal sinus was the primary site of infection in 14/15 patients invasive mucormycosis Paranasal sin infection infection Working Group of the Italian Association of Pediatric Hematology sinu-orbital site the Infection Working Group of Italian Pediatric Hematology Oncology Association Paranasal sinus was the primary site of infection in 14/15 patients combined with orbital involvement Paranasal
"Absidia_corymbifera_32388712:Absidia corymbifera
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,sequencing the ITS ribosomal region ITS ribosomal region sequencing the ITS ribosomal region ribosomal region sequencing the se sequencing the ITS ribosomal region. the region sequencing the IT IT sequencing the ITS ribosomal L. ornata is reported; the agent was identified by sequencing the ITS ribosomal region sequencing the ITS ribosomal region. We reviewed the literature on mucormycosis ITS ribosomal the agent was identified by sequencing the ITS ribosomal region L. ornata is reported; the agent was identified by sequencing identified by sequencing the ITS ribosomal region sequencing the ITS ribosomal region. We reviewed the literature on mucormycosis due to Lichtheimia species
"Absidia_corymbifera_33194153:Absidia corymbifera
",none,"infection Lichtheimia corymbifera infection of Lichtheimia corymbifera infection corymbifera infection mucormycosis infection saprophytic fungi fungal disease Lymphoma (B-NHL) involving lung, kidney and thyroid lung, kidney and thyroid B-NHL may represent a risk factor for mucormycosis infection saprophytic fungi that belong to the order of the Mucorales Mucormycosis fungal disease among immunocompromised pediatric patients caused by saprophytic fungi intensive chemotherapy for B-NHL may represent a risk factor for mucormycosis infection Lymphoma (B-NHL) involving lung, kidney and thyroid that initially was diagnosed as probable aspergillosis lung, kidney and thyroid that initially was diagnosed as probable aspergillosis This case showed that also the intensive chemotherapy for B-NHL may represent a risk factor for mucormycosis infection Diagnostic Pitfalls of Mucormycosis Mucormycosis.ABSTRACT:Background: Invasive mucormycosis is a very aggressive fungal disease ABSTRACT:Background: Invasive mucormycosis is a very aggressive fungal disease"
"Absidia_corymbifera_33253454:Absidia corymbifera
",1：同时具备肺组织病理+病原学证据,"mycological and histopathological records mycological and histopathological mycological my mycological and histopathological records were selected. RESULTS: Two-hundred fourteen proven cases of mucormycosis mycological and his mycological and histopathological records were selected mycological and histop mycological and histopath mycological and histopathological records histopathological records Demographic and clinical data, as well as mycological and histopathological records Demographic and clinical data, as well as mycological and histopathological and histopathological records and histopathological as well as mycological and histopathological records as well as mycological and histopathological as mycological and histopathological records"
"Absidia_ornata_32388712:Absidia ornata
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,sequencing the ITS ribosomal region sequencing ITS ribosomal region the ITS ribosomal region sequencing the ribosomal region se sequencing the ITS ribosomal region. the region sequencing the IT L. ornata is reported; the agent was identified by sequencing the ITS ribosomal region sequencing the ITS ribosomal sequencing the ITS ribosomal region. We reviewed the literature on mucormycosis sequencing the ITS ribosomal region. We reviewed the literature on mucormycosis due to Lichtheimia species the agent was identified by sequencing the ITS ribosomal region L. ornata is reported; the agent was identified by sequencing identified by sequencing the ITS ribosomal region IT by sequencing the ITS ribosomal region
"Absidia_ramosa_24103142:Absidia ramosa
",2：肺组织病原学证据,"Pathology and fungal culture fungal culture Pathology culture and fungal culture Path hemorrhagic ulcers were found and resected from the transplanted stomach. Pathology and fungal culture transplanted stomach. Pathology and fungal culture Pathology and fungal Pathology and fungal culture showed mucormycosis Pathology and fun Surgical exploration fungal fungal culture showed mucormycosis fun hemorrhagic ulcers were found and resected from the transplanted stomach. Pathology transplanted stomach. Pathology exploration Surgical exploration found a small necrotic area postoperative day 5, a digestive perforation was suspected. Surgical exploration"
"Absidia_ramosa_24925144:Absidia ramosa
",5：气管吸出物或痰/BALF纯培养或优势培养出病原体,sputum culture positive sputum culture culture sputum a positive sputum culture s positive sputum fungal infection was diagnosed based on a positive sputum culture positive sputum culture with histopathologic confirmation positive s infection was diagnosed based on a positive sputum culture The fungal infection was diagnosed based on a positive sputum culture on a positive sputum culture sputum culture with histopathologic based on a positive sputum culture sputum culture with his positive sputum culture with histopathologic confirmation sput sputum culture with histopathologic confirmation. The fungus
"Absidia_ramosa_25250768:Absidia ramosa
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,Amplified fragment length polymorphism analysis analysis Am Amplified fragment length polymorphism Amplified fragment length polymorphism analysis was done to genotype Rhizopus isolates D2 regions sequencing Amplified fragment length polymorphism analysis was done fragment length polymorphism analysis Amplified fragment length polymorphism analysis was done to genotype length polymorphism analysis Amplified fragment length polymorphism analysis was done to genotype Rhizopus isolate polymorphism analysis Amplified fragment length Amplified fragment length polymorphism analysis was done to genotype Rhizopus Amplified fragment length p Amplified Amplified fragment Amplified fragment length polymor Amplified fragment length polymorphism analysis was sequencing
"Absidia_ramosa_25587084:Absidia ramosa
",none,"culture isolates culture isolates culture isolate 23 culture antifungal susceptibility pattern of the isolates the isolates isolates, and outcome of therapy cutaneous mucormycosis 23 culture isolates cutaneous mucormycosis. In vitro antifungal susceptibility 23 culture isolate In vitro antifungal susceptibility rhino-orbito-cerebral mucormycosis Apophysomyces species were generally obtained from cutaneous mucormycosis isolate antifungal susceptibility isolated, antifungal susceptibility pattern of the isolates fungi isolated, antifungal susceptibility pattern of the isolates ubiquitous filamentous fungi"
"Absidia_ramosa_26645867:Absidia ramosa
",none,gene analysis gene analysis gene analysis the fungus On gene analysis gene analysis the fungus was identified gene analysis the gene analysis the fungus was identified as Lichtheimia ramosa gene analysis the fungus was identified as On gene pulmonary and cerebral mucormycosis. On gene analysis analysis the fungus analysis the fungus was identified pulmonary and cerebral mucormycosis. On gene analysis the analysis the fungus was identified as Lichtheimia ramosa On gene analysis the fungus analysis the fungus was identified as On gene analysis the fungus was identified the fungus
"Absidia_ramosa_27445521:Absidia ramosa
",none,"emboli infection emboli and fever Lichtheimia ramosa is an infrequent opportunistic infection emboli and fever unresponsive to usual antimicrobials. Mucormycosis due to Lichtheimia ramosa is an infrequent opportunistic infection fever fever unresponsive to usual antimicrobials mucormycosis H1N1 infection. ABSTRACT:Mucormycosis due to Lichtheimia ramosa is an infrequent opportunistic infection due to Lichtheimia ramosa is an infrequent opportunistic infection ramosa is an infrequent opportunistic infection fever unresponsive to usual antimicrobial Mucormycosis Lichtheimia ramosa: A Fatal Case of Mucormycosis Lichtheimia ramosa, which is an emerging Mucoralean fungus angioinvasive when affecting inmunocompromised hosts. We present a fatal case of mucormycosis Lichtheimia ramosa Mucormycosis due to Lichtheimia ramosa"
"Absidia_ramosa_29526942:Absidia ramosa
",1：同时具备肺组织病理+病原学证据,gene sequencing gene sequencing gene se fungal isolates were identified to be Lichtheimia ramosa and Aspergillus calidoustus via gene sequencing isolates were identified to be Lichtheimia ramosa and Aspergillus calidoustus via gene sequencing The fungal isolates were identified to be Lichtheimia ramosa and Aspergillus calidoustus via gene sequencing tissue gene sequencing using panfungal primers via gene sequencing identified to be Lichtheimia ramosa and Aspergillus calidoustus via gene sequencing Lichtheimia ramosa and Aspergillus calidoustus via gene sequencing colon tissue Fungi detected in both her colon tissue fungal isolates were identified to be Lichtheimia ramosa and Aspergillus calidoustus via gene tissue and a drainage sample detected in both her colon tissue se drainage sample fungal isolates
"Absidia_ramosa_29642408:Absidia ramosa
",none,mycological culture mycological culture and examination my mycological culture mucormycosis out of a total of 6365 samples received for mycological culture samples received for mycological culture culture and examination reference method. We identified a total of 82 cases of mucormycosis out of a total of 6365 samples received for mycological culture method. We identified a total of 82 cases of mucormycosis out of a total of 6365 samples received for mycological culture 82 cases of mucormycosis out of a total of 6365 samples received for mycological culture received for mycological culture a total of 82 cases of mucormycosis out of a total of 6365 samples received for mycological culture mucormycosis out of a total of 6365 samples mucormycosis out of a total of 6365 samples received for mycological culture and examination mucormycosis out of a total of 6365 samples received for my samples examination samples received for mycological culture and examination the EUCAST reference method. We identified a total of 82 cases of mucormycosis out of a total of 6365 samples
"Absidia_ramosa_30879588:Absidia ramosa
","4：气管镜活检组织培养出病原体,或者支气管肺泡灌洗液（BALF）定量培养>10**4",bronchoalveolar lavage fluid culture bronchoalveolar lavage fluid culture and internal transcribed spacer region sequencing bronchoalveolar lavage fluid culture br culture and internal transcribed spacer region sequencing internal transcribed spacer region sequencing fluid culture bronchoalveolar lavage fluid culture and internal transcribed spacer region sequencing were performed bronchoalveolar lavage fluid culture and internal transcribed spacer region sequencing sequencing bronchoalveolar lavage fluid culture and bronchoalveolar lavage fluid culture and internal transcribed spacer region sequencing were bronchoalveolar lavage fluid culture and internal transcribed spacer region se bronchoalveolar lavage fluid culture and internal lavage fluid culture bronchoalveolar lavage fluid culture and internal transcribed spacer region bronchoal bronchoalveolar lava
"Acremonium_16410951:Acremonium
",none,infection pneumonia pneumonia caused by the fungus Acremonium kiliense infection in a child with chronic granulomatous disease.ABSTRACT:Infection by unusual microorganisms Acremonium kiliense infection the fungus Acremonium kiliense such microorganisms microorganisms . specific treatment against such microorganisms pneumonia caused by the fungus unusual microorganisms infection in a child with chronic granulomatous disease.ABSTRACT:Infection fungus Acremonium kiliense early institution of specific treatment against such microorganisms against such microorganisms a child with chronic granulomatous disease.ABSTRACT:Infection by unusual microorganisms infection in a child with chronic granulomatous disease primary immunodeficiency (PID). We report on a four-month-old child with pneumonia caused by the fungus Acremonium kiliense
"Acremonium_1895586:Acremonium
","4：气管镜活检组织培养出病原体,或者支气管肺泡灌洗液（BALF）定量培养>10**4",Bronchoalveolar lavage Bronchoalveolar lavage (BAL) and transbronchial lung biopsy Bronchoalveolar lavage (BAL TBLB specimen Bronchoalveolar lavage (BAL) and transbronchial lung biopsy (TBLB) Bronchoalveolar lavage (BAL) and transbronchial lung biopsy (TBLB BAL) and transbronchial lung biopsy Bronchoalveolar lavage (BAL) and transbronchial lung biopsy (TBLB) were performed B TBLB BAL) and transbronchial lung biopsy (TBLB) were performed on the next day after readmission. TBLB specimen Bronchoalveolar lava Bronchoalveolar lavage (BAL) and transbronchial lung bio T transbronchial lung biopsy lavage lavage (BAL) and transbronchial lung biopsy BAL Bronchoalveolar lavage (BA (BAL) and transbronchial lung biopsy
"Acremonium_1956281:Acremonium
",none,"anecdotal reports, treatment of most invasive acremonium infections vitro sensitivity may not correlate with clinical response. Based on anecdotal reports, treatment of most invasive acremonium infections clinical response. Based on anecdotal reports, treatment of most invasive acremonium infections infections acremonium infections anecdotal reports anecdotal reports, treatment of most invasive acremonium infections requires a combination of surgical intervention meningitis, endocarditis, and cerebritis rarely have been reported. Optimal treatment of acremonium infections vitro sensitivity may not correlate with clinical response. Based on anecdotal reports clinical response. Based on anecdotal reports surgical intervention endocarditis, and cerebritis rarely have been reported. Optimal treatment of acremonium infections surgical intervention, when possible, and a regimen of amphotericin B. Some azoles also display inhibitory activity clinical response. Based on anecdotal reports, treatment of most invasive acremonium infections requires a combination of surgical intervention vitro sensitivity may not correlate with clinical response susceptibility testing Optimal treatment of acremonium infections anecdotal reports, treatment of most invasive acremonium antifungal agents infections requires a combination of surgical intervention"
"Acremonium_22402374:Acremonium
",none,Acremonium spp. pneumonia Acremonium spp. pneumonia in a patient with acute myelogenous leukemia pneumonia spp. pneumonia pneumonia in a patient with acute myelogenous leukemia spp. pneumonia in a patient with acute myelogenous leukemia AcremoniumID:22402374TITLE:[Acremonium spp. pneumonia [Acremonium spp. pneumonia acute myelogenous leukemia SPECIES:AcremoniumID:22402374TITLE:[Acremonium spp. pneumonia [Acremonium spp. pneumonia in a patient with acute myelogenous leukemia a patient with acute myelogenous leukemia Acremonium spp. Acremonium spp Acremonium spp. pneumonia in a patient with acute myelogenous leukemia] Acremon Acremonium spp. pneumonia in a patient with acute myelogenous leuke Acremonium spp. spp
"Acremonium_26528372:Acremonium
",none,"systemic and respiratory tract infections spp. and provide a consensus review of the published clinical cases of systemic and respiratory tract infections infections spp. . systemic and respiratory tract infections. systemic and respiratory tract isolated pulmonary infection spp. and provide a consensus review of the published clinical cases of systemic and respiratory tract infections. infections. spp. and provide a consensus review of the published clinical cases of systemic and respiratory tract human superficial infections systemic involvement in immunocompromised patients. However, isolated pulmonary infection pulmonary infection spp. cause human superficial infections Acremonium spp. cause human superficial infections human superficial infections including mycetoma, onychomycosis and keratitis superficial infections isolated pulmonary infection in otherwise healthy hosts infection"
"Acremonium_28491812:Acremonium
",none,Acremonium pneumonia Acremonium pneumonia in a patient with no past medical history pneumonia a case of Acremonium pneumonia pneumonia in a patient with no past medical history We present a case of Acremonium pneumonia a case of Acremonium pneumonia in a patient with no past medical history We present a case of Acremonium pneumonia in a patient with no past medical history Acremonium A case of Acremonium pneumonia Acremonium pneumonia in a patient present a case of Acremonium pneumonia Acremonium pneumonia in a patient with no past medical history who was found to have AIDS Acremonium pneumonia in a patient with no past medical history Acremonium pneumonia in a patient with no past medical history who was found to have AIDS. of Acremonium pneumonia case of Acremonium pneumonia in a patient with no past medical history present a case of Acremonium pneumonia in a patient with no past medical history
"Acremonium_atrogriseum_21068274:Acremonium atrogriseum
",3：血及无菌体液（如脓胸液）,"molecular means molecular molecular means, the prevalent species molecular means, the prevalent species being Acremonium kiliense means internal transcribed spacer region of the rRNA gene gene sequences of the internal transcribed spacer region of the rRNA gene by molecular means A total of 50 of the 75 Acremonium isolates (67%) could be identified by molecular means identified by molecular means rRNA gene the internal transcribed spacer region of the rRNA gene by molecular A total of 50 of the 75 Acremonium isolates (67%) could be identified by molecular Acremonium isolates (67%) could be identified by molecular means identified by molecular the rRNA gene isolates (67%) could be identified by molecular means could be identified by molecular means"
"Acremonium_implicatum_21068274:Acremonium implicatum
",3：血及无菌体液（如脓胸液）,"molecular means molecular molecular means, the prevalent species molecular means, the prevalent species being Acremonium kiliense internal transcribed spacer region of the rRNA gene means gene sequences of the internal transcribed spacer region of the rRNA gene rRNA gene the internal transcribed spacer region of the rRNA gene by molecular means by molecular A total of 50 of the 75 Acremonium isolates (67%) could be identified by molecular means identified by molecular means the rRNA gene transcribed spacer region of the rRNA gene A total of 50 of the 75 Acremonium isolates (67%) could be identified by molecular identified by molecular comparing sequences of the internal transcribed spacer region of the rRNA gene Acremonium isolates (67%) could be identified by molecular means"
"Acremonium_kiliense_16410951:Acremonium kiliense
",none,such microorganisms pneumonia caused by the fungus Acremonium kiliense pneumonia microorganisms specific treatment against such microorganisms against such microorganisms infection the fungus Acremonium kiliense Acremonium kiliense infection . infection in a child with chronic granulomatous disease.ABSTRACT:Infection by unusual microorganisms Acremonium kilienseID:16410951TITLE:Acremonium kiliense infection unusual microorganisms pneumonia caused by the fungus fungus Acremonium kiliense primary immunodeficiency (PID). We report on a four-month-old child with pneumonia four-month-old child with pneumonia caused by the fungus Acremonium kiliense such microorganisms for the reduction of the morbidity and mortality of these patients a child with chronic granulomatous disease.ABSTRACT:Infection by unusual microorganisms Acremonium kiliense
"Acremonium_kiliense_21068274:Acremonium kiliense
",3：血及无菌体液（如脓胸液）,"molecular means molecular molecular means, the prevalent species molecular means, the prevalent species being Acremonium kiliense internal transcribed spacer region of the rRNA gene means gene sequences of the internal transcribed spacer region of the rRNA gene rRNA gene the internal transcribed spacer region of the rRNA gene by molecular means by molecular A total of 50 of the 75 Acremonium isolates (67%) could be identified by molecular means identified by molecular means the rRNA gene transcribed spacer region of the rRNA gene A total of 50 of the 75 Acremonium isolates (67%) could be identified by molecular identified by molecular comparing sequences of the internal transcribed spacer region of the rRNA gene Acremonium isolates (67%) could be identified by molecular means"
"Acremonium_kiliense_24002104:Acremonium kiliense
",6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,"blood culture blood Multiple cultures Multiple cultures of blood DNA sequence analysis culture cultures cultures of blood morphological characteristics and DNA sequence analysis DNA sequence Multiple blood culture was negative for fungi sequence analysis analysis The isolate was identified as A. kiliense based on its morphological characteristics and DNA sequence analysis morphological characteristics and DNA sequence DNA its morphological characteristics and DNA sequence analysis blood culture was negative for fungi. Thus, voriconazole was effective in treatment for life-threatening A. kiliense infections blood demonstrated narrow septate hyphae"
"Acremonium_kiliense_28327806:Acremonium kiliense
",3：血及无菌体液（如脓胸液）,blood bloodstream bloodstream isolate blood and presence of lung infiltrates in radiographic images bloodstream isolates blood and presence of lung infiltrates bloodstream isolates of Candida spp. bloodstream isolates of Candida spp. exhibited low minimum inhibitory concentrations (MICs) to all antifungal agents bloodstream isolates of Candida spp. exhibited low minimum inhibitory concentrations bloodstream isolates of Candida spp. exhibited low minimum inhibitory concentrations (MICs bloodstream isolates of Candida spp. exhibited low minimum inhibitory concentrations (MICs) to all antifungal agents tested bloodstream is blood and presence of lung infiltrates in radiographic images. Logistic regression analysis galactomannan in blood galactomannan in blood and presence of lung infiltrates in radiographic images galactomannan in blood and presence of lung infiltrates detection of galactomannan in blood galactomannan lung infiltrates in radiographic images radiographic images
"Acremonium_recifei_21068274:Acremonium recifei
",3：血及无菌体液（如脓胸液）,"molecular means molecular molecular means, the prevalent species molecular means, the prevalent species being Acremonium kiliense means internal transcribed spacer region of the rRNA gene gene sequences of the internal transcribed spacer region of the rRNA gene by molecular means A total of 50 of the 75 Acremonium isolates (67%) could be identified by molecular means identified by molecular means rRNA gene the internal transcribed spacer region of the rRNA gene by molecular A total of 50 of the 75 Acremonium isolates (67%) could be identified by molecular Acremonium isolates (67%) could be identified by molecular means identified by molecular the rRNA gene isolates (67%) could be identified by molecular means could be identified by molecular means"
