,gender,gender_origin
"Absidia_corymbifera_2689623:Absidia corymbifera
",none,"116 red 116 farmed deer the red the 116 farmed deer examined red deer deer red deer, weakness due to paratuberculosis had probably promoted the mycotic infection. The three the red deer red deer, weakness due to paratuberculosis had probably promoted the mycotic infection. The three fallow deer the red deer, weakness due to paratuberculosis had probably promoted the mycotic infection. The three the red deer, weakness due to paratuberculosis had probably promoted the mycotic infection. The three fallow deer three fallow deer were bred on another farm deer examined of 116 red deer, weakness due to paratuberculosis had probably promoted the mycotic infection. The three fallow deer were bred on another farm red deer, weakness due to paratuberculosis had probably promoted the mycotic infection. The of 116 farmed deer"
"Absidia_corymbifera_28197828:Absidia corymbifera
",男,male young male case of a young male male who We report case of a young male report case of a young male a young male patients. We report case of a young male of a young male competent patients. We report case of a young male immune-competent patients. We report case of a young male -competent patients. We report case of a young male . was later diagnosed to have bilateral polymicrobial fungal lung infection. later diagnosed to have bilateral polymicrobial fungal lung infection. was was later later young case
"Absidia_corymbifera_30083512:Absidia corymbifera
",none,"patient injury in an immunocompetent patient an immunocompetent patient in an immunocompetent patient immunocompetent patient. injury We patient with burn injury injury. The key for treatment is early clinical diagnosis, wide and repeated debridement and systemic and local antifungal treatment. We burn injury We describe injury is caused by inoculation of fungal spore from patient patient with burn burn injury. The key for treatment is early clinical diagnosis, wide and repeated debridement and systemic and local antifungal treatment. We injury is caused by inoculation of fungal spore from patient skin, respiratory tract or from care giver burns injury. The key for treatment is early clinical diagnosis, wide and repeated debridement and systemic and local antifungal treatment. We describe with burn injury patient with We describe a case"
"Absidia_corymbifera_30338581:Absidia corymbifera
",男,"male male/female female male/female 8 male/ /female female 8 male/female 8/7 female 8/7 Fifteen cases of proven mucormycosis (male Fifteen cases of proven mucormycosis (male/female male/female 8/ male/female 8/7; median age female 8/ cases of proven mucormycosis (male female 8/7; median age cases of proven mucormycosis (male/female male/female 8/7; median age 14.1 years, range 7.7-18.6) were reported male/female 8/7; median male/female 8/7;"
"Absidia_corymbifera_32388712:Absidia corymbifera
",none,"case our Lichtheimia ornata case survival recipient our patient survival patient survival. patient survival. case, 44 cases to our Lichtheimia ornata case recipient caused by L. ornata is reported; the agent was identified by sequencing the ITS ribosomal region. We our Lichtheimia ornata case, 44 cases a hematopoietic stem cell transplantation recipient first case of a fatal rhino-orbital-cerebral infection in a hematopoietic stem cell transplantation recipient case of a fatal rhino-orbital-cerebral infection in a hematopoietic stem cell transplantation recipient case, 44 cases of human Lichtheimia were analyzed addition to our Lichtheimia ornata case to our RESULTS: In addition to our Lichtheimia ornata case,"
"Absidia_corymbifera_33194153:Absidia corymbifera
",none,child 15-year-old child We describe a case of of Lichtheimia corymbifera infection in a 15-year-old child 15 This case -year-old child old child year-old child a 15-year-old child -old child This case describe a case of of Lichtheimia corymbifera infection in a 15-year-old child Report: We describe a case of of Lichtheimia corymbifera infection in a 15-year-old child case of of Lichtheimia corymbifera infection in a 15-year-old child a case of of Lichtheimia corymbifera infection in a 15-year-old child We describe a case of of Lichtheimia corymbifera infection in a 15 Case Report: We describe a case of of Lichtheimia corymbifera infection in a 15-year-old child 15-year 15-year-old
"Absidia_corymbifera_33253454:Absidia corymbifera
",none,214 214 cases cases 35-year retrospective study of 214 study of 214 45 45 years retrospective study of 214 year retrospective study of 214 35-year retrospective study of 214 cases years study of 214 cases proven cases -year retrospective study of 214 age of 45 of 214 retrospective study of 214 cases proven year retrospective study of 214 cases age of 45 years
"Absidia_ornata_32388712:Absidia ornata
",none,"survival patient survival patient case survival. patient survival. recipient our Lichtheimia ornata case . case, 44 cases recipient caused by L. ornata is reported; the agent was identified by sequencing the ITS ribosomal region. We first case of a fatal rhino-orbital-cerebral infection in a hematopoietic stem cell transplantation recipient case of a fatal rhino-orbital-cerebral infection in a hematopoietic stem cell transplantation recipient a hematopoietic stem cell transplantation recipient to our Lichtheimia ornata case our case, 44 cases of human Lichtheimia were analyzed case, 44 cases of human We addition to our Lichtheimia ornata case"
"Absidia_ramosa_24103142:Absidia ramosa
",女,girl 4-year-old girl year-old girl -year-old girl girl with old girl -old girl girl with chronic intestinal pseudo-obstruction syndrome underwent a A 4-year-old girl . A 4-year-old girl 4 4-year 4-year-old 4- 4-year-old girl with 4-year- 4-year-old girl with chronic intestinal pseudo-obstruction syndrome underwent a year year-old -year
"Absidia_ramosa_24925144:Absidia ramosa
",男,man 52-year-old man We report a fatal case of pulmonary mucormycosis due to Lichtheimia ramosa in a 52-year-old man man with an end-stage HIV infection. He report a fatal case of pulmonary mucormycosis due to Lichtheimia ramosa in a 52-year-old man year-old man old man -year-old man -old man man with an end-stage HIV infection. He had a cachectic appearance and his a fatal case of pulmonary mucormycosis due to Lichtheimia ramosa in a 52-year-old man a 52-year-old man fatal case of pulmonary mucormycosis due to Lichtheimia ramosa in a 52-year-old man man with an end-stage HIV infection case of pulmonary mucormycosis due to Lichtheimia ramosa in a 52-year-old man in a 52-year-old man case our case as in our case our
"Absidia_ramosa_25250768:Absidia ramosa
",none,patients 71 patients commonest 71 commonest underlying condition was uncontrolled diabetes mellitus. Records of 54 patients originating from 71 patients commonest underlying condition was uncontrolled diabetes mellitus. Records of 54 patients revealed fatalities in 28 cases. commonest underlying condition was uncontrolled diabetes mellitus. Records of 54 patients revealed fatalities in 28 cases 54 patients Eighty isolates originating from 71 patients commonest underlying condition was uncontrolled diabetes mellitus. Records of 54 patients revealed fatalities originating from 71 from 71 patients commonest underlying condition was uncontrolled diabetes mellitus. Records patients revealed fatalities commonest underlying condition was uncontrolled diabetes mellitus. Records of 54 patients revealed fatalities in 28 patients comprised patients revealed fatalities in 28 isolates originating from 71 patients
"Absidia_ramosa_25587084:Absidia ramosa
",男,"male patients was 40.43 years, with 72% male mean age of the patients was 40.43 years, with 72% male % male 40.43 years, with 72% male patients the patients was 40.43 years, with 72% male years, with 72% male age of the patients was 40.43 years, with 72% male 38 patients .43 years, with 72% male was 40.43 years, with 72% male 72% male with 72% male of the patients was 40.43 years, with 72% male The mean age of the patients was 40.43 years, with 72% male 43 years, with 72% male , with 72% male 38 conducted a prospective study of 38 patients"
"Absidia_ramosa_26645867:Absidia ramosa
",男,boy 8-year-old boy An 8-year-old boy old boy year-old boy -year-old boy boy with -old boy RESULTS: An 8-year-old boy : An 8-year-old boy He 8 8-year-old he 8-year 8- 8-year- An 8 8-year-old boy with He successfully achieved complete remission without progression of mucormycosis.
"Absidia_ramosa_27445521:Absidia ramosa
",男,"male 56-year-old male We present a fatal case of mucormycosis, affecting a 56-year-old male year-old male -year-old male -old male old male present a fatal case of mucormycosis, affecting a 56-year-old male . We present a fatal case of mucormycosis, affecting a 56-year-old male a 56-year-old male a fatal case of mucormycosis, affecting a 56-year-old male fatal case of mucormycosis, affecting a 56-year-old male affecting a 56-year-old male , affecting a 56-year-old male he 56 subject's clinical condition worsened and he emboli emboli and 56-year"
"Absidia_ramosa_29526942:Absidia ramosa
",女,woman 53-year-old woman year-old woman -year-old woman old woman -old woman A 53-year-old woman woman was woman was hospitalized woman was hospital calidoustus.ABSTRACT:A 53-year-old woman woman was hospitalized due to septic shock after developing pneumococcal pneumonia after undergoing esophageal cancer surgery. Her :A 53-year-old woman ABSTRACT:A 53-year-old woman 53 53-year 53-year-old 53- 53-year- A 53
"Absidia_ramosa_29642408:Absidia ramosa
",男,"male male patients and 27 were females females male patients were females male patients and 27 were male patients and 27 56 were male were male patients and 27 were females 27 were females 56 were male patients and 27 were females were male patients and 27 were females said time period. Out of these, 56 were male , 56 were male these, 56 were male male patients and said time period. Out of these, 56 were male patients and 27 were females , 56 were male patients and 27 were females these, 56 were male patients and 27 were females"
"Absidia_ramosa_30879588:Absidia ramosa
",none,present present case present case demonstrates case case demonstrates present case demonstrates the present case demonstrates the importance demonstrates The present The present case The present case demonstrates case demonstrates the case demonstrates the importance demonstrates the we demonstrates the importance The recipients we report The present case demonstrates the
"Acremonium_16410951:Acremonium
",none,"child four-month-old child We report on a four-month-old child these patients month-old child on a four-month-old child these patients report on a four-month-old child old child -old child -month-old child a four-month-old child patients, and these patients. and a precise diagnosis and early institution of specific treatment against such microorganisms for the reduction of the morbidity and mortality of these patients child with reduction of the morbidity and mortality of these patients patients, and a precise diagnosis and early institution of specific treatment against such microorganisms for the reduction and a precise diagnosis and early institution of specific treatment against such microorganisms for the reduction of the morbidity and mortality of these"
"Acremonium_1895586:Acremonium
",男,"man case, a 64-year-old man first case, a 64-year-old man second case, a 64-year-old man 64-year-old man , a 64-year-old man old man -year-old man The second case, a 64-year-old man year-old man a 64-year-old man The first case, a 64-year-old man -old man man, man, developed fever and dyspnea on exertion in January 1986. He man who reported. The first case, a 64-year-old man man who had used ultrasonic humidifier in his living man who had used ultrasonic humidifier in his man who had used ultrasonic humidifier in his living room"
"Acremonium_1956281:Acremonium
",none,"reports response. Based on anecdotal reports reports, treatment of most invasive acremonium infections Based on anecdotal reports on anecdotal reports clinical response. Based on anecdotal reports reports, treatment anecdotal reports, response infections . response. Based on anecdotal reports, treatment of most invasive acremonium infections individuals Based on anecdotal reports, treatment of most invasive acremonium infections clinical response on anecdotal reports, treatment of most invasive acremonium infections clinical response. Based on anecdotal reports, treatment of most invasive acremonium infections response. Based individuals. Mycetoma, which usually develops following trauma treatment of most invasive acremonium infections"
"Acremonium_22402374:Acremonium
",none,empty
"Acremonium_26528372:Acremonium
",男,"man 59 year-old diabetic man we report a 59 year-old diabetic man diabetic man year-old diabetic man old diabetic man report a 59 year-old diabetic man a 59 year-old diabetic man -old diabetic man Herein, we report a 59 year-old diabetic man hosts has never been reported in the literature. Herein, we report a 59 year-old diabetic man , we report a 59 year-old diabetic man . Herein, we report a 59 year-old diabetic man man with 59 59 year 59 year-old 59 year-old di 59 year-old diabetic and"
"Acremonium_28491812:Acremonium
",none,patient a patient We present a case of Acremonium pneumonia in a patient present a case of Acremonium pneumonia in a patient patient with no past medical history patient with no past medical history who was found to have AIDS. patient with case of Acremonium pneumonia in a patient in a patient a case of Acremonium pneumonia in a patient a We present a case of Acremonium pneumonia in a We We present present a case of Acremonium pneumonia in a a patient with no past medical history a patient with no past medical history who was found to have AIDS. a patient with We present a We present a case
"Acremonium_atrogriseum_21068274:Acremonium atrogriseum
",none,"study 75 our study 119 119 isolates referred to a United States reference laboratory under the name Acremonium, only 75 of the most interesting findings of our study 75 Acremonium isolates (67 total of 50 of the 75 our 50 of the 75 total this study of the most interesting findings of our of our study of 50 of the 75 of total of 50 of the 75 Acremonium isolates (67 most interesting findings of our study interesting findings of our study 50 of the 75 Acremonium isolates (67"
"Acremonium_implicatum_21068274:Acremonium implicatum
",none,"study 119 75 119 isolates referred to a United States reference laboratory under the name Acremonium, only 75 our study 75 Acremonium isolates (67 total of 50 of the 75 our total 50 of the 75 the 119 of 50 of the 75 119 isolates referred to a United States reference laboratory under the name Acremonium, only total of 50 of the 75 Acremonium isolates (67 of our study the most interesting findings of our study the 119 isolates referred to a United States reference laboratory under the name Acremonium, only 75 these isolates to those of type or reference strains of well-known Acremonium species. Of the 119 only 75 most interesting findings of our study"
"Acremonium_kiliense_16410951:Acremonium kiliense
",none,"child four-month-old child We report on a four-month-old child these patients patients month-old child on a four-month-old child these -old child -month-old child report on a four-month-old child old child a four-month-old child reduction of the morbidity and mortality of these patients patients, and and a precise diagnosis and early institution of specific treatment against such microorganisms for the reduction of the morbidity and mortality of these patients patients, and a precise diagnosis and early institution of specific treatment against such microorganisms for the reduction child with reduction of the morbidity and mortality of these these patients."
"Acremonium_kiliense_21068274:Acremonium kiliense
",none,"study 119 75 119 isolates referred to a United States reference laboratory under the name Acremonium, only 75 our study 75 Acremonium isolates (67 total of 50 of the 75 our total 50 of the 75 the 119 of 50 of the 75 119 isolates referred to a United States reference laboratory under the name Acremonium, only total of 50 of the 75 Acremonium isolates (67 of our study the most interesting findings of our study the 119 isolates referred to a United States reference laboratory under the name Acremonium, only 75 these isolates to those of type or reference strains of well-known Acremonium species. Of the 119 only 75 most interesting findings of our study"
"Acremonium_kiliense_24002104:Acremonium kiliense
",none,"patient work One year later, the patient work, we performed an overview of worldwide clinical infections caused by A. kiliense. year later, the patient the patient work, we performed work, we this work performed an overview of worldwide clinical infections caused by A. kiliense. work, we performed an overview of worldwide A . work, we performed an A case One we performed an overview of worldwide clinical infections caused by A. kiliense. this work, we performed an overview of worldwide clinical infections caused by A. kiliense. case performed"
"Acremonium_kiliense_28327806:Acremonium kiliense
",none,"patients 117 patients 117 from 117 patients patients, involving from 117 Data from 117 patients 117 patients, involving patients, GO, Brazil. METHODS:: Data from 117 patients 117 patients, Goiania-GO, Brazil. METHODS:: Data from 117 patients patients, involving 19 cases of IFIs, were collected. The collected data 117 patients, involving 19 cases of IFIs, were collected. The collected data patients, involving 19 cases of IFIs, were collected. The collected Data from 117 patients, involving 19 cases of IFIs, were collected 117 patients, involving 19 cases of IFIs, were collected. The collected 117 patients, involving 19 cases of IFIs, were collected : Data from 117 patients"
"Acremonium_recifei_21068274:Acremonium recifei
",none,"study 75 our study 119 119 isolates referred to a United States reference laboratory under the name Acremonium, only 75 of the most interesting findings of our study 75 Acremonium isolates (67 total of 50 of the 75 our 50 of the 75 total of the most interesting findings of our of our study of 50 of the 75 of this study total of 50 of the 75 Acremonium isolates (67 most interesting findings of our study interesting findings of our study 50 of the 75 Acremonium isolates (67"
"Acrophialophora_11101597:Acrophialophora
",女,girl 12-year-old girl old girl girl with acute lymphoblastic leukemia was referred year-old girl -year-old girl A 12-year-old girl -old girl girl with girl with acute lymphoblastic leukemia was referred to King Faisal Specialist girl with acute lymphoblastic leukemia girl with acute lymphoblastic leukemia was referred to girl with acute lymphoblastic leukemia was referred to King Faisal Specialist Hospital and girl with acute lymphoblastic leukemia was :A 12-year-old girl taxonomy.ABSTRACT:A 12-year-old girl 12 12-year-old 12-year patient
"Acrophialophora_15762812:Acrophialophora
",none,patients patients in order to distinguish between colonization and invasion. . evaluating patients evaluating patients in order to distinguish between colonization and invasion. evaluating adult adult patient patient adult patient is discussed. A second case of respiratory colonization by Acrophialophora fusispora in a child healthy adult adult patient is discussed One case of colonization of a post-traumatic scalp wound by Aspergillus nidulans and Fusarium solani in a healthy adult adult patient is discussed. A second case a healthy adult case of colonization of a post-traumatic scalp wound by Aspergillus nidulans and Fusarium solani in a healthy adult scalp wound by Aspergillus nidulans and Fusarium solani in a healthy adult traumatic scalp wound by Aspergillus nidulans and Fusarium solani in a healthy adult healthy adult patient patient is discussed. A second case of respiratory colonization by Acrophialophora fusispora in a child
"Acrophialophora_25716450:Acrophialophora
",none,clinical clinical isolate have analysis studied studied a set of clinical and environmental have studied have studied a set of clinical and environmental clinical isolates we have among clinical prevalent species among clinical various authors to be synonyms of A. fusispora. Sequence analysis among clinical isolate prevalent Sequence analysis environmental clinical and environmental prevalent species among clinical isolate we have studied
"Acrophialophora_31615438:Acrophialophora
",男,"male 71-year-old male male patient year-old male -year-old male old male -old male male patient with male patient with severe male patient with severe pneumonia A 71-year-old male male patient with severe pneumonia complicated with multiple organ dysfunction caused by A. levis infection human infection worldwide, but it has not been reported previously in China. CASE PRESENTATION: A 71-year-old male PRESENTATION: A 71-year-old male : A 71-year-old male 71 71-year 71-year-old male patient 71-year-old 71-"
"Acrophialophora_32008965:Acrophialophora
",none,"59 this this is the first case our knowledge, this our knowledge, this is the first case , this , this is the first case case we report a case of pulmonary infection due to A. fusispora in a 59 59-year 59- a 59 report a case of pulmonary infection due to A. fusispora in a 59 we case of pulmonary infection due to A. fusispora in a 59 a case of pulmonary infection due to A. fusispora in a 59 Here, we report a case of pulmonary infection due to A. fusispora in a 59 , we report a case of pulmonary infection due to A. fusispora in a 59 we report a case of pulmonary infection due to A. fusispora in a . Here, we report a case of pulmonary infection due to A. fusispora in a 59"
"Acrophialophora_fusispora_11101597:Acrophialophora fusispora
",女,girl 12-year-old girl old girl girl with acute lymphoblastic leukemia was referred year-old girl -year-old girl A 12-year-old girl -old girl girl with girl with acute lymphoblastic leukemia was referred to girl with acute lymphoblastic leukemia was referred to King Faisal Specialist girl with acute lymphoblastic leukemia girl with acute lymphoblastic leukemia was referred to King girl with acute lymphoblastic leukemia was girl with acute lymphoblastic leukemia was referred to King Faisal :A 12-year-old girl taxonomy.ABSTRACT:A 12-year-old girl 12 12-year-old 12-year
"Acrophialophora_fusispora_15762812:Acrophialophora fusispora
",none,adult patients adult patient evaluating patients patients in order to distinguish between colonization and invasion evaluating evaluating patients in order to distinguish between colonization and invasion patient healthy adult invasion adult patient is discussed adult patient is discussed. A second case of respiratory colonization by Acrophialophora fusispora in a child One case of colonization of a post-traumatic scalp wound by Aspergillus nidulans and Fusarium solani in a healthy adult adult patient is discussed. A second case a healthy adult case of colonization of a post-traumatic scalp wound by Aspergillus nidulans and Fusarium solani in a healthy adult scalp wound by Aspergillus nidulans and Fusarium solani in a healthy adult traumatic scalp wound by Aspergillus nidulans and Fusarium solani in a healthy adult wound by Aspergillus nidulans and Fusarium solani in a healthy adult healthy adult patient
"Acrophialophora_fusispora_25716450:Acrophialophora fusispora
",none,studied a set of clinical and environmental environmental studied clinical and environmental a set of clinical and environmental set of clinical and environmental we have studied a set of clinical and environmental analysis have studied a set of clinical and environmental we have studied have studied clinical studied a set of clinical we have have Sequence analysis studied a of clinical and environmental studied a set clinical isolate
"Acrophialophora_fusispora_32008965:Acrophialophora fusispora
",none,"patient patient outcomes and improve patient therapy and improve patient outcomes and improve patient outcomes therapy and improve patient outcomes and patient outcomes. To patient outcomes. To our knowledge, this therapy and and improve therapy and improve therapy outcomes. To outcomes. To our knowledge, this this and improve patient outcomes. To and improve patient outcomes. To our knowledge, this therapy and improve patient outcomes. To"
"Actinomucor_elegans_31410599:Actinomucor elegans
",none,patient 5-year-old patient year-old patient old patient -year-old patient -old patient A 5-year-old patient :A 5-year-old patient patient treated diseases.ABSTRACT:A 5-year-old patient patient treated for patient treated for acute lymphoblastic leukaemia (ALL patient treated for acute lymphoblastic leukaemia (AL 5 patient is still in 5-year-old 5-year patient is still in the 5- 5-year-
"Ajellomyces_capsulatus_11602023:Ajellomyces capsulatus
",男,"men 38.2 +/- 8.9 years, 62% were men years, 62% were men age (mean +/- SD) was 38.2 +/- 8.9 years, 62% were men patients Patient age (mean +/- SD) was 38.2 +/- 8.9 years, 62% were men, were men % were men was 38.2 +/- 8.9 years, 62% were men Patient age (mean +/- SD) was 38.2 +/- 8.9 years, 62% were men men, and 62% were men men, and 84% were African American men, and 84% men, and 84 , 62% were men 8.9 years, 62% were men 2 +/- 8.9 years, 62% were men 38 age (mean +/- SD) was 38"
"Ajellomyces_capsulatus_11694904:Ajellomyces capsulatus
",男,"man 56-year-old man year-old man -year-old man old man -old man man with A 56-year-old man man with persistently elevated liver enzyme levels, fatigue, lethargy and a 9.0 kg weight man with persistently elevated liver enzyme levels, fatigue, lethargy and a 9.0 kg weight loss man with persistently elevated liver enzyme levels, fatigue, lethargy and a 9.0 kg man with persistently elevated liver enzyme levels, fatigue, lethargy and a 9.0 kg weight loss over six months man with persistently elevated liver enzyme levels, fatigue, lethargy and a 9.0 kg weight loss over six crisis.ABSTRACT:A 56-year-old man :A 56-year-old man 56 56-year 56-year-old fatality rate 56-"
"Ajellomyces_capsulatus_11695094:Ajellomyces capsulatus
",none,"patients irrespective patients with effective antiretroviral therapy, as soon as CD4-lymphocytes persistently (&gt; patients with in patients patients with effective antiretroviral therapy irrespective of the CD4-lymphocyte counts. During treatment . The primary and secondary prophylaxis against opportunistic pathogens can be discontinued in patients irrespective of the CD4-lymphocyte counts. irrespective of of the CD4-lymphocyte counts. During treatment treatment . the CD4-lymphocyte counts. During treatment patients with & of the CD4-lymphocyte counts in patients with effective antiretroviral therapy, as soon as CD4-lymphocytes persistently (&gt; ; 3 months) remain above threshold levels. levels. in patients with"
"Ajellomyces_capsulatus_11780341:Ajellomyces capsulatus
",none,patients subjects (18.8%) in 735 patients 138 subjects (18.8%) in 735 patients 735 patients people subjects 138 subjects 18.8%) in 735 patients in 735 patients total of 138 subjects (18.8%) in 735 patients 138 people and 435 hospitalized patients subjects (18.8%) in 735 138 subjects (18.8%) in 735 A total of 138 subjects (18.8%) in 735 patients of 138 subjects (18.8%) in 735 patients 735 hundred normal people normal people people and
"Ajellomyces_capsulatus_13339824:Ajellomyces capsulatus
",none,empty
"Ajellomyces_capsulatus_14525547:Ajellomyces capsulatus
",男,patient our patient patient's experience our patient's experience our experience patient's patient's experience suggests that this immune recovery may be selective and incomplete. He our patient's our patient's experience suggests that this immune recovery may be selective and incomplete. s experience experience suggests that this immune recovery may be selective and incomplete. s s experience suggests that this immune recovery may be selective and incomplete. He developed disease He developed . He disease 3 months after discontinuing trimethoprim-sulfamethoxazole prophylaxis. He
"Ajellomyces_capsulatus_14663287:Ajellomyces capsulatus
",none,patients patients and in 4 of these was associated with Cryptosporidium infection. Eight patients patients from 60 patients from 60 unrelated 79 patients patients from 60 unrelated families unrelated patients from 60 unrelated families were registered patients from 60 unrelated families were registered between January 1997 and July 2002. The estimated minimal incidence unrelated families families 79 patients from 60 60 patients from 79 patients from 60 unrelated 60 unrelated 79 patients from 60 unrelated families Eight patients total of 79 patients of 79 patients
"Ajellomyces_capsulatus_15569333:Ajellomyces capsulatus
",男,"female female/male male female/male ratio male ratio female/ female/male ratio 11/ /male 33 +/- 14 SD years, female male ratio 11/ 33 +/- 14 SD years, female/male female/male ratio 11 mean age 33 +/- 14 SD years, female mean age 33 +/- 14 SD years, female/male age 33 +/- 14 SD years, female female/male ratio 11/2, Caucasians 7, African Americans 5, Oriental male ratio 11 age 33 +/- 14 SD years, female/male female/male ratio 11/2 male ratio 11/2, Caucasians 7, African Americans 5, Oriental"
"Ajellomyces_capsulatus_1556966:Ajellomyces capsulatus
",none,"patient patient, a bulldozer-operator patient, a operator a bulldozer-operator patient, patient, a bulldozer-operator, patient, a bulldozer- The patient a patient, a bulldozer-operator, worked -operator , a bulldozer-operator patient, a bulldozer operator, case of recurrent pulmonary histoplasmosis due to Histoplasma capsulatum. The patient patient, a bulldozer-operator, worked in a case of recurrent pulmonary histoplasmosis due to Histoplasma capsulatum. The patient patient, a bulldozer-operator, worked in Africa The patient, a bulldozer-operator"
"Ajellomyces_capsulatus_16145175:Ajellomyces capsulatus
",none,"patient indicating the recurrent nature of infection identical, indicating the recurrent nature of infection indicating indicating the recurrent nature , indicating the recurrent nature of infection identical, indicating We identical, indicating the recurrent nature identical, infection indicating the , indicating identical indicating the re , indicating the recurrent nature , the recurrent nature of infection were identical, indicating the recurrent nature of infection indicating the recurrent nature of infection."
"Ajellomyces_capsulatus_16331860:Ajellomyces capsulatus
",女,women population HIV population HIV in the Puerto Rican HIV population in the Puerto Rican HIV the Puerto Rican HIV population the Puerto Rican HIV patients 31 Puerto Rican HIV patients a HIV-infected population men and heterosexual contact in women infected population 31 women. BAL was diagnostic in 17/32 (53%) of the cases HIV patients series of a HIV-infected population women. BAL was diagnostic in 17/32 patients for the period old. Predominant mode of infection of the virus was intravenous drug use in men and heterosexual contact in women
"Ajellomyces_capsulatus_16440543:Ajellomyces capsulatus
",男,man 59-year-old man year-old man -year-old man -old man old man a 59-year-old man questionable lung mass in a 59-year-old man 59 59-year 59-year-old 59- 59-year- a 59 questionable lung mass in a 59 year -year year-old year- -year-old
