,num,num_origin
"Ajellomyces_capsulatus_21634031:Ajellomyces capsulatus
",1,a
"Ajellomyces_capsulatus_21810734:Ajellomyces capsulatus
",>100,218
"Ajellomyces_capsulatus_22121356:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_22840384:Ajellomyces capsulatus
",1,One case
"Ajellomyces_capsulatus_23203645:Ajellomyces capsulatus
",none,these patients
"Ajellomyces_capsulatus_23393000:Ajellomyces capsulatus
",1,A
"Ajellomyces_capsulatus_23664715:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_23956402:Ajellomyces capsulatus
",1,A
"Ajellomyces_capsulatus_24499506:Ajellomyces capsulatus
",1,a
"Ajellomyces_capsulatus_24760069:Ajellomyces capsulatus
",1,a
"Ajellomyces_capsulatus_2476103:Ajellomyces capsulatus
",10-100,59
"Ajellomyces_capsulatus_24856525:Ajellomyces capsulatus
",none,:Urinary antigen testing has grown in popularity for several
"Ajellomyces_capsulatus_25351289:Ajellomyces capsulatus
",>100,226
"Ajellomyces_capsulatus_25802128:Ajellomyces capsulatus
",1,A
"Ajellomyces_capsulatus_26398539:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_26449511:Ajellomyces capsulatus
",1-10,Three cases
"Ajellomyces_capsulatus_26744657:Ajellomyces capsulatus
",1-10,three cases
"Ajellomyces_capsulatus_26896884:Ajellomyces capsulatus
",1,A
"Ajellomyces_capsulatus_26897068:Ajellomyces capsulatus
",none,patients
"Ajellomyces_capsulatus_26974302:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_27330956:Ajellomyces capsulatus
",1,a case
"Ajellomyces_capsulatus_27837497:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_27927829:Ajellomyces capsulatus
",1,A
"Ajellomyces_capsulatus_27997332:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_28070050:Ajellomyces capsulatus
",10-100,12 cases
"Ajellomyces_capsulatus_28080991:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_28161740:Ajellomyces capsulatus
",10-100,43
"Ajellomyces_capsulatus_2836878:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_28384860:Ajellomyces capsulatus
",10-100,71
"Ajellomyces_capsulatus_28684133:Ajellomyces capsulatus
",none,some cases
"Ajellomyces_capsulatus_28797489:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_29374650:Ajellomyces capsulatus
",1,A
"Ajellomyces_capsulatus_29519625:Ajellomyces capsulatus
",1,a first case of disseminated histoplasmosis in a
"Ajellomyces_capsulatus_29744231:Ajellomyces capsulatus
",1,A
"Ajellomyces_capsulatus_2986505:Ajellomyces capsulatus
",>100,171
"Ajellomyces_capsulatus_29912691:Ajellomyces capsulatus
",>100,"1,392"
"Ajellomyces_capsulatus_29942759:Ajellomyces capsulatus
",1,A
"Ajellomyces_capsulatus_30114999:Ajellomyces capsulatus
",1,A
"Ajellomyces_capsulatus_30584503:Ajellomyces capsulatus
",1,a
"Ajellomyces_capsulatus_30898964:Ajellomyces capsulatus
",1-10,three
"Ajellomyces_capsulatus_31207386:Ajellomyces capsulatus
",>100,289
"Ajellomyces_capsulatus_31316875:Ajellomyces capsulatus
",1,a
"Ajellomyces_capsulatus_31344869:Ajellomyces capsulatus
",10-100,up to 10% of cases
"Ajellomyces_capsulatus_31414001:Ajellomyces capsulatus
",10-100,33
"Ajellomyces_capsulatus_31955178:Ajellomyces capsulatus
",1,A
"Ajellomyces_capsulatus_32000281:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_320285:Ajellomyces capsulatus
",1,a
"Ajellomyces_capsulatus_32099699:Ajellomyces capsulatus
",1,an
"Ajellomyces_capsulatus_32340747:Ajellomyces capsulatus
",1-10,5
"Ajellomyces_capsulatus_32629490:Ajellomyces capsulatus
",1,A
"Ajellomyces_capsulatus_32928557:Ajellomyces capsulatus
",1-10,6
"Ajellomyces_capsulatus_3317978:Ajellomyces capsulatus
",1,a
"Ajellomyces_capsulatus_33718797:Ajellomyces capsulatus
",1,3 Case
"Ajellomyces_capsulatus_33775537:Ajellomyces capsulatus
",>100,213
"Ajellomyces_capsulatus_33819269:Ajellomyces capsulatus
",10-100,21
"Ajellomyces_capsulatus_33925084:Ajellomyces capsulatus
",1-10,two cases
"Ajellomyces_capsulatus_34036653:Ajellomyces capsulatus
",none,.
"Ajellomyces_capsulatus_34037087:Ajellomyces capsulatus
",1,a case
"Ajellomyces_capsulatus_34055523:Ajellomyces capsulatus
",1,A
"Ajellomyces_capsulatus_34068825:Ajellomyces capsulatus
",1,a review
"Ajellomyces_capsulatus_34098976:Ajellomyces capsulatus
",1-10,9 patients
"Ajellomyces_capsulatus_34139578:Ajellomyces capsulatus
",1,:Fungal pneumonia is a dreaded complication encountered after kidney transplantation
"Ajellomyces_capsulatus_34153725:Ajellomyces capsulatus
",1,A
"Ajellomyces_capsulatus_34175216:Ajellomyces capsulatus
",1,an
"Ajellomyces_capsulatus_34199970:Ajellomyces capsulatus
",10-100,83
"Ajellomyces_capsulatus_34236777:Ajellomyces capsulatus
",1,Case
"Ajellomyces_capsulatus_34239744:Ajellomyces capsulatus
",1,A
"Ajellomyces_capsulatus_34251468:Ajellomyces capsulatus
",1,A
"Ajellomyces_capsulatus_34277293:Ajellomyces capsulatus
",1,an
"Ajellomyces_capsulatus_34356955:Ajellomyces capsulatus
",10-100,17
"Ajellomyces_capsulatus_34401330:Ajellomyces capsulatus
",1,case
"Ajellomyces_capsulatus_34422265:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_34474909:Ajellomyces capsulatus
",1-10,Eight
"Ajellomyces_capsulatus_34513158:Ajellomyces capsulatus
",1,a
"Ajellomyces_capsulatus_34549067:Ajellomyces capsulatus
",1,a
"Ajellomyces_capsulatus_34557565:Ajellomyces capsulatus
",10-100,66
"Ajellomyces_capsulatus_34747375:Ajellomyces capsulatus
",1,an
"Ajellomyces_capsulatus_34874582:Ajellomyces capsulatus
",10-100,76
"Ajellomyces_capsulatus_350045:Ajellomyces capsulatus
",10-100,58
"Ajellomyces_capsulatus_416862:Ajellomyces capsulatus
",10-100,20
"Ajellomyces_capsulatus_4397883:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_6252645:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_6974996:Ajellomyces capsulatus
",10-100,92 patients
"Ajellomyces_capsulatus_7985710:Ajellomyces capsulatus
",>100,894
"Ajellomyces_capsulatus_7991523:Ajellomyces capsulatus
",>100,100
"Ajellomyces_capsulatus_8020389:Ajellomyces capsulatus
",1,A
"Ajellomyces_capsulatus_8093636:Ajellomyces capsulatus
",1-10,four
"Ajellomyces_capsulatus_9298723:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_9446191:Ajellomyces capsulatus
",none,:
"Ajellomyces_capsulatus_9676066:Ajellomyces capsulatus
",1,a case
"Ajellomyces_capsulatus_9894949:Ajellomyces capsulatus
",none,patients
"Ajellomyces_crescens_1167442:Ajellomyces crescens
",1,a new case
"Ajellomyces_crescens_1238904:Ajellomyces crescens
",1,A
"Ajellomyces_crescens_12462193:Ajellomyces crescens
",1,a
"Ajellomyces_crescens_15094906:Ajellomyces crescens
",1,a
"Ajellomyces_crescens_16772233:Ajellomyces crescens
",1,a
"Ajellomyces_crescens_17425208:Ajellomyces crescens
",1,a case
"Ajellomyces_crescens_19244459:Ajellomyces crescens
",1,A case
"Ajellomyces_crescens_19734484:Ajellomyces crescens
",1,a case
"Ajellomyces_crescens_22259200:Ajellomyces crescens
",1,a
"Ajellomyces_crescens_22493137:Ajellomyces crescens
",1,A
"Ajellomyces_crescens_2331914:Ajellomyces crescens
",1-10,two
"Ajellomyces_crescens_25787928:Ajellomyces crescens
",1,a
"Ajellomyces_crescens_5062460:Ajellomyces crescens
",none,:
"Ajellomyces_crescens_5106717:Ajellomyces crescens
",1,a unique case
"Ajellomyces_crescens_5166527:Ajellomyces crescens
",1,an
"Ajellomyces_crescens_5408596:Ajellomyces crescens
",none,:
"Ajellomyces_crescens_5507021:Ajellomyces crescens
",none,:
"Ajellomyces_crescens_570537:Ajellomyces crescens
",10-100,Fifty
"Ajellomyces_crescens_6541531:Ajellomyces crescens
",>100,125
"Ajellomyces_crescens_6625072:Ajellomyces crescens
",1,a
"Ajellomyces_crescens_8352373:Ajellomyces crescens
",10-100,11 cases
"Ajellomyces_crescens_945461:Ajellomyces crescens
",1-10,5 cases
"Ajellomyces_dermatitidis_10072267:Ajellomyces dermatitidis
",1-10,two
"Ajellomyces_dermatitidis_10490216:Ajellomyces dermatitidis
",1,An
"Ajellomyces_dermatitidis_10770729:Ajellomyces dermatitidis
",1,a case
"Ajellomyces_dermatitidis_10982135:Ajellomyces dermatitidis
",1-10,Two
"Ajellomyces_dermatitidis_11340548:Ajellomyces dermatitidis
",1-10,2
"Ajellomyces_dermatitidis_11888958:Ajellomyces dermatitidis
",>100,119
"Ajellomyces_dermatitidis_13206703:Ajellomyces dermatitidis
",1,a
"Ajellomyces_dermatitidis_14375842:Ajellomyces dermatitidis
",none,:
"Ajellomyces_dermatitidis_15314888:Ajellomyces dermatitidis
",1,A
"Ajellomyces_dermatitidis_15871735:Ajellomyces dermatitidis
",1-10,Five cases
"Ajellomyces_dermatitidis_16397422:Ajellomyces dermatitidis
",1,A
"Ajellomyces_dermatitidis_16821476:Ajellomyces dermatitidis
",1,a case
"Ajellomyces_dermatitidis_17149463:Ajellomyces dermatitidis
",1,a
"Ajellomyces_dermatitidis_17414110:Ajellomyces dermatitidis
",10-100,Thirteen
"Ajellomyces_dermatitidis_17428278:Ajellomyces dermatitidis
",10-100,11
"Ajellomyces_dermatitidis_18320978:Ajellomyces dermatitidis
",10-100,17
"Ajellomyces_dermatitidis_18574291:Ajellomyces dermatitidis
",1-10,two
"Ajellomyces_dermatitidis_18651302:Ajellomyces dermatitidis
",>100,324
"Ajellomyces_dermatitidis_18822873:Ajellomyces dermatitidis
",1,A
"Ajellomyces_dermatitidis_18931937:Ajellomyces dermatitidis
",>100,318
"Ajellomyces_dermatitidis_19496934:Ajellomyces dermatitidis
",1-10,Two
"Ajellomyces_dermatitidis_21852517:Ajellomyces dermatitidis
",1-10,three cases
"Ajellomyces_dermatitidis_22747656:Ajellomyces dermatitidis
",1,A
"Ajellomyces_dermatitidis_23228191:Ajellomyces dermatitidis
",1,a case
"Ajellomyces_dermatitidis_23717820:Ajellomyces dermatitidis
",1,a
"Ajellomyces_dermatitidis_25125734:Ajellomyces dermatitidis
",none,", cases"
"Ajellomyces_dermatitidis_25217516:Ajellomyces dermatitidis
",1,A
"Ajellomyces_dermatitidis_26020566:Ajellomyces dermatitidis
",>100,114
"Ajellomyces_dermatitidis_26465989:Ajellomyces dermatitidis
",1,A
"Ajellomyces_dermatitidis_26739607:Ajellomyces dermatitidis
",none,:
"Ajellomyces_dermatitidis_26986699:Ajellomyces dermatitidis
",1,a case
"Ajellomyces_dermatitidis_27927829:Ajellomyces dermatitidis
",1,A
"Ajellomyces_dermatitidis_28797487:Ajellomyces dermatitidis
",none,:
"Ajellomyces_dermatitidis_28797489:Ajellomyces dermatitidis
",none,:
"Ajellomyces_dermatitidis_28813733:Ajellomyces dermatitidis
",1,a
"Ajellomyces_dermatitidis_29601779:Ajellomyces dermatitidis
",1,A
"Ajellomyces_dermatitidis_29849375:Ajellomyces dermatitidis
",1,a
"Ajellomyces_dermatitidis_29912691:Ajellomyces dermatitidis
",>100,"1,392"
"Ajellomyces_dermatitidis_30263127:Ajellomyces dermatitidis
",1,a
"Ajellomyces_dermatitidis_30775340:Ajellomyces dermatitidis
",1,a case
"Ajellomyces_dermatitidis_31027465:Ajellomyces dermatitidis
",1-10,five
"Ajellomyces_dermatitidis_31324667:Ajellomyces dermatitidis
",1,A
"Ajellomyces_dermatitidis_31414001:Ajellomyces dermatitidis
",10-100,33
"Ajellomyces_dermatitidis_31656442:Ajellomyces dermatitidis
",1,a
"Ajellomyces_dermatitidis_31896663:Ajellomyces dermatitidis
",10-100,20 cases
"Ajellomyces_dermatitidis_31939939:Ajellomyces dermatitidis
",1,an immunocompromised patient
"Ajellomyces_dermatitidis_320285:Ajellomyces dermatitidis
",1,a
"Ajellomyces_dermatitidis_32179889:Ajellomyces dermatitidis
",>100,106
"Ajellomyces_dermatitidis_32205801:Ajellomyces dermatitidis
",1-10,2
"Ajellomyces_dermatitidis_32310071:Ajellomyces dermatitidis
",>100,671
"Ajellomyces_dermatitidis_32337141:Ajellomyces dermatitidis
",1,a
"Ajellomyces_dermatitidis_32371194:Ajellomyces dermatitidis
",none,": Retrospectively, we identified all patients"
"Ajellomyces_dermatitidis_32455114:Ajellomyces dermatitidis
",1,a
"Ajellomyces_dermatitidis_32489864:Ajellomyces dermatitidis
",1,a case of disseminated blastomycosis in a
"Ajellomyces_dermatitidis_32571776:Ajellomyces dermatitidis
",>100,140
"Ajellomyces_dermatitidis_32629490:Ajellomyces dermatitidis
",1,A
"Ajellomyces_dermatitidis_32649137:Ajellomyces dermatitidis
",1,a case
"Ajellomyces_dermatitidis_32652975:Ajellomyces dermatitidis
",1,A
"Ajellomyces_dermatitidis_32656024:Ajellomyces dermatitidis
",1,a rare case
"Ajellomyces_dermatitidis_32766820:Ajellomyces dermatitidis
",1-10,9
"Ajellomyces_dermatitidis_32831941:Ajellomyces dermatitidis
",1-10,Eight cases
"Ajellomyces_dermatitidis_32923279:Ajellomyces dermatitidis
",1,a case
"Ajellomyces_dermatitidis_32963686:Ajellomyces dermatitidis
",1,a
"Ajellomyces_dermatitidis_33269079:Ajellomyces dermatitidis
",1,a
"Ajellomyces_dermatitidis_33298609:Ajellomyces dermatitidis
",10-100,38
"Ajellomyces_dermatitidis_33563770:Ajellomyces dermatitidis
",1,A
"Ajellomyces_dermatitidis_33684979:Ajellomyces dermatitidis
",1,a case
"Ajellomyces_dermatitidis_33866867:Ajellomyces dermatitidis
",1,a very rare case
"Ajellomyces_dermatitidis_33990518:Ajellomyces dermatitidis
",10-100,64
"Ajellomyces_dermatitidis_34016289:Ajellomyces dermatitidis
",none,most cases
"Ajellomyces_dermatitidis_34036653:Ajellomyces dermatitidis
",none,.
"Ajellomyces_dermatitidis_34068825:Ajellomyces dermatitidis
",1,a review
"Ajellomyces_dermatitidis_34146378:Ajellomyces dermatitidis
",10-100,30
"Ajellomyces_dermatitidis_34458084:Ajellomyces dermatitidis
",1,A case
"Ajellomyces_dermatitidis_34540497:Ajellomyces dermatitidis
",1,a
"Ajellomyces_dermatitidis_34603804:Ajellomyces dermatitidis
",1,a
"Ajellomyces_dermatitidis_34670643:Ajellomyces dermatitidis
",none,:This retrospective
"Ajellomyces_dermatitidis_34673714:Ajellomyces dermatitidis
",1,a
"Ajellomyces_dermatitidis_34829177:Ajellomyces dermatitidis
",1,A
"Ajellomyces_dermatitidis_34874582:Ajellomyces dermatitidis
",10-100,76
"Ajellomyces_dermatitidis_34888690:Ajellomyces dermatitidis
",1,an uncommon case
"Ajellomyces_dermatitidis_610419:Ajellomyces dermatitidis
",1,A
"Ajellomyces_dermatitidis_6984622:Ajellomyces dermatitidis
",1,A
"Ajellomyces_dermatitidis_792:Ajellomyces dermatitidis
",none,:
"Ajellomyces_dermatitidis_8413389:Ajellomyces dermatitidis
",10-100,10
"Ajellomyces_dermatitidis_8672047:Ajellomyces dermatitidis
",1,a
"Ajellomyces_dermatitidis_8883177:Ajellomyces dermatitidis
",none,:
"Ajellomyces_dermatitidis_9894949:Ajellomyces dermatitidis
",none,patients
"Ajellomyces_dermatitidis_9990284:Ajellomyces dermatitidis
",1,A
"Alternaria_alternata_9360752:Alternaria alternata
",1,a
"Alternaria_infectoria__11326020:Alternaria infectoria 
",1,a case
"Alternaria_infectoria__22897073:Alternaria infectoria 
",1,a
"Alternaria_infectoria__27866319:Alternaria infectoria 
",1,a case
"Anncaliia_22385431:Anncaliia
",1,a
"Anncaliia_34391631:Anncaliia
",1,a
"Anncaliia_algerae_22385431:Anncaliia algerae
",1,a
"Anncaliia_algerae_34391631:Anncaliia algerae
",1,a
"Apophysomyces_elegans_11545569:Apophysomyces elegans
",1-10,nine patients
"Apophysomyces_elegans_16772227:Apophysomyces elegans
",>100,178
"Apophysomyces_elegans_17576314:Apophysomyces elegans
",1,A case
"Apophysomyces_elegans_19386856:Apophysomyces elegans
",>100,190
"Apophysomyces_elegans_19892892:Apophysomyces elegans
",10-100,75
"Apophysomyces_elegans_25250768:Apophysomyces elegans
",10-100,71
"Apophysomyces_elegans_25587084:Apophysomyces elegans
",10-100,38
"Apophysomyces_elegans_30879364:Apophysomyces elegans
",1,a case
"Apophysomyces_variabilis_25587084:Apophysomyces variabilis
",10-100,38
"Apophysomyces_variabilis_29642408:Apophysomyces variabilis
",10-100,82
"Apophysomyces_variabilis_30085158:Apophysomyces variabilis
",>100,388
"Apophysomyces_variabilis_31811914:Apophysomyces variabilis
",>100,465
"Arthroderma_benhamiae_23114507:Arthroderma benhamiae
",none,after contact to
"Arthrographis_22160311:Arthrographis
",1,first case
"Arthrographis_27995052:Arthrographis
",1,a
"Arthrographis_29087135:Arthrographis
",1,a
"Arthrographis_31300282:Arthrographis
",1,a
"Arthrographis_kalrae_22160311:Arthrographis kalrae
",1,first case
"Arthrographis_kalrae_27995052:Arthrographis kalrae
",1,First case
"Arthrographis_kalrae_29087135:Arthrographis kalrae
",1,a
"Arthrographis_kalrae_31300282:Arthrographis kalrae
",1,a
"Aspergillus_alliaceus__17537938:Aspergillus alliaceus 
",1,a
"Aspergillus_alliaceus__20392148:Aspergillus alliaceus 
",1,a case
"Aspergillus_calidoustus_22805441:Aspergillus calidoustus
",1-10,seven
"Aspergillus_calidoustus_23161769:Aspergillus calidoustus
",1,a case
"Aspergillus_calidoustus_24920775:Aspergillus calidoustus
",10-100,48
"Aspergillus_calidoustus_29526942:Aspergillus calidoustus
",1,A
"Aspergillus_calidoustus_30541477:Aspergillus calidoustus
",1,A
"Aspergillus_calidoustus_31925638:Aspergillus calidoustus
",1,a
"Aspergillus_calidoustus_32155243:Aspergillus calidoustus
",1,a
"Aspergillus_calidoustus_32155262:Aspergillus calidoustus
",10-100,90
"Aspergillus_calidoustus_32545485:Aspergillus calidoustus
",none,options
"Aspergillus_candidus_16291268:Aspergillus candidus
",1,first case
"Aspergillus_candidus_2051688:Aspergillus candidus
",1,An
"Aspergillus_candidus_25179636:Aspergillus candidus
",1,an unusual case
"Aspergillus_carneus_26922988:Aspergillus carneus
",1,a case
"Aspergillus_carneus_30289467:Aspergillus carneus
",>100,419
"Aspergillus_fischerianus__25947561:Aspergillus fischerianus 
",1,first case
"Aspergillus_fischerianus__4202251:Aspergillus fischerianus 
",1,a case
"Aspergillus_fischerianus__9730310:Aspergillus fischerianus 
",1,A
"Aspergillus_flavipes_18217319:Aspergillus flavipes
",1,a
"Aspergillus_flavipes_2811014:Aspergillus flavipes
",1,A
"Aspergillus_flavus_10914055:Aspergillus flavus
",1,An
"Aspergillus_flavus_114435:Aspergillus flavus
",none,:
"Aspergillus_flavus_11809609:Aspergillus flavus
",1,a
"Aspergillus_flavus_14737778:Aspergillus flavus
",1,A
"Aspergillus_flavus_15032419:Aspergillus flavus
",1,A
"Aspergillus_flavus_1729033:Aspergillus flavus
",1,a
"Aspergillus_flavus_18500728:Aspergillus flavus
",1,A
"Aspergillus_flavus_19730788:Aspergillus flavus
",1,A
"Aspergillus_flavus_20299503:Aspergillus flavus
",none,.
"Aspergillus_flavus_20692461:Aspergillus flavus
",1,a
"Aspergillus_flavus_22250755:Aspergillus flavus
",1,A
"Aspergillus_flavus_23522080:Aspergillus flavus
",1,a
"Aspergillus_flavus_24914263:Aspergillus flavus
",1,a
"Aspergillus_flavus_25398925:Aspergillus flavus
",1,a
"Aspergillus_flavus_26036497:Aspergillus flavus
",10-100,45
"Aspergillus_flavus_28384860:Aspergillus flavus
",10-100,71
"Aspergillus_flavus_28539863:Aspergillus flavus
",1-10,7
"Aspergillus_flavus_28680996:Aspergillus flavus
",10-100,50
"Aspergillus_flavus_3104658:Aspergillus flavus
",1,a
"Aspergillus_flavus_32134016:Aspergillus flavus
",>100,104
"Aspergillus_flavus_32482366:Aspergillus flavus
",none,:Co-infection has been reported in patients
"Aspergillus_flavus_32837881:Aspergillus flavus
",1,a case
"Aspergillus_flavus_33012653:Aspergillus flavus
",10-100,34
"Aspergillus_flavus_33230628:Aspergillus flavus
",none,the patients
"Aspergillus_flavus_33576014:Aspergillus flavus
",1,a histopathological proven case
"Aspergillus_flavus_33751395:Aspergillus flavus
",1,a
"Aspergillus_flavus_6618677:Aspergillus flavus
",1-10,Twenty-four
"Aspergillus_flavus_6788456:Aspergillus flavus
",none,:
"Aspergillus_flavus_6802046:Aspergillus flavus
",1,"a several-month period in 1977. Notably, 86% of the patients"
"Aspergillus_flavus_8544382:Aspergillus flavus
",1,A
"Aspergillus_flavus_8643846:Aspergillus flavus
",>100,102
"Aspergillus_flavus_9248266:Aspergillus flavus
",10-100,13
"Aspergillus_fumigatus_19730788:Aspergillus fumigatus
",1,A
"Aspergillus_fumigatus_19827582:Aspergillus fumigatus
",1-10,Two cases
"Aspergillus_fumigatus_20205795:Aspergillus fumigatus
",1,a case
"Aspergillus_fumigatus_20803983:Aspergillus fumigatus
",1,A
"Aspergillus_fumigatus_21057748:Aspergillus fumigatus
",1,a
"Aspergillus_fumigatus_21357614:Aspergillus fumigatus
",1,A
"Aspergillus_fumigatus_21700234:Aspergillus fumigatus
",1,A
"Aspergillus_fumigatus_22294141:Aspergillus fumigatus
",1,a case
"Aspergillus_fumigatus_22417634:Aspergillus fumigatus
",1,a case
"Aspergillus_fumigatus_22435902:Aspergillus fumigatus
",1,a
"Aspergillus_fumigatus_23254917:Aspergillus fumigatus
",none,:
"Aspergillus_fumigatus_24033938:Aspergillus fumigatus
",10-100,28
"Aspergillus_fumigatus_24107913:Aspergillus fumigatus
",1,a
"Aspergillus_fumigatus_24862414:Aspergillus fumigatus
",1,case
"Aspergillus_fumigatus_25917588:Aspergillus fumigatus
",1,a
"Aspergillus_fumigatus_26455910:Aspergillus fumigatus
",1,an unusual case
"Aspergillus_fumigatus_26623497:Aspergillus fumigatus
",none,:
"Aspergillus_fumigatus_27041173:Aspergillus fumigatus
",1,an
"Aspergillus_fumigatus_28288860:Aspergillus fumigatus
",10-100,87
"Aspergillus_fumigatus_28377567:Aspergillus fumigatus
",1,A
"Aspergillus_fumigatus_28660636:Aspergillus fumigatus
",1-10,Two cases
"Aspergillus_fumigatus_28780309:Aspergillus fumigatus
",10-100,14
"Aspergillus_fumigatus_28866833:Aspergillus fumigatus
",1,A
"Aspergillus_fumigatus_28990950:Aspergillus fumigatus
",1,A
