,immu,immu_origin
"Absidia_corymbifera_2689623:Absidia corymbifera
",none,"incorrect 116 116 farmed deer examined incorrect management 116 farmed deer examined on suspicion of tuberculosis bred on another farm, where predisposing factors included mouldy straw and incorrect another farm, where predisposing factors included mouldy straw and incorrect incorrect management. fallow deer were bred on another farm, where predisposing factors included mouldy straw and incorrect three fallow deer were bred on another farm, where predisposing factors included mouldy straw and incorrect straw and incorrect 116 farmed 116 farmed deer 116 farm examined 116 farmed deer examined on examined on suspicion of tuberculosis tuberculosis farmed deer examined of 116"
"Absidia_corymbifera_28197828:Absidia corymbifera
",none,Immune-Competent I immune-competent immune-competent patients Immune-Competent Patient Immune-Compete Immune-Competent Pat Immune immune Immune-Co competent competent patients Immune- Imm Competent patients immune-competent patients. We report case of a young male -Competent immune-competent patients. We report case of a young immune-competent patients. We report case of a young male who
"Absidia_corymbifera_30083512:Absidia corymbifera
",抑制,immunocompetent Immunocompetent immunocompetent patient im I immunocompet immunocompetent patient. immuno patient immu immunocom immunosuppressive Immunocompetent Pat Immunocompetent Patient with Electrical Imm Immunocompet injury in an immunocompetent Immunocompetent Patient Immuno Immunocom
"Absidia_corymbifera_30338581:Absidia corymbifera
",抑制,acute leukaemia acute leukaemia and lymphoma acute chemotherapy chemotherapy for acute leukaemia chemotherapy for acute leukaemia and lymphoma chemotherapy for acute lymphoma leukaemia leukaemia and lymphoma ch acute leukaemia and l acute le chemotherapy for oncological acute leukaemia and cancer chemotherapy for acute leukaemia and l chemotherapy for acute le acute leukaemia and lymph
"Absidia_corymbifera_32388712:Absidia corymbifera
",抑制,immunocompromised immunocompromised patients hematopoietic stem cell transplantation recipient im hematopoietic stem cell transplantation hematopoietic hematopoietic stem hem recipient stem cell transplantation recipient hematopoietic stem cell hematopoietic stem cell transplant stem cell transplantation transplantation recipient cell transplantation recipient patients stem immunocompromised patients. transplantation hematopoiet
"Absidia_corymbifera_33194153:Absidia corymbifera
",抑制,immunocompromised immunocompromised pediatric patients im immunocom immuno immunocomp immu immunocomprom immunocompromised p patients intensive chemotherapy pediatric patients chemotherapy intensive chemotherapy for B-NHL NHL intensive chemotherapy for B-NHL immunocompromised pediatric also the intensive chemotherapy Lymphoma
"Absidia_corymbifera_33253454:Absidia corymbifera
",抑制,hematologic malignancy diabetes mellitus (76.6%) and hematologic malignancy malignancy hematologic hematologic maligna hem hematologic ma diabetes diseases were diabetes mellitus (76.6%) and hematologic malignancy hemato 45 years. The two most associated underlying diseases were diabetes mellitus (76.6%) and hematologic malignancy diabetes mellitus diabetes mellitus (76.6%) and hematologic diabetes mellitus (76.6%) and hematologic maligna mellitus (76.6%) and hematologic malignancy hematologic mali and hematologic malignancy diabetes mellitus (76.6%) and hem diabetes mellitus (76.6%) and hematologic ma maligna
"Absidia_ornata_32388712:Absidia ornata
",抑制,immunocompromised immunocompromised patients hematopoietic stem cell transplantation recipient im hematopoietic stem cell transplantation hematopoietic hematopoietic stem hem hematopoietic stem cell stem cell transplantation recipient recipient hematopoietic stem cell transplant stem cell transplantation transplantation recipient cell transplantation recipient patients stem transplantation stem cell immunocompromised patients.
"Absidia_ramosa_24103142:Absidia ramosa
",抑制,"solid organ transplant patients transplantation.ABSTRACT:Mucormycosis, transplantation.ABSTRACT:Mucormycosis, an emerging fungal infection in solid organ transplant patients, multivisceral transplantation multivisceral transplantation.ABSTRACT:Mucormycosis, an emerging fungal infection in solid organ transplant patients organ transplant patients transplantation multivisceral transplantation.ABSTRACT:Mucormycosis, transplant patients transplantation.ABSTRACT:Mucormycosis, an emerging fungal infection in solid organ transplant patients multivisceral transplantation.ABSTRACT:Mucormycosis, an emerging fungal infection in solid organ transplant patients, patients solid organ transplant solid organ solid transplantation.ABSTRACT:Mucormycosis, an emerging fungal infection in solid organ transplant transplantation.ABSTRACT:Mucormycosis, an emerging fungal infection in solid organ multivisceral transplantation.ABSTRACT:Mucormycosis, an emerging fungal infection in solid organ transplant organ transplant transplantation.ABSTRACT:Mucormycosis, an emerging fungal infection in solid"
"Absidia_ramosa_24925144:Absidia ramosa
",抑制,end-stage HIV infection HIV infection end-stage end-stage HIV end HIV stage HIV infection human immunodeficiency virus (HIV stage human immunodeficiency virus (HIV) infection human immunodeficiency stage HIV human immunodeficiency virus HIV-infected immunodeficiency virus (HIV immunodeficiency virus (HIV) infection immunodeficiency infection immunodeficiency virus human
"Absidia_ramosa_25250768:Absidia ramosa
",抑制,"immunocompromised immunocompromised patients im immunocom immunocomp immuno immunocomprom immu patients immunocompromised patients. in immunocompromised fatal in immunocompromised , India.ABSTRACT:Mucormycosis is a highly aggressive disease which is usually fatal in immunocompromised usually fatal in immunocompromised uncontrolled diabetes mellitus mellitus. uncontrolled uncontrolled diabetes mellitus. mellitus diabetes mellitus"
"Absidia_ramosa_25587084:Absidia ramosa
",none,"male 40 40.43 years, with 72% male years, with 72% male the patients was 40 the patients was 40.43 years, with 72% male , with 72% male .43 years, with 72% male 40.43 years, with 72 with 72% male 43 years, with 72% male mean age of the patients was 40 was 40 mean age of the patients was 40.43 years, with 72% male was 40.43 years, with 72% male 40.43 years % male 72% male 40.43 40.43 years, with 72%"
"Absidia_ramosa_26645867:Absidia ramosa
",抑制,"immunocompromised immunocompromised patients, such as those with severe diabetes mellitus and hematologic malignancies acute myeloid leukemia immunocompromised patients immunocompromised patients, such as those with severe diabetes mellitus and hematologic ma im acute immunocompromised patients, such as those with severe diabetes mellitus immunocompromised patients, such as those with severe diabetes mellitus and hematologic maligna acute myeloid leukemia (AML acute myeloid leukemia (AM immunocompromised patients, such as those with severe diabetes mellitus and hem immunocompromised patients, such as those with severe diabetes mellitus and hematologic immunocompromised patients, such as those with severe acute myeloid leukemia (AML) received chemotherapy immunocompromised patients, such as those with severe diabetes acute myeloid leukemia (AML) acute myeloid leukemia (AML) received ch acute myeloid leukemia ( acute myeloid leuke"
"Absidia_ramosa_27445521:Absidia ramosa
",抑制,"immunocompromise inmunocompromised im without overt immunocompromise in overt immunocompromise overt immunocompromise. immunocompromise. inmunocompromised hosts immunocomp immunocom immuno inmunocompromised hosts. We present a fatal case of mucormycosis, affecting a 56-year-old male inmunocompromised hosts. We present a fatal case of mucormycosis, affecting a 56 subject without overt immunocompromise immunocomprom diabetes mellitus immu diabetes without overt im"
"Absidia_ramosa_29526942:Absidia ramosa
",抑制,cancer esophageal cancer undergoing esophageal cancer cancer surgery esophageal cancer surgery undergoing esophageal cancer surgery surgery hospitalized due to septic shock after developing pneumococcal pneumonia after undergoing esophageal cancer undergoing es after undergoing esophageal cancer undergoing es hospitalized due to septic shock after developing pneumococcal pneumonia after undergoing esophageal cancer surgery after undergoing esophageal cancer surgery hospitalized due to septic shock after developing pneumococcal pneumonia after undergoing woman was hospitalized due to septic shock after developing pneumococcal pneumonia after undergoing esophageal cancer esophageal cancer surgery. after undergoing esophageal 53-year-old woman was hospitalized due to septic shock after developing pneumococcal pneumonia after undergoing esophageal cancer
"Absidia_ramosa_29642408:Absidia ramosa
",抑制,"immunocompromization im immunocompromization, immunocomp Increasing immunocompromization lifestyle Enemy lifestyle diseases such as diabetes Deadly Enemy lifestyle diseases transplantation and lifestyle Battle with the Deadly Enemy . diabetes the Deadly Enemy Dead Increasing im Deadly lifestyle diseases such as diabetes are the main transplantation and lifestyle diseases such as diabetes"
"Absidia_ramosa_30879588:Absidia ramosa
",抑制,Renal Transplantation.ABSTRACT:Pulmonary transplant recipients Transplantation.ABSTRACT:Pulmonary Renal Transplantation organ transplant recipients recipients transplant Transplantation After Renal Transplantation Function After Renal Transplantation.ABSTRACT:Pulmonary Renal Function After Renal Transplantation organ organ transplant Graft Function After Renal Transplantation Graft Function After Renal Transplantation.ABSTRACT:Pulmonary Patient With Delayed Graft Function After Renal Transplantation Transplantation.ABSTRACT:Pulmonary coinfection with Mucor and Aspergillus species has not been reported in organ Transplantation.ABSTRACT:Pulmonary coinfection with Mucor and Aspergillus species has not been reported in organ transplant Delayed Graft Function After Renal Transplantation.ABSTRACT:Pulmonary
"Acremonium_16410951:Acremonium
",抑制,immunodeficiency primary immunodeficiency primary immunodeficiency (P immunodeficiency (PID primary immunodeficiency (P im primary immunodeficiency (PID immunode primary im immunodeficiency (PID) primary immunode immunodeficiency ( immuno immunodeficiency (PID). primary immunodeficiency (PID) primary immunodeficiency ( P primary immuno primary immunodeficiency (PID).
"Acremonium_1895586:Acremonium
",抑制,"man 64-year-old man 64 man who had used ultrasonic humidifier in his living 64-year-old man who had used ultrasonic humidifier in his living year-old man used ultrasonic humidifier in his living old man living man who -year-old man a 64-year-old man man who had used -old man 64-year-old man who first case, a 64-year-old man 64-year-old man who had used man who had used ultrasonic humidifier in his living room living room, was admitted for 8 weeks with an illness characterized by cough, low fever and general malaise on 22 January 1987 64-year-old man who had used ultrasonic humidifier in his living room"
"Acremonium_1956281:Acremonium
",none,"immunocompetent im immunocompetent individuals immuno immunocom immunocompetent individuals. Mycetoma, which usually develops following trauma immu immunocompet immunocompetent individuals. Mycetoma, which usually develops following immunocompetent individuals. affect immunocompetent immunocompetent individuals. Mycetoma, which usually develops following trauma, individuals affect im individuals. Mycetoma, which usually develops following trauma affect immunocompetent individuals trauma trauma, is the most common infection caused by Acremonium spp. Other sites of infection include the eye (generally following a a individuals. Mycetoma, which usually develops following"
"Acremonium_22402374:Acremonium
",抑制,acute myelogenous leukemia acute leukemia].ABSTRACT: leukemia myelogenous leukemia acute myelogenous leuke acute myelogenous le with acute myelogenous leukemia acute myelogenous myelogenous leukemia].ABSTRACT: acute my with acute patient with acute myelogenous leukemia acute myelo with leuke le myelogenous leuke myelogenous le with acute myelogenous leuke
"Acremonium_26528372:Acremonium
",抑制,"immunocompromised immunocompromised patients. However, isolated pulmonary infection in otherwise healthy im immunocompromised patients immunocompromised patients. However, isolated pulmonary infection in otherwise immunocompromised patients. However, isolated pulmonary infection in otherwise healthy hosts diabetic immunocom immunocomp immuno di immu healthy hosts has never been reported in the literature. Herein, we report a 59 year-old diabetic healthy otherwise healthy hosts has never been reported in the literature. Herein, we report a 59 year-old diabetic otherwise healthy healthy hosts has never been reported in the literature. Herein, we report a 59 year-old di diabetic man immunocompromised patients. patients. However, isolated pulmonary infection in otherwise healthy"
"Acremonium_28491812:Acremonium
",抑制,"immunocompromised AIDS AIDS patient immunocompromised patients im immunocompromised patients including neutropenia immunocompromised patients including neutropenia, malignancies immunocompromised patients including neutropenia, ma immunocompromised patients including neutropenia, maligna immunocompromised patients including neutropenia, malignancies, chronic granulomatous disease HIV or AIDS. We present a case of Acremonium pneumonia in a patient with no past medical history who was found to have AIDS patient AIDS. We present a case of Acremonium pneumonia in a patient with no past medical history who was found to have AIDS immunocompromised patients including neutropenia, HIV or AIDS immunocomp immunocompromised patients including ne immunocom immunocompromised patients including neutropenia, malignancies, chronic granulomatous disease (CGD no past medical history who was found to have AIDS"
"Acremonium_atrogriseum_21068274:Acremonium atrogriseum
",抑制,be complete and that a considerable number of additional species will be discovered. of . far from be complete and that a considerable number of additional species will be discovered. hampered hampered because of the difficulties encountered in phenotypic species-level identification. of the most interesting findings of our long been hampered be long been hampered because of the difficulties encountered in phenotypic species-level identification. of the most long be complete and hampered because of the difficulties encountered in phenotypic species-level identification. The goal of this study was to hampered because of the difficulties encountered in phenotypic species-level identification. The hampered because far from be be complete and that a considerable long been hampered because of the difficulties encountered in phenotypic species-level identification. The goal of this study was to long been hampered because of the difficulties encountered in phenotypic species-level identification. The
"Acremonium_implicatum_21068274:Acremonium implicatum
",抑制,"be complete and that a considerable number of additional species will be discovered. . far from be complete and that a considerable number of additional species will be discovered. hampered hampered because of the difficulties encountered in phenotypic species-level identification. be . Since numerous isolates could not be identified, we concluded that the list of opportunistic Acremonium species is far from be long been hampered . Since numerous isolates could not be identified, we long been hampered because of the difficulties encountered in phenotypic species-level identification. hampered because of the difficulties encountered in phenotypic species-level identification. The goal of this study was to this study was to hampered because of the difficulties encountered in phenotypic species-level identification. The be complete and the far from be hampered because of the difficulties encountered in phenotypic species-level identification. The goal long hampered because of the difficulties encountered in phenotypic species-level identification. The goal of this this"
"Acremonium_kiliense_16410951:Acremonium kiliense
",抑制,"immunodeficient immunodeficient patients, immunodeficiency primary immunodeficiency patients primary immunodeficiency (P immunodeficiency (PID primary immunodeficiency (P im primary immunodeficiency (PID primary im immunode immunodeficiency (PID) primary immunode immunodeficiency ( immuno primary immunodeficiency (PID) immunodeficiency (PID). primary immunodeficiency ("
"Acremonium_kiliense_21068274:Acremonium kiliense
",抑制,"be complete and that a considerable number of additional species will be discovered. . far from be complete and that a considerable number of additional species will be discovered. hampered hampered because of the difficulties encountered in phenotypic species-level identification. be long been hampered . Since numerous isolates could not be identified, we concluded that the list of opportunistic Acremonium species is far from be long been hampered because of the difficulties encountered in phenotypic species-level identification. hampered because of the difficulties encountered in phenotypic species-level identification. The goal of this study was to hampered because of the difficulties encountered in phenotypic species-level identification. The . Since numerous isolates could not be identified, we be complete and hampered because of the difficulties encountered in phenotypic species-level identification. The goal this study was to the long far from be hampered because hampered because of the difficulties encountered in phenotypic species-level identification. The goal of this"
"Acremonium_kiliense_24002104:Acremonium kiliense
",none,allogeneic hem hem allogeneic allogenei all an allogeneic hem allogeneic hematopoietic an allogeneic allogen an allogenei an all an proven involvement of the lungs in an allogeneic hem in an allogeneic hem the lungs in an allogeneic hem an allogen proven involvement of the lungs in an allogeneic proven involvement of the lungs in an allogenei in an allogeneic proven involvement of the lungs in an all
"Acremonium_kiliense_28327806:Acremonium kiliense
",抑制,"immunocompromised immunocompromised individuals, particularly neutropenic immunocompromised individuals, particularly neutropenic patients with hematological malignancies immunocompromised individuals, particularly neutropenic patients with hematological ma immunocompromised individuals hematological malignancies immunocompromised individuals, particularly neutropenic patients immunocompromised individuals, particularly neutropenic patients with hematological maligna im immunocompromised individuals, particularly neutropenic patients with hem immunocompromised individuals, particularly neutropenic patients with hematological malignancies immunocompromised individuals, particularly neutropenic patients with hematological mali hematologic disorders neutropenic hematological ma immunocompromised individuals, particularly neutropenic patients with hemato immunocompromised individuals, particularly neutropeni hematological maligna hem"
"Acremonium_recifei_21068274:Acremonium recifei
",抑制,be complete and that a considerable number of additional species will be discovered. of . far from be complete and that a considerable number of additional species will be discovered. hampered hampered because of the difficulties encountered in phenotypic species-level identification. of the most interesting findings of our be long been hampered long been hampered because of the difficulties encountered in phenotypic species-level identification. of the most be complete and long hampered because of the difficulties encountered in phenotypic species-level identification. The goal of this study was to hampered because of the difficulties encountered in phenotypic species-level identification. The far from be hampered because be complete and that a considerable of the most interesting findings of our study was that of the most interesting findings of our study
"Acrophialophora_11101597:Acrophialophora
",抑制,acute lymphoblastic leukemia acute lymphoblastic leukemia leukemia acute lymphoblastic leukemia: review of cases and taxonomy.ABSTRACT:A 12-year-old girl with acute acute lymphoblastic le acute lymphoblastic leuke with acute lymphoblastic leukemia leukemia: review of cases and taxonomy.ABSTRACT:A 12-year-old girl with acute lymphoblastic leukemia acute lymphoblastic leukemia: acute lymphoblastic leukemia: review of cases and taxonomy.ABSTRACT:A 12-year-old girl with acute l with acute acute lymphob lymphoblastic le leukemia: review of cases and taxonomy.ABSTRACT:A 12-year-old girl with acute lymphoblastic leuke le acute lymph
"Acrophialophora_15762812:Acrophialophora
",抑制,healthy healthy adult patient healthy adult adult patient adult healthy adult patient is discussed. A second case of respiratory colonization by Acrophialophora fusispora in a child with c patient cystic fibrosis healthy adult patient is discussed. A second case of respiratory colonization by Acrophialophora fusispora in a child with traumatic scalp wound by Aspergillus nidulans and Fusarium solani in a healthy fibrosis adult patient is discussed. A second case of respiratory colonization by Acrophialophora fusispora in a child with c traumatic scalp wound by Aspergillus nidulans and Fusarium solani in a healthy adult patient traumatic scalp wound by Aspergillus nidulans and Fusarium solani in a healthy adult healthy adult patient is discussed. A second case of respiratory colonization by Acrophialophora fusispora in a child with cys healthy adult patient is discussed. A second case of respiratory colonization by Acrophialophora fusispora in a child adult patient is discussed. A second case of respiratory colonization by Acrophialophora fusispora in a child with c post-traumatic scalp wound by Aspergillus nidulans and Fusarium solani in a healthy patient is discussed. A second case of respiratory colonization by Acrophialophora fusispora in a child with c
"Acrophialophora_25716450:Acrophialophora
",none,"various various authors to be synonyms of A. fusispora. . other agents showed poor in vitro activity against these fungi. we have studied a set of clinical and environmental Acrophialophora isolates by morphological and molecular analyses. subcutaneous and corneal tissue samples. respiratory specimens (72.7%), as well as subcutaneous and corneal tissue samples. considered by various This . The taxonomy of the genus is not yet resolved and, in order . The taxonomy of the genus is not yet resolved and, in poor in vitro activity against these fungi. various authors some of which were considered by various showed poor in vitro activity against these fungi. , in order by various , in in order various authors to be synonyms of A. fusispora. Sequence analysis"
"Acrophialophora_31615438:Acrophialophora
",none,71 severe 71-year-old male patient with severe 71-year-old male patient the severe pneumonia complicated with multiple organ dysfunction 71-year-old male patient with severe pneumonia complicated with multiple organ dysfunction severe pneumonia 71-year-old male male patient with severe male patient year-old male patient with severe 71-year-old male patient with severe pneumonia patient with severe year-old male patient patient severe pneumonia complicated with multiple 71-year to the 71-year-old
"Acrophialophora_32008965:Acrophialophora
",抑制,immunocompromised im immunocompromised hosts immunocomp immunocom immunocomprom immunocompromised hosts. immuno underlying mixed connective tissue disease underlying disease mixed connective tissue disease receiving oral azathioprine and prednisolone hosts receiving azathioprine and prednisolone underlying mixed oral azathioprine and prednisolone connective tissue disease receiving oral
"Acrophialophora_fusispora_11101597:Acrophialophora fusispora
",抑制,acute lymphoblastic leukemia acute lymphoblastic leukemia leukemia acute lymphoblastic leukemia: review of cases and taxonomy.ABSTRACT:A 12-year-old girl with acute acute lymphoblastic le acute lymphoblastic leuke with acute lymphoblastic leukemia acute lymphoblastic leukemia: review of cases and taxonomy.ABSTRACT:A 12-year-old girl with acute lymphoblastic leukemia acute lymphoblastic leukemia: review of cases and taxonomy.ABSTRACT:A 12-year-old girl with acute l leukemia: lymphoblastic le lymphoblastic leuke acute lymphob with acute lymphoblastic acute lymph le
"Acrophialophora_fusispora_15762812:Acrophialophora fusispora
",抑制,healthy healthy adult patient healthy adult adult patient adult patient healthy adult patient is discussed. A second case of respiratory colonization by Acrophialophora fusispora in a child with c healthy adult patient is discussed. A second case of respiratory colonization by Acrophialophora fusispora in a child with traumatic scalp wound by Aspergillus nidulans and Fusarium solani in a healthy cystic fibrosis fibrosis healthy adult patient is discussed. A second case of respiratory colonization by Acrophialophora fusispora in a child with cys traumatic scalp wound by Aspergillus nidulans and Fusarium solani in a healthy adult patient healthy adult patient is discussed. A second case of respiratory colonization by Acrophialophora fusispora in a child traumatic scalp wound by Aspergillus nidulans and Fusarium solani in a healthy adult adult patient is discussed. A second case of respiratory colonization by Acrophialophora fusispora in a child with c post-traumatic scalp wound by Aspergillus nidulans and Fusarium solani in a healthy adult patient is discussed. A second case of respiratory colonization by Acrophialophora fusispora in a child with a healthy adult patient is discussed. A second case of respiratory colonization by Acrophialophora fusispora in a child with cystic
"Acrophialophora_fusispora_25716450:Acrophialophora fusispora
",none,"various various authors to be synonyms of A. fusispora. in , in in order . The taxonomy of the genus is not yet resolved and, in . , in order we have studied a set of clinical and environmental Acrophialophora isolates by morphological and molecular analyses. . The taxonomy of the genus is not yet resolved and, in order order we some of which were considered by various various authors considered by various , subcutaneous and corneal tissue samples. . The taxonomy of the genus is not yet resolved and, not yet resolved and, in in order to facilitate identification of clinical specimens, we"
"Acrophialophora_fusispora_32008965:Acrophialophora fusispora
",抑制,immunocompromised im immunocompromised hosts immunocomp immunocom immunocomprom immuno immunocompromised hosts. immu . A. fusispora is an emerging opportunistic fungus capable of causing invasive infections in immunocompromised underlying mixed connective tissue disease underlying disease mixed connective tissue disease receiving hosts receiving oral azathioprine and prednisolone oral azathioprine and prednisolone receiving oral azathioprine and prednisolone
"Actinomucor_elegans_31410599:Actinomucor elegans
",none,acute lymphoblastic leukaemia acute lymphoblastic leukaemia (ALL acute acute lymphoblastic leukaemia (AL treated for acute lymphoblastic leukaemia ALL lymphoblastic leukaemia acute lymphoblastic leukaemia (ALL) AL acute lymphoblastic le leukaemia acute lymphoblastic for acute lymphoblastic leukaemia treated acute lymphoblastic leukaemia ( treated for acute lymphoblastic leukaemia (ALL ALL) lymphoblastic leukaemia (ALL acute lymphoblastic leuka treated for acute
"Ajellomyces_capsulatus_11602023:Ajellomyces capsulatus
",抑制,"immunodeficiency virus (HIV) infection immunodeficiency virus (HIV immunodeficiency human immunodeficiency virus (HIV) infection immunodeficiency virus immunodeficiency virus infection human immunodeficiency virus (HIV human immunodeficiency human immunodeficiency virus human immunodeficiency virus infection HIV) infection im HIV human im human immunodeficiency virus (HIV) infection. METHODS: The study included 1,225 consecutive hospital admissions of 59 immunodeficiency virus (HIV) human immunodeficiency virus (HIV) infection. METHODS: The study included 1,225 consecutive hospital admissions of 59 immunode immunodeficiency virus ("
"Ajellomyces_capsulatus_11694904:Ajellomyces capsulatus
",none,"56-year-old man 56 man -year-old man year-old man 56-year-old man with persistently elevated liver enzyme levels, fatigue, lethargy and a 9.0 kg weight loss -old man old man man with persistently elevated liver enzyme levels, fatigue, lethargy and a 9.0 kg weight loss loss 56-year-old man with persistently elevated liver enzyme levels, fatigue, lethargy and a 9.0 kg 56-year-old man with persistently elevated liver enzyme levels, fatigue, lethargy and a 56-year-old man with persistently elevated liver enzyme levels, fatigue, lethargy and a 9.0 kg weight loss over 56-year-old 56-year a 9.0 kg weight loss 56- 56-year-old man with persistently elevated liver enzyme levels, fatigue, lethargy and a 9.0 kg weight -year-old man with persistently elevated liver enzyme levels, fatigue, lethargy and a 9.0 kg weight loss on"
"Ajellomyces_capsulatus_11695094:Ajellomyces capsulatus
",抑制,HIV infection HIV immune infection HIV infection].ABSTRACT:Pneumonia is the leading HIV-associated infection. It may occur at an early stage of HIV immune status effective antiretroviral therapy HIV-infection effective patients with HIV infection antiretroviral therapy with HIV infection therapy patients with HIV immune status (CD4-lymphocytes HIV infection].ABSTRACT:Pneumonia is the leading HIV-associated infection effective antiretroviral HIV infection].ABSTRACT:Pneumonia is the leading with HIV infection].ABSTRACT:Pneumonia is the leading HIV-associated infection. It may occur at an early stage of HIV
