,num,num_origin
"Actinomyces_15966370:Actinomyces
",1,A
"Actinomyces_16101725:Actinomyces
",1-10,Five cases
"Actinomyces_16227933:Actinomyces
",1,A
"Actinomyces_16357406:Actinomyces
",1,a
"Actinomyces_16462221:Actinomyces
",1,A
"Actinomyces_1729092:Actinomyces
",1,A
"Actinomyces_17492237:Actinomyces
",1,a
"Actinomyces_18050796:Actinomyces
",1,a
"Actinomyces_18076682:Actinomyces
",1,a
"Actinomyces_18491828:Actinomyces
",1,A
"Actinomyces_18667598:Actinomyces
",1,a
"Actinomyces_1925461:Actinomyces
",1,a
"Actinomyces_19764517:Actinomyces
",1,A
"Actinomyces_19996845:Actinomyces
",1,a
"Actinomyces_2017611:Actinomyces
",1,a case
"Actinomyces_20458215:Actinomyces
",1,A
"Actinomyces_21051872:Actinomyces
",1,a
"Actinomyces_21499592:Actinomyces
",1,a
"Actinomyces_21686384:Actinomyces
",1,a
"Actinomyces_22192786:Actinomyces
",none,:
"Actinomyces_22406688:Actinomyces
",1,a
"Actinomyces_22474727:Actinomyces
",1,a
"Actinomyces_22495044:Actinomyces
",1,A
"Actinomyces_22516132:Actinomyces
",1,a
"Actinomyces_22523845:Actinomyces
",1-10,four cases
"Actinomyces_23064570:Actinomyces
",1,first case
"Actinomyces_23207533:Actinomyces
",1,first reported case
"Actinomyces_23532675:Actinomyces
",1,a
"Actinomyces_23920217:Actinomyces
",1,a case
"Actinomyces_24829830:Actinomyces
",1,a
"Actinomyces_24909795:Actinomyces
",1,a case
"Actinomyces_24916749:Actinomyces
",1,a
"Actinomyces_25238000:Actinomyces
",none,:
"Actinomyces_25265662:Actinomyces
",1,A case
"Actinomyces_25580131:Actinomyces
",1,first fatal case
"Actinomyces_25748994:Actinomyces
",1,a
"Actinomyces_26253035:Actinomyces
",1,an
"Actinomyces_2626180:Actinomyces
",1,a
"Actinomyces_27085876:Actinomyces
",1,A case
"Actinomyces_27752374:Actinomyces
",1,a
"Actinomyces_28218631:Actinomyces
",1,one
"Actinomyces_28688759:Actinomyces
",none,": Close cooperation between pneumonologists, infectious disease specialists and microbiologists is essential for the management of these"
"Actinomyces_28720253:Actinomyces
",1,a
"Actinomyces_29486747:Actinomyces
",1,A
"Actinomyces_30971569:Actinomyces
",1,an
"Actinomyces_31176605:Actinomyces
",1,an
"Actinomyces_31516822:Actinomyces
",1,A case
"Actinomyces_31850696:Actinomyces
",1,a case of a
"Actinomyces_32042429:Actinomyces
",1,a case
"Actinomyces_32727178:Actinomyces
",10-100,32
"Actinomyces_32754414:Actinomyces
",1,an
"Actinomyces_32775208:Actinomyces
",1,A
"Actinomyces_32804919:Actinomyces
",1-10,two
"Actinomyces_32874788:Actinomyces
",1,a
"Actinomyces_33050328:Actinomyces
",1,A Case
"Actinomyces_33137889:Actinomyces
",1,A case
"Actinomyces_33397001:Actinomyces
",1,a
"Actinomyces_33402284:Actinomyces
",1-10,3
"Actinomyces_3724627:Actinomyces
",1,A case
"Actinomyces_432603:Actinomyces
",1,a
"Actinomyces_7294594:Actinomyces
",1,a
"Actinomyces_7419697:Actinomyces
",1,a
"Actinomyces_7481718:Actinomyces
",1,a
"Actinomyces_8011834:Actinomyces
",1,case
"Actinomyces_8047761:Actinomyces
",1,A case
"Actinomyces_8152130:Actinomyces
",none,:
"Actinomyces_8635341:Actinomyces
",1,Two cases in lung and heart-lung transplant recipients and a review of the literature.ABSTRACT:We present the first case
"Actinomyces_9044646:Actinomyces
",none,:
"Actinomyces_israelii_11072723:Actinomyces israelii
",1,A
"Actinomyces_israelii_1582318:Actinomyces israelii
",1,a case
"Actinomyces_israelii_16357406:Actinomyces israelii
",1,a
"Actinomyces_israelii_16462221:Actinomyces israelii
",1,A
"Actinomyces_israelii_18076682:Actinomyces israelii
",1,a
"Actinomyces_israelii_20458215:Actinomyces israelii
",1,A
"Actinomyces_israelii_25705607:Actinomyces israelii
",1,a case
"Actinomyces_israelii_26407440:Actinomyces israelii
",1,a premature infant with perinatally acquired A. neuii sepsis. In adults 21 cases
"Actinomyces_israelii_27103971:Actinomyces israelii
",1,a case of a
"Actinomyces_israelii_27730039:Actinomyces israelii
",1,a case
"Actinomyces_israelii_28343883:Actinomyces israelii
",1,an
"Actinomyces_israelii_28764230:Actinomyces israelii
",1,a case
"Actinomyces_israelii_30181949:Actinomyces israelii
",1,a
"Actinomyces_israelii_30186488:Actinomyces israelii
",1,A case
"Actinomyces_israelii_30320017:Actinomyces israelii
",1,a
"Actinomyces_israelii_32775208:Actinomyces israelii
",1,A
"Actinomyces_israelii_32804919:Actinomyces israelii
",1-10,two
"Actinomyces_israelii_7419697:Actinomyces israelii
",1,a
"Actinomyces_israelii_8011834:Actinomyces israelii
",1,case
"Actinomyces_israelii_8047761:Actinomyces israelii
",1,A case
"Actinomyces_meyeri_14501233:Actinomyces meyeri
",1,a case
"Actinomyces_meyeri_15966370:Actinomyces meyeri
",1,A
"Actinomyces_meyeri_16380794:Actinomyces meyeri
",1,a
"Actinomyces_meyeri_19200191:Actinomyces meyeri
",1,A
"Actinomyces_meyeri_1925461:Actinomyces meyeri
",1,a
"Actinomyces_meyeri_21499592:Actinomyces meyeri
",1,a
"Actinomyces_meyeri_22389659:Actinomyces meyeri
",1,an interesting case
"Actinomyces_meyeri_22406688:Actinomyces meyeri
",1,a
"Actinomyces_meyeri_23440993:Actinomyces meyeri
",1,a case
"Actinomyces_meyeri_23532675:Actinomyces meyeri
",1,a
"Actinomyces_meyeri_23859691:Actinomyces meyeri
",1,Case
"Actinomyces_meyeri_24903727:Actinomyces meyeri
",1,A
"Actinomyces_meyeri_25566409:Actinomyces meyeri
",1,A Case
"Actinomyces_meyeri_26024827:Actinomyces meyeri
",1,A
"Actinomyces_meyeri_26124969:Actinomyces meyeri
",1,A
"Actinomyces_meyeri_26253035:Actinomyces meyeri
",1,an
"Actinomyces_meyeri_27752374:Actinomyces meyeri
",1,a
"Actinomyces_meyeri_28879077:Actinomyces meyeri
",1,A
"Actinomyces_meyeri_29946465:Actinomyces meyeri
",1,a case
"Actinomyces_meyeri_30034893:Actinomyces meyeri
",none,posthysterectomy
"Actinomyces_meyeri_31317069:Actinomyces meyeri
",10-100,a 38-year-old construction worker and a
"Actinomyces_meyeri_32460724:Actinomyces meyeri
",1,A
"Actinomyces_meyeri_3724627:Actinomyces meyeri
",1,A case
"Actinomyces_meyeri_8729199:Actinomyces meyeri
",1,a case
"Actinomyces_meyeri_9255374:Actinomyces meyeri
",1,one more case
"Actinomyces_odontolyticus_15966370:Actinomyces odontolyticus
",1,A
"Actinomyces_odontolyticus_16227933:Actinomyces odontolyticus
",1,A
"Actinomyces_odontolyticus_16518008:Actinomyces odontolyticus
",1,A case
"Actinomyces_odontolyticus_19136805:Actinomyces odontolyticus
",1,A case of empyema thoracis due to this organism in a
"Actinomyces_odontolyticus_25580131:Actinomyces odontolyticus
",1,first fatal case
"Actinomyces_odontolyticus_25748994:Actinomyces odontolyticus
",1,a
"Actinomyces_odontolyticus_25988064:Actinomyces odontolyticus
",1,A
"Actinomyces_odontolyticus_29279791:Actinomyces odontolyticus
",1,An
"Actinomyces_odontolyticus_29988629:Actinomyces odontolyticus
",1,a case
"Actinomyces_odontolyticus_31464925:Actinomyces odontolyticus
",1,A case
"Actinomyces_odontolyticus_31576208:Actinomyces odontolyticus
",1,a case
"Actinomyces_odontolyticus_31660290:Actinomyces odontolyticus
",1,A
"Actinomyces_odontolyticus_32042809:Actinomyces odontolyticus
",1,a case
"Actinomyces_odontolyticus_8635341:Actinomyces odontolyticus
",1,Two cases in lung and heart-lung transplant recipients and a review of the literature.ABSTRACT:We present the first case
"Bacteroides_11436922:Bacteroides
",>100,718
"Bacteroides_11757959:Bacteroides
",>100,505
"Bacteroides_12959026:Bacteroides
",none,:
"Bacteroides_1425719:Bacteroides
",none,:
"Bacteroides_15599270:Bacteroides
",none,:
"Bacteroides_22346488:Bacteroides
",10-100,Twenty
"Bacteroides_24439468:Bacteroides
",1-10,seven patients
"Bacteroides_25164409:Bacteroides
",>100,127
"Bacteroides_26185943:Bacteroides
",none,:
"Bacteroides_29204301:Bacteroides
",1,a case
"Bacteroides_2934788:Bacteroides
",>100,342
"Bacteroides_3000667:Bacteroides
",>100,443
"Bacteroides_3055099:Bacteroides
",1,a
"Bacteroides_32277408:Bacteroides
",1,First case
"Bacteroides_3291418:Bacteroides
",10-100,50
"Bacteroides_3523069:Bacteroides
",none,:
"Bacteroides_352421:Bacteroides
",10-100,14 cases
"Bacteroides_369416:Bacteroides
",1-10,7
"Bacteroides_37594:Bacteroides
",10-100,26
"Bacteroides_3826924:Bacteroides
",1-10,2 cases
"Bacteroides_477429:Bacteroides
",10-100,27
"Bacteroides_6222696:Bacteroides
",10-100,69
"Bacteroides_6346729:Bacteroides
",1,case
"Bacteroides_6352619:Bacteroides
",10-100,32
"Bacteroides_6696329:Bacteroides
",10-100,24
"Bacteroides_6718932:Bacteroides
",>100,368
"Bacteroides_6785206:Bacteroides
",1,a
"Bacteroides_6990374:Bacteroides
",10-100,74
"Bacteroides_7001901:Bacteroides
",1,a case
"Bacteroides_7002519:Bacteroides
",none,similar patients
"Bacteroides_7015828:Bacteroides
",1-10,Both
"Bacteroides_7389240:Bacteroides
",1-10,Three
"Bacteroides_7434283:Bacteroides
",>100,627
"Bacteroides_7460462:Bacteroides
",10-100,74
"Bacteroides_7629859:Bacteroides
",>100,274
"Bacteroides_7752213:Bacteroides
",>100,418
"Bacteroides_7996025:Bacteroides
",>100,1165
"Bacteroides_8034995:Bacteroides
",>100,213
"Bacteroides_8060194:Bacteroides
",none,:
"Bacteroides_8324127:Bacteroides
",>100,193 reviewed cases
"Bacteroides_8324128:Bacteroides
",>100,110
"Bacteroides_8364428:Bacteroides
",>100,100
"Bacteroides_8486033:Bacteroides
",>100,197
"Bacteroides_8686153:Bacteroides
",1-10,Three
"Bacteroides_9489438:Bacteroides
",10-100,40
"Bacteroides_fragilis_1041750:Bacteroides fragilis
",10-100,49
"Bacteroides_fragilis_11436922:Bacteroides fragilis
",>100,718
"Bacteroides_fragilis_1425719:Bacteroides fragilis
",none,:
"Bacteroides_fragilis_15599270:Bacteroides fragilis
",none,:
"Bacteroides_fragilis_2184407:Bacteroides fragilis
",10-100,72
"Bacteroides_fragilis_2575644:Bacteroides fragilis
",10-100,21
"Bacteroides_fragilis_26185943:Bacteroides fragilis
",none,:
"Bacteroides_fragilis_2686918:Bacteroides fragilis
",10-100,82
"Bacteroides_fragilis_3000667:Bacteroides fragilis
",>100,443
"Bacteroides_fragilis_30951830:Bacteroides fragilis
",none,:
"Bacteroides_fragilis_352421:Bacteroides fragilis
",10-100,14 cases
"Bacteroides_fragilis_380459:Bacteroides fragilis
",10-100,Twenty
"Bacteroides_fragilis_477429:Bacteroides fragilis
",10-100,27
"Bacteroides_fragilis_6110328:Bacteroides fragilis
",none,cases
"Bacteroides_fragilis_6222696:Bacteroides fragilis
",10-100,69 patients
"Bacteroides_fragilis_6598521:Bacteroides fragilis
",none,cases
"Bacteroides_fragilis_6696329:Bacteroides fragilis
",10-100,24 patients
"Bacteroides_fragilis_6718932:Bacteroides fragilis
",>100,368
"Bacteroides_fragilis_6990374:Bacteroides fragilis
",10-100,74
"Bacteroides_fragilis_7126499:Bacteroides fragilis
",10-100,15
"Bacteroides_fragilis_7389240:Bacteroides fragilis
",1-10,Three
"Bacteroides_fragilis_7460462:Bacteroides fragilis
",10-100,74
"Bacteroides_fragilis_7629859:Bacteroides fragilis
",>100,274
"Bacteroides_fragilis_7752213:Bacteroides fragilis
",>100,418
"Bacteroides_fragilis_8034995:Bacteroides fragilis
",>100,213
"Bacteroides_fragilis_808801:Bacteroides fragilis
",none,:
"Bacteroides_fragilis_8486033:Bacteroides fragilis
",>100,197
"Bifidobacterium_20463251:Bifidobacterium
",none,:
"Bifidobacterium_628649:Bifidobacterium
",1,a
"Clostridium_botulinum_17724910:Clostridium botulinum
",1,A
"Clostridium_botulinum_28348769:Clostridium botulinum
",1,an
"Clostridium_botulinum_32521963:Clostridium botulinum
",1-10,3
"Clostridium_botulinum_3887319:Clostridium botulinum
",1-10,Forty-four cases
"Clostridium_botulinum_7036593:Clostridium botulinum
",1,A case
"Clostridium_difficile_23660799:Clostridium difficile
",>100,"18,465"
"Clostridium_difficile_24535015:Clostridium difficile
",10-100,35 312
"Clostridium_difficile_24773791:Clostridium difficile
",1,a
"Clostridium_difficile_25197879:Clostridium difficile
",1-10,Two
"Clostridium_difficile_25253977:Clostridium difficile
",1,A case
"Clostridium_difficile_25987247:Clostridium difficile
",>100,188 patients
"Clostridium_difficile_26126606:Clostridium difficile
",10-100,59
"Clostridium_difficile_26518395:Clostridium difficile
",1,a
"Clostridium_difficile_27105657:Clostridium difficile
",>100,1883
"Clostridium_difficile_27527631:Clostridium difficile
",1,a
"Clostridium_difficile_27527659:Clostridium difficile
",10-100,38
"Clostridium_difficile_27620311:Clostridium difficile
",>100,217
"Clostridium_difficile_27815923:Clostridium difficile
",10-100,94
"Clostridium_difficile_28497295:Clostridium difficile
",1-10,two
"Clostridium_difficile_30301467:Clostridium difficile
",1,a case
"Clostridium_difficile_31023851:Clostridium difficile
",>100,1995
"Clostridium_difficile_31047954:Clostridium difficile
",none,:
"Clostridium_difficile_31284301:Clostridium difficile
",10-100,43
"Clostridium_difficile_31371062:Clostridium difficile
",none,", patients"
"Clostridium_difficile_31372907:Clostridium difficile
",10-100,Eighty
"Clostridium_difficile_31562598:Clostridium difficile
",>100,913
"Clostridium_difficile_31634096:Clostridium difficile
",none,patients
"Clostridium_difficile_31921413:Clostridium difficile
",10-100,72
"Clostridium_difficile_32022877:Clostridium difficile
",>100,320
"Clostridium_difficile_32065604:Clostridium difficile
",10-100,88 605
"Clostridium_difficile_32437825:Clostridium difficile
",>100,213 patients
"Clostridium_difficile_32441243:Clostridium difficile
",1-10,9 patients
"Clostridium_difficile_32508359:Clostridium difficile
",>100,113
"Clostridium_difficile_32713744:Clostridium difficile
",>100,406
"Clostridium_difficile_32731687:Clostridium difficile
",none,patients
"Clostridium_difficile_32765885:Clostridium difficile
",1,a
"Clostridium_difficile_32803988:Clostridium difficile
",1,a case
"Clostridium_difficile_32866743:Clostridium difficile
",>100,"105,184"
"Clostridium_difficile_32894617:Clostridium difficile
",>100,"105,780"
"Clostridium_difficile_33105772:Clostridium difficile
",>100,328
"Clostridium_difficile_33252419:Clostridium difficile
",>100,96 842
"Clostridium_difficile_33295435:Clostridium difficile
",1,an
"Clostridium_difficile_33314875:Clostridium difficile
",>100,441
"Clostridium_difficile_33344318:Clostridium difficile
",1,this case
"Clostridium_perfringens_11307588:Clostridium perfringens
",1-10,5
"Clostridium_perfringens_14723369:Clostridium perfringens
",1,a rare case
"Clostridium_perfringens_16276197:Clostridium perfringens
",1,A
"Clostridium_perfringens_171947:Clostridium perfringens
",1,An additional case
"Clostridium_perfringens_19144160:Clostridium perfringens
",1,an
"Clostridium_perfringens_19901370:Clostridium perfringens
",>100,105
"Clostridium_perfringens_2200827:Clostridium perfringens
",1,a case
"Clostridium_perfringens_2321181:Clostridium perfringens
",1,A fatal case
"Clostridium_perfringens_2877498:Clostridium perfringens
",none,:
"Clostridium_perfringens_29108905:Clostridium perfringens
",10-100,16
"Clostridium_perfringens_30488175:Clostridium perfringens
",10-100,30
"Clostridium_perfringens_33295638:Clostridium perfringens
",1,A
"Clostridium_perfringens_33344302:Clostridium perfringens
",1,An
"Clostridium_perfringens_3546148:Clostridium perfringens
",10-100,45
"Clostridium_perfringens_4312540:Clostridium perfringens
",none,:
"Clostridium_perfringens_4314032:Clostridium perfringens
",none,:
"Clostridium_perfringens_602960:Clostridium perfringens
",1,A case
"Clostridium_perfringens_6095404:Clostridium perfringens
",1-10,Five patients
"Clostridium_perfringens_805193:Clostridium perfringens
",>100,114 cases
"Clostridium_perfringens_8447582:Clostridium perfringens
",1,a case
"Clostridium_putrificum_17724910:Clostridium putrificum
",1,A
"Clostridium_putrificum_28348769:Clostridium putrificum
",1,an
"Clostridium_putrificum_32521963:Clostridium putrificum
",1-10,3
"Clostridium_putrificum_3887319:Clostridium putrificum
",1-10,Forty-four cases
"Clostridium_putrificum_7036593:Clostridium putrificum
",1,A case
"Clostridium_tetani_10410591:Clostridium tetani
",1,a case
"Clostridium_tetani_2583016:Clostridium tetani
",1,a
"Clostridium_tetani_27386340:Clostridium tetani
",>100,110
"Clostridium_tetani_28535026:Clostridium tetani
",1,a case
"Clostridium_tetani_29217961:Clostridium tetani
",10-100,24
"Clostridium_tetani_30294137:Clostridium tetani
",1,a
"Clostridium_tetani_31169668:Clostridium tetani
",1,A
"Clostridium_tetani_31559734:Clostridium tetani
",1,a
"Clostridium_tetani_32560315:Clostridium tetani
",1,a
"Eubacterium_3000667:Eubacterium
",>100,443
"Eubacterium_7328011:Eubacterium
",1,an
"Fusobacterium_10551960:Fusobacterium
",10-100,30
"Fusobacterium_10983929:Fusobacterium
",1,:Anaerobic organisms play a major role in pleuropulmonary infections. Clinical manifestations range from simple
"Fusobacterium_11399017:Fusobacterium
",1,a case
"Fusobacterium_11422899:Fusobacterium
",1,a
"Fusobacterium_12441902:Fusobacterium
",1-10,2 cases
"Fusobacterium_12689848:Fusobacterium
",10-100,95
"Fusobacterium_12959026:Fusobacterium
",none,:
"Fusobacterium_15599270:Fusobacterium
",none,:
"Fusobacterium_15780418:Fusobacterium
",none,cases
"Fusobacterium_16454590:Fusobacterium
",1,A
"Fusobacterium_16491835:Fusobacterium
",1,a case
"Fusobacterium_1783810:Fusobacterium
",10-100,63
"Fusobacterium_18054276:Fusobacterium
",1,a
"Fusobacterium_18253750:Fusobacterium
",1,A
"Fusobacterium_18314296:Fusobacterium
",1,a case
"Fusobacterium_18365159:Fusobacterium
",1,an
"Fusobacterium_18547858:Fusobacterium
",1,A
"Fusobacterium_18552584:Fusobacterium
",1,An
"Fusobacterium_19756057:Fusobacterium
",1,a
"Fusobacterium_20607669:Fusobacterium
",1,a
"Fusobacterium_20862633:Fusobacterium
",1,a
"Fusobacterium_21233887:Fusobacterium
",1,A
"Fusobacterium_21499592:Fusobacterium
",1,a
"Fusobacterium_21546562:Fusobacterium
",1,a patient
"Fusobacterium_21596220:Fusobacterium
",10-100,Fifty
"Fusobacterium_21735747:Fusobacterium
",1,A
"Fusobacterium_21921428:Fusobacterium
",1,a
"Fusobacterium_22090304:Fusobacterium
",1,a
"Fusobacterium_23722529:Fusobacterium
",10-100,41 cases between 2006 and 2011 in a French tertiary care center.ABSTRACT:Forty-one
"Fusobacterium_23797007:Fusobacterium
",1,a
"Fusobacterium_23868895:Fusobacterium
",1,a case
"Fusobacterium_24003573:Fusobacterium
",1,a
"Fusobacterium_2497114:Fusobacterium
",none,:
"Fusobacterium_26163394:Fusobacterium
",1,a
"Fusobacterium_26179541:Fusobacterium
",1,A
"Fusobacterium_28698043:Fusobacterium
",1,A rare case
"Fusobacterium_29204301:Fusobacterium
",1,a case
"Fusobacterium_29626971:Fusobacterium
",1-10,four cases
"Fusobacterium_30473582:Fusobacterium
",1,A
"Fusobacterium_30709834:Fusobacterium
",1,an
"Fusobacterium_31556282:Fusobacterium
",1,A
"Fusobacterium_31638919:Fusobacterium
",1,a
"Fusobacterium_31808441:Fusobacterium
",1,A
"Fusobacterium_32132153:Fusobacterium
",1,An
"Fusobacterium_32231820:Fusobacterium
",1,A
"Fusobacterium_32257468:Fusobacterium
",1,a case
"Fusobacterium_32303484:Fusobacterium
",10-100,over 85% of the cases
"Fusobacterium_32624490:Fusobacterium
",1,A
"Fusobacterium_3290185:Fusobacterium
",none,:
"Fusobacterium_33003102:Fusobacterium
",1,a
"Fusobacterium_33040042:Fusobacterium
",1,an
"Fusobacterium_3453275:Fusobacterium
",1,A
"Fusobacterium_352421:Fusobacterium
",10-100,14 cases
"Fusobacterium_37594:Fusobacterium
",10-100,26
"Fusobacterium_477429:Fusobacterium
",10-100,27
"Fusobacterium_6694861:Fusobacterium
",1,A case
"Fusobacterium_6849207:Fusobacterium
",none,:
"Fusobacterium_7002519:Fusobacterium
",none,similar patients
"Fusobacterium_7369198:Fusobacterium
",1-10,two instances
"Fusobacterium_7713211:Fusobacterium
",1-10,four
"Fusobacterium_7752213:Fusobacterium
",>100,418
"Fusobacterium_7960743:Fusobacterium
",1,A case
"Fusobacterium_8324127:Fusobacterium
",>100,193 reviewed cases
"Fusobacterium_8324128:Fusobacterium
",>100,110
"Fusobacterium_8685643:Fusobacterium
",10-100,10
"Fusobacterium_9181658:Fusobacterium
",1-10,Four cases
"Fusobacterium_9480485:Fusobacterium
",1,A
"Fusobacterium_9489438:Fusobacterium
",10-100,40
"Fusobacterium_necrophorum_11399017:Fusobacterium necrophorum
",1,a case
"Fusobacterium_necrophorum_11422899:Fusobacterium necrophorum
",1,a
"Fusobacterium_necrophorum_12441902:Fusobacterium necrophorum
",1-10,2 cases
"Fusobacterium_necrophorum_16454590:Fusobacterium necrophorum
",1,A case
"Fusobacterium_necrophorum_18054276:Fusobacterium necrophorum
",1,a
"Fusobacterium_necrophorum_18253750:Fusobacterium necrophorum
",1,A
"Fusobacterium_necrophorum_18314296:Fusobacterium necrophorum
",1,a case
"Fusobacterium_necrophorum_18365159:Fusobacterium necrophorum
",1,an
"Fusobacterium_necrophorum_18552584:Fusobacterium necrophorum
",1,An
"Fusobacterium_necrophorum_19756057:Fusobacterium necrophorum
",1,a
"Fusobacterium_necrophorum_20607669:Fusobacterium necrophorum
",1,a
"Fusobacterium_necrophorum_20862633:Fusobacterium necrophorum
",1,a
"Fusobacterium_necrophorum_21233887:Fusobacterium necrophorum
",1,a case
"Fusobacterium_necrophorum_21546562:Fusobacterium necrophorum
",1,a patient
"Fusobacterium_necrophorum_21735747:Fusobacterium necrophorum
",1,A
"Fusobacterium_necrophorum_22090304:Fusobacterium necrophorum
",1,a
"Fusobacterium_necrophorum_2232147:Fusobacterium necrophorum
",10-100,51
"Fusobacterium_necrophorum_2312393:Fusobacterium necrophorum
",1-10,2
"Fusobacterium_necrophorum_23797007:Fusobacterium necrophorum
",1,a
"Fusobacterium_necrophorum_26163394:Fusobacterium necrophorum
",1,a
"Fusobacterium_necrophorum_26179541:Fusobacterium necrophorum
",1,A
"Fusobacterium_necrophorum_28698043:Fusobacterium necrophorum
",1,A rare case
"Fusobacterium_necrophorum_29204301:Fusobacterium necrophorum
",1,A
"Fusobacterium_necrophorum_30473582:Fusobacterium necrophorum
",1,A
"Fusobacterium_necrophorum_30533234:Fusobacterium necrophorum
",1,a
"Fusobacterium_necrophorum_30709834:Fusobacterium necrophorum
",1,an
"Fusobacterium_necrophorum_31201970:Fusobacterium necrophorum
",1,an
"Fusobacterium_necrophorum_31211045:Fusobacterium necrophorum
",1,A
"Fusobacterium_necrophorum_31467732:Fusobacterium necrophorum
",1,a case
"Fusobacterium_necrophorum_31556282:Fusobacterium necrophorum
",1,A
"Fusobacterium_necrophorum_31638919:Fusobacterium necrophorum
",1,a
"Fusobacterium_necrophorum_31662923:Fusobacterium necrophorum
",1,A Case
"Fusobacterium_necrophorum_31795752:Fusobacterium necrophorum
",1,a
"Fusobacterium_necrophorum_31808441:Fusobacterium necrophorum
",1,A
"Fusobacterium_necrophorum_31819670:Fusobacterium necrophorum
",1,A
"Fusobacterium_necrophorum_32132153:Fusobacterium necrophorum
",1,An
"Fusobacterium_necrophorum_32161697:Fusobacterium necrophorum
",1,a
"Fusobacterium_necrophorum_32257468:Fusobacterium necrophorum
",1,a case
"Fusobacterium_necrophorum_32371121:Fusobacterium necrophorum
",1,a case
"Fusobacterium_necrophorum_32775208:Fusobacterium necrophorum
",1,A
"Fusobacterium_necrophorum_32879837:Fusobacterium necrophorum
",1,a case
"Fusobacterium_necrophorum_33003102:Fusobacterium necrophorum
",1,a
"Fusobacterium_necrophorum_33040042:Fusobacterium necrophorum
",1,a
"Fusobacterium_necrophorum_33127694:Fusobacterium necrophorum
",1,a case
"Fusobacterium_necrophorum_3453275:Fusobacterium necrophorum
",1,A
"Fusobacterium_necrophorum_6694861:Fusobacterium necrophorum
",1,A case
"Fusobacterium_necrophorum_7369198:Fusobacterium necrophorum
",1-10,two
"Fusobacterium_necrophorum_7713211:Fusobacterium necrophorum
",1-10,four
"Fusobacterium_necrophorum_8034995:Fusobacterium necrophorum
",>100,213
"Fusobacterium_necrophorum_813518:Fusobacterium necrophorum
",1-10,Two
"Fusobacterium_nucleatum_10551960:Fusobacterium nucleatum
",10-100,30
"Fusobacterium_nucleatum_10983929:Fusobacterium nucleatum
",none,:
"Fusobacterium_nucleatum_21596220:Fusobacterium nucleatum
",10-100,26
"Fusobacterium_nucleatum_23722529:Fusobacterium nucleatum
",10-100,41 cases between 2006 and 2011 in a French tertiary care center.ABSTRACT:Forty-one
"Fusobacterium_nucleatum_23868895:Fusobacterium nucleatum
",1,a case
"Fusobacterium_nucleatum_24003573:Fusobacterium nucleatum
",1,case
"Fusobacterium_nucleatum_29626971:Fusobacterium nucleatum
",1-10,four cases
"Fusobacterium_nucleatum_31638919:Fusobacterium nucleatum
",1,a
"Fusobacterium_nucleatum_32231820:Fusobacterium nucleatum
",1,A
"Fusobacterium_nucleatum_32303484:Fusobacterium nucleatum
",10-100,over 85% of the cases
"Fusobacterium_nucleatum_352421:Fusobacterium nucleatum
",10-100,14 cases
"Fusobacterium_nucleatum_37594:Fusobacterium nucleatum
",10-100,26
