,物种名称,是否是致病菌,预测概率,样本量,样本量文本,年龄,年龄文本,患者性别,性别文本,免疫状态,免疫文本,证据等级,证据文本,原文链接,标注方式
Porphyromonas_buccae_1800380,Porphyromonas buccae,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/1800380/,人工标注
Porphyromonas_buccalis_1800380,Porphyromonas buccalis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/1800380/,人工标注
Porphyromonas_corporis_1800380,Porphyromonas corporis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/1800380/,人工标注
Bacteroides_capillosus_1978771,Bacteroides capillosus,yes,[1],10-100,Thirty-seven adult patients,NA,NA,NA,NA,NA,NA,4：气管镜活检组织培养出病原体，或者支气管肺泡灌洗液（BALF）定量培养>10**4,transthoracic needle-aspiration and/or bronchoscopic specimen brush,https://pubmed.ncbi.nlm.nih.gov/1978771/,人工标注
Clostridium_sordellii_2026891,Clostridium sordellii,yes,[1],1,case,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/2026891/,人工标注
Selenomonas_infelix_2405009,Selenomonas infelix,yes,[1],1-10,a cancer patient,NA,NA,NA,NA,受损,cancer patient,3：血及无菌体液（如脓胸液）,cultures of respiratory secretions yielded,https://pubmed.ncbi.nlm.nih.gov/2405009/,人工标注
Selenomonas_artemidis_2405009,Selenomonas artemidis,yes,[1],1-10,a cancer patient,NA,NA,NA,NA,受损,cancer patient,3：血及无菌体液（如脓胸液）,cultures of respiratory secretions yielded,https://pubmed.ncbi.nlm.nih.gov/2405009/,人工标注
Clostridium_subterminale_2600444,Clostridium subterminale,yes,[1],1,a patient,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/2600444/,人工标注
Propionibacterium_granulosum_2966102,Propionibacterium granulosum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/2966102/,人工标注
Propionibacterium_granulosum_2982882,Propionibacterium granulosum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/2982882/,人工标注
Propionibacterium_avidum_3223140,Propionibacterium avidum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/3223140/,人工标注
Anaerobiospirillum_3321364,Anaerobiospirillum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/3321364/,人工标注
Clostridium_tertium_3376617,Clostridium tertium,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/3376617/,人工标注
Clostridium_carnis_3376617,Clostridium carnis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/3376617/,人工标注
Clostridium_glycolicum_3376617,Clostridium glycolicum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/3376617/,人工标注
Clostridium_hastiforme_3376617,Clostridium hastiforme,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/3376617/,人工标注
Clostridium_innocuum_3376617,Clostridium innocuum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/3376617/,人工标注
Clostridium_limosum_3376617,Clostridium limosum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/3376617/,人工标注
Clostridium_paraputrificum_3376617,Clostridium paraputrificum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/3376617/,人工标注
Clostridium_tertium_3435054,Clostridium tertium,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/3435054/,人工标注
Propionibacterium_avidum_3597521,Propionibacterium avidum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/3597521/,人工标注
Eubacterium_nodatum_3624445,Eubacterium nodatum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/3624445/,人工标注
Eubacterium_brachy_3624445,Eubacterium brachy,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/3624445/,人工标注
Selenomonas_sputigena_4018070,Selenomonas sputigena,yes,[1],1,:A case,NA,NA,NA,NA,NA,immunocompromised,NA,NA,https://pubmed.ncbi.nlm.nih.gov/4018070/,人工标注
Bacteroides_vulgatus_6352619,Bacteroides vulgatus,no,[1],10-100,We treated 37 infections in 32 patients who had one or,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/6352619/,人工标注
Clostridium_bifermentans_6402966,Clostridium bifermentans,yes,[1],1,:A patient,NA,NA,NA,NA,正常,no known immune compromise,3：血及无菌体液（如脓胸液）,Specimens from the lung tissue,https://pubmed.ncbi.nlm.nih.gov/6402966/,人工标注
Clostridium_bifermentans_6410947,Clostridium bifermentans,yes,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/6410947/,人工标注
Dorea_6500835,Dorea,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/6500835/,人工标注
Propionibacterium_granulosum_6510946,Propionibacterium granulosum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/6510946/,人工标注
Propionibacterium_granulosum_6542531,Propionibacterium granulosum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/6542531/,人工标注
Propionibacterium_granulosum_6561066,Propionibacterium granulosum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/6561066/,人工标注
Veillonella_parvula_6825749,Veillonella parvula,no,[1],1-10,four children,NA,NA,NA,NA,受损,cystic fibrosis,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,cultured for aerobic bacteria and TTA aspirates were also cultured for anaerobes,https://pubmed.ncbi.nlm.nih.gov/6825749/,人工标注
Veillonella_alcalescens_6825749,Veillonella alcalescens,no,[1],1-10,four children,NA,NA,NA,NA,受损,cystic fibrosis,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,cultured for aerobic bacteria and TTA aspirates were also cultured for anaerobes,https://pubmed.ncbi.nlm.nih.gov/6825749/,人工标注
Leptotrichia_buccalis_7001901,Leptotrichia buccalis,yes,[1],1,a case of,NA,NA,NA,NA,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,NA,https://pubmed.ncbi.nlm.nih.gov/7001901/,人工标注
Fusobacterium_russii_7025153,Fusobacterium russii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/7025153/,人工标注
Fusobacterium_gonidiaformans_7025153,Fusobacterium gonidiaformans,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/7025153/,人工标注
Fusobacterium_mortiferum_7025153,Fusobacterium mortiferum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/7025153/,人工标注
Fusobacterium_naviforme_7025153,Fusobacterium naviforme,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/7025153/,人工标注
Selenomonas_sputigena_7037840,Selenomonas sputigena,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/7037840/,人工标注
Eubacterium_brachy_7276145,Eubacterium brachy,yes,[1],1,a case of,NA,NA,NA,NA,NA,NA,3：血及无菌体液（如脓胸液）,pleural effusion,https://pubmed.ncbi.nlm.nih.gov/7276145/,人工标注
Propionibacterium_granulosum_7347693,Propionibacterium granulosum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/7347693/,人工标注
Propionibacterium_granulosum_7451553,Propionibacterium granulosum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/7451553/,人工标注
Porphyromonas_melaninogenica_7553378,Porphyromonas melaninogenica,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/7553378/,人工标注
Porphyromonas_corporis_7553378,Porphyromonas corporis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/7553378/,人工标注
Porphyromonas_loescheii_7553378,Porphyromonas loescheii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/7553378/,人工标注
Porphyromonas_oralis_7752213,Porphyromonas oralis,yes,[1],10-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/7752213/,人工标注
Porphyromonas_intermedia_7752213,Porphyromonas intermedia,yes,[1],10-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/7752213/,人工标注
Porphyromonas_melaninogenica_7752213,Porphyromonas melaninogenica,yes,[1],10-100,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/7752213/,人工标注
Leptotrichia_buccalis_7795070,Leptotrichia buccalis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/7795070/,人工标注
Clostridium_paraputrificum_7869351,Clostridium paraputrificum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/7869351/,人工标注
Clostridium_innocuum_7869351,Clostridium innocuum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/7869351/,人工标注
Clostridium_limosum_7869351,Clostridium limosum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/7869351/,人工标注
Fusobacterium_varium_8034995,Fusobacterium varium,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/8034995/,人工标注
Fusobacterium_gonidiaformans_8034995,Fusobacterium gonidiaformans,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/8034995/,人工标注
Fusobacterium_mortiferum_8034995,Fusobacterium mortiferum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/8034995/,人工标注
Anaerobiospirillum_8086575,Anaerobiospirillum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/8086575/,人工标注
Propionibacterium_propionicum_8309301,Propionibacterium propionicum,yes,[1],1,one of,NA,NA,NA,NA,NA,NA,3：血及无菌体液（如脓胸液）,Blood cultures,https://pubmed.ncbi.nlm.nih.gov/8309301/,人工标注
Propionibacterium_avidum_8319545,Propionibacterium avidum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/8319545/,人工标注
Clostridium_innocuum_8589163,Clostridium innocuum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/8589163/,人工标注
Veillonella_parvula_8616556,Veillonella parvula,no,[1],＞100,One hundred and thirty patients,NA,NA,NA,NA,NA,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,a protected specimen brush,https://pubmed.ncbi.nlm.nih.gov/8616556/,人工标注
Veillonella_alcalescens_8616556,Veillonella alcalescens,no,[1],NA,One hundred and thirty patients,NA,NA,NA,NA,NA,NA,NA,a protected specimen brush,https://pubmed.ncbi.nlm.nih.gov/8616556/,人工标注
Porphyromonas_intermedia_9663026,Porphyromonas intermedia,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/9663026/,人工标注
Actinomyces_viscosus_9663026,Actinomyces viscosus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/9663026/,人工标注
Porphyromonas_heparinolytica_10824034,Porphyromonas heparinolytica,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/10824034/,人工标注
Bacteroides_stercoris_10824034,Bacteroides stercoris,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/10824034/,人工标注
Porphyromonas_heparinolytica_10979512,Porphyromonas heparinolytica,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/10979512/,人工标注
Fusobacterium_varium_11852471,Fusobacterium varium,no,[1],＞100,108 cases,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/11852471/,人工标注
Fusobacterium_mortiferum_11852471,Fusobacterium mortiferum,no,[1],＞100,108 cases,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/11852471/,人工标注
Actinomyces_turicensis_12202591,Actinomyces turicensis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/12202591/,人工标注
Actinobaculum_12202591,Actinobaculum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/12202591/,人工标注
Actinomyces_europaeus_12202591,Actinomyces europaeus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/12202591/,人工标注
Actinomyces_neuii_12202591,Actinomyces neuii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/12202591/,人工标注
Actinomyces_radingae_12202591,Actinomyces radingae,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/12202591/,人工标注
Porphyromonas_denticola_14670448,Porphyromonas denticola,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/14670448/,人工标注
Micromonas_micros_15715175,Micromonas micros,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/15715175/,人工标注
Porphyromonas_asaccharolytica_15897651,Porphyromonas asaccharolytica,yes,[1],1,A,17-65,32-year,男,male,NA,NA,3：血及无菌体液（如脓胸液）,NA,https://pubmed.ncbi.nlm.nih.gov/15897651/,人工标注
Clostridium_novyi_16048039,Clostridium novyi,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16048039/,人工标注
Fusobacterium_varium_16082005,Fusobacterium varium,no,[1],NA,a case,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16082005/,人工标注
Porphyromonas_denticola_16277588,Porphyromonas denticola,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16277588/,人工标注
Clostridium_baratii_16344510,Clostridium baratii,yes,[1],10-100,13 cases,17-65,54 years,群体,7 (54%) were female,NA,NA,3：血及无菌体液（如脓胸液）,serum,https://pubmed.ncbi.nlm.nih.gov/16344510/,人工标注
Clostridium_ramosum_16703936,Clostridium ramosum,yes,[1],1,A,17-65,49-year-old,男,male,NA,NA,3：血及无菌体液（如脓胸液）,lung abscesses,https://pubmed.ncbi.nlm.nih.gov/16703936/,人工标注
Dorea_16885494,Dorea,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16885494/,人工标注
Porphyromonas_asaccharolytica_16887693,Porphyromonas asaccharolytica,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16887693/,人工标注
Propionimicrobium_16902040,Propionimicrobium,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16902040/,人工标注
Propioniferax_16902040,Propioniferax,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/16902040/,人工标注
Ruminococcus_productus_17205698,Ruminococcus productus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/17205698/,人工标注
Clostridium_baratii_17224901,Clostridium baratii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/17224901/,人工标注
Dialister_17301280,Dialister,no,[1],10-100,16 patients.,NA,NA,NA,NA,受损,ventilator-associated pneumonia,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,Bacterial DNA,https://pubmed.ncbi.nlm.nih.gov/17301280/,人工标注
Solobacterium_moorei_17605768,Solobacterium moorei,yes,[1],1,a case report.,NA,NA,男,male,NA,NA,3：血及无菌体液（如脓胸液）,blood cultures,https://pubmed.ncbi.nlm.nih.gov/17605768/,人工标注
Scardovia_17625172,Scardovia,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/17625172/,人工标注
Alloscardovia_17625172,Alloscardovia,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/17625172/,人工标注
Parascardovia_17625172,Parascardovia,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/17625172/,人工标注
Clostridium_baratii_18174308,Clostridium baratii,yes,[1],1,a,17-65,NA,男,NA,抑制,NA,2：肺组织病原学证据,NA,https://pubmed.ncbi.nlm.nih.gov/18174308/,人工标注
Actinomyces_graevenitzii_18222714,Actinomyces graevenitzii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/18222714/,人工标注
Actinobaculum_18222714,Actinobaculum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/18222714/,人工标注
Micromonas_micros_18447205,Micromonas micros,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/18447205/,人工标注
Propionibacterium_granulosum_19070256,Propionibacterium granulosum,no,[1],10-100,42 patients,NA,NA,NA,NA,NA,NA,6：气管吸出物或痰的分子诊断（PCR、基因组测序等）病原,DNA in bronchoalveolar lavage (BAL) cell samples,https://pubmed.ncbi.nlm.nih.gov/19070256/,人工标注
Porphyromonas_asaccharolytica_19390440,Porphyromonas asaccharolytica,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19390440/,人工标注
Dialister_19552995,Dialister,yes,[1],1,a patient,NA,NA,NA,NA,NA,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,NA,https://pubmed.ncbi.nlm.nih.gov/19552995/,人工标注
Odoribacter_splanchnicus_19667375,Odoribacter splanchnicus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19667375/,人工标注
Alistipes_indistinctus_19667375,Alistipes indistinctus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19667375/,人工标注
Odoribacter_laneus_19667375,Odoribacter laneus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19667375/,人工标注
Bacteroides_uniformis_19767355,Bacteroides uniformis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19767355/,人工标注
Bacteroides_clarus_19767355,Bacteroides clarus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19767355/,人工标注
Bacteroides_fluxus_19767355,Bacteroides fluxus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19767355/,人工标注
Bacteroides_intestinalis_19767355,Bacteroides intestinalis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19767355/,人工标注
Bacteroides_oleiciplenus_19767355,Bacteroides oleiciplenus,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/19767355/,人工标注
Actinomyces_gerencseriae_19822479,Actinomyces gerencseriae,no,[1],NA,a,NA,32-year-old,NA,woman,NA,NA,NA,Cultures,https://pubmed.ncbi.nlm.nih.gov/19822479/,人工标注
Scardovia_20139283,Scardovia,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/20139283/,人工标注
Bacteroides_massiliensis_20348319,Bacteroides massiliensis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/20348319/,人工标注
Bacteroides_dorei_20348319,Bacteroides dorei,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/20348319/,人工标注
Clostridium_innocuum_20369227,Clostridium innocuum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/20369227/,人工标注
Bacteroides_dorei_20369227,Bacteroides dorei,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/20369227/,人工标注
Bacteroides_massiliensis_20369227,Bacteroides massiliensis,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/20369227/,人工标注
Propionibacterium_propionicum_20971831,Propionibacterium propionicum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/20971831/,人工标注
Finegoldia_magna_21193258,Finegoldia magna,yes,[1],1,NA,17-65,NA,男,NA,NA,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,NA,https://pubmed.ncbi.nlm.nih.gov/21193258/,人工标注
Christensenella_minuta_21357455,Christensenella minuta,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/21357455/,人工标注
Actinomyces_naeslundii_21532150,Actinomyces naeslundii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/21532150/,人工标注
Actinomyces_graevenitzii_21686384,Actinomyces graevenitzii,yes,[1],1,a,17-65,52-year-old,NA,NA,抑制,infliximab,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,bronchoscopic lavage fluid,https://pubmed.ncbi.nlm.nih.gov/21686384/,人工标注
Actinomyces_naeslundii_22077758,Actinomyces naeslundii,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/22077758/,人工标注
Finegoldia_magna_22249932,Finegoldia magna,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/22249932/,人工标注
Actinomyces_cardiffensis_22445645,Actinomyces cardiffensis,yes,[1],1,a case of,65以上,67-year-old,男,man,正常,hospitalized wit,3：血及无菌体液（如脓胸液）,Blood culture,https://pubmed.ncbi.nlm.nih.gov/22445645/,人工标注
Actinomyces_graevenitzii_22516132,Actinomyces graevenitzii,yes,[1],1,a,65以上,69-year-old,男,male,正常,only abnormal laboratory data,2：肺组织病原学证据,PCR product,https://pubmed.ncbi.nlm.nih.gov/22516132/,人工标注
Actinomyces_graevenitzii_22760049,Actinomyces graevenitzii,yes,[1],1,A case of,17-65,NA,女,NA,正常,NA,5：气管吸出物或痰/BALF纯培养或优势培养出病原体,NA,https://pubmed.ncbi.nlm.nih.gov/22760049/,人工标注
Fusobacterium_varium_22798514,Fusobacterium varium,yes,[1],1,a case of,17-65,33-year-old,男,male,正常,previously healthy,3：血及无菌体液（如脓胸液）,blood cultures,https://pubmed.ncbi.nlm.nih.gov/22798514/,人工标注
Actinomyces_cardiffensis_23064570,Actinomyces cardiffensis,yes,[1],1,the first case,NA,NA,NA,NA,NA,NA,1：同时具备肺组织病理+病原学证据,l DNA restriction analysis,https://pubmed.ncbi.nlm.nih.gov/23064570/,人工标注
Eubacterium_limosum_23231490,Eubacterium limosum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/23231490/,人工标注
Clostridium_limosum_23231490,Clostridium limosum,no,[1],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/23231490/,人工标注
