,age,age_origin
"Actinomyces_22406688:Actinomyces
",none,male
"Actinomyces_22474727:Actinomyces
",>65岁,73-year-old
"Actinomyces_22495044:Actinomyces
",17-65岁,55-year-old
"Actinomyces_22516132:Actinomyces
",>65岁,69-year-old
"Actinomyces_22523845:Actinomyces
",17-65岁,40
"Actinomyces_23207533:Actinomyces
",none,present
"Actinomyces_23532675:Actinomyces
",17-65岁,61-year-old
"Actinomyces_24829830:Actinomyces
",>65岁,75-year-old
"Actinomyces_24916749:Actinomyces
",17-65岁,42-year-old
"Actinomyces_25238000:Actinomyces
",none,.
"Actinomyces_25265662:Actinomyces
",none,described
"Actinomyces_25580131:Actinomyces
",none,fatal
"Actinomyces_25748994:Actinomyces
",none,a patient with iatrogenic A-hypogammaglobulinemia].
"Actinomyces_26253035:Actinomyces
",>65岁,80 year-old
"Actinomyces_2626180:Actinomyces
",>65岁,82 years old
"Actinomyces_2689757:Actinomyces
",17-65岁,adults
"Actinomyces_27085876:Actinomyces
",none,A
"Actinomyces_27752374:Actinomyces
",17-65岁,54-year-old
"Actinomyces_28688759:Actinomyces
",none,these
"Actinomyces_28720253:Actinomyces
",none,a Patient
"Actinomyces_29486747:Actinomyces
",>65岁,74-year-old
"Actinomyces_30971569:Actinomyces
",17-65岁,middle-aged
"Actinomyces_31176605:Actinomyces
",1-17岁,8-year-old
"Actinomyces_31516822:Actinomyces
",>65岁,68-year-old
"Actinomyces_31850696:Actinomyces
",none,a
"Actinomyces_32042429:Actinomyces
",>65岁,86-year-old
"Actinomyces_32727178:Actinomyces
",>65岁,"58+-12) years, ranging from 16 to 76"
"Actinomyces_32754414:Actinomyces
",none,"anticoagulation,"
"Actinomyces_32775208:Actinomyces
",>65岁,72-year-old
"Actinomyces_32804919:Actinomyces
",1-17岁,8 and 13
"Actinomyces_32874788:Actinomyces
",none,a
"Actinomyces_33050328:Actinomyces
",none,a
"Actinomyces_33137889:Actinomyces
",none,.
"Actinomyces_33397001:Actinomyces
",1-17岁,12
"Actinomyces_33402284:Actinomyces
",none,pathogenic
"Actinomyces_3724627:Actinomyces
",1-17岁,13-year-old
"Actinomyces_432603:Actinomyces
",none,a
"Actinomyces_7294594:Actinomyces
",none,a
"Actinomyces_7419697:Actinomyces
",1-17岁,child
"Actinomyces_7481718:Actinomyces
",1-17岁,two-year-old
"Actinomyces_8047761:Actinomyces
",none,practice
"Actinomyces_8152130:Actinomyces
",none,:
"Actinomyces_8635341:Actinomyces
",1-17岁,10
"Actinomyces_9044646:Actinomyces
",none,:
"Actinomyces_israelii_11072723:Actinomyces israelii
",>65岁,79 years old
"Actinomyces_israelii_1582318:Actinomyces israelii
",none,Our
"Actinomyces_israelii_16357406:Actinomyces israelii
",none,.
"Actinomyces_israelii_16462221:Actinomyces israelii
",17-65岁,51-year-old
"Actinomyces_israelii_18076682:Actinomyces israelii
",1-17岁,young
"Actinomyces_israelii_20458215:Actinomyces israelii
",17-65岁,58-year-old
"Actinomyces_israelii_25705607:Actinomyces israelii
",none,a
"Actinomyces_israelii_26407440:Actinomyces israelii
",1岁以下,20-Month-Old
"Actinomyces_israelii_2689757:Actinomyces israelii
",17-65岁,adults
"Actinomyces_israelii_27103971:Actinomyces israelii
",>65岁,78-year-old
"Actinomyces_israelii_28343883:Actinomyces israelii
",1-17岁,8-year-old
"Actinomyces_israelii_28764230:Actinomyces israelii
",17-65岁,middle aged
"Actinomyces_israelii_30181949:Actinomyces israelii
",>65岁,74 year old
"Actinomyces_israelii_30186488:Actinomyces israelii
",none,present findings
"Actinomyces_israelii_30320017:Actinomyces israelii
",1-17岁,14 yr old
"Actinomyces_israelii_32775208:Actinomyces israelii
",>65岁,72-year-old
"Actinomyces_israelii_32804919:Actinomyces israelii
",1-17岁,8
"Actinomyces_israelii_7419697:Actinomyces israelii
",1-17岁,child
"Actinomyces_israelii_8047761:Actinomyces israelii
",none,practice
"Actinomyces_meyeri_15966370:Actinomyces meyeri
",17-65岁,51-year-old
"Actinomyces_meyeri_19200191:Actinomyces meyeri
",17-65岁,51-year-old
"Actinomyces_meyeri_1925461:Actinomyces meyeri
",>65岁,69-year-old
"Actinomyces_meyeri_21499592:Actinomyces meyeri
",17-65岁,46-year-old
"Actinomyces_meyeri_22389659:Actinomyces meyeri
",none,fourth and fifth
"Actinomyces_meyeri_22406688:Actinomyces meyeri
",none,male
"Actinomyces_meyeri_23440993:Actinomyces meyeri
",none,The
"Actinomyces_meyeri_23532675:Actinomyces meyeri
",17-65岁,61-year-old
"Actinomyces_meyeri_24903727:Actinomyces meyeri
",17-65岁,56-year-old
"Actinomyces_meyeri_25566409:Actinomyces meyeri
",none,we report
"Actinomyces_meyeri_26024827:Actinomyces meyeri
",none,A
"Actinomyces_meyeri_26124969:Actinomyces meyeri
",17-65岁,49-year-old
"Actinomyces_meyeri_26253035:Actinomyces meyeri
",>65岁,80 year-old
"Actinomyces_meyeri_27752374:Actinomyces meyeri
",17-65岁,54-year-old
"Actinomyces_meyeri_28879077:Actinomyces meyeri
",none,immunocompetent
"Actinomyces_meyeri_30034893:Actinomyces meyeri
",none,posthysterectomy
"Actinomyces_meyeri_31317069:Actinomyces meyeri
",17-65岁,38-year-old construction worker and a 61-year-old
"Actinomyces_meyeri_32460724:Actinomyces meyeri
",17-65岁,35-year-old
"Actinomyces_meyeri_3724627:Actinomyces meyeri
",1-17岁,13-year-old
"Actinomyces_meyeri_8729199:Actinomyces meyeri
",17-65岁,adults
"Actinomyces_meyeri_9255374:Actinomyces meyeri
",1-17岁,Two
"Actinomyces_odontolyticus_15966370:Actinomyces odontolyticus
",17-65岁,51-year-old
"Actinomyces_odontolyticus_16227933:Actinomyces odontolyticus
",1-17岁,fifty-two year old
"Actinomyces_odontolyticus_16518008:Actinomyces odontolyticus
",none,.
"Actinomyces_odontolyticus_19136805:Actinomyces odontolyticus
",>65岁,68-year-old
"Actinomyces_odontolyticus_25748994:Actinomyces odontolyticus
",none,a patient with iatrogenic A-hypogammaglobulinemia].
"Actinomyces_odontolyticus_25988064:Actinomyces odontolyticus
",17-65岁,36-year-old
"Actinomyces_odontolyticus_29279791:Actinomyces odontolyticus
",1岁以下,11-month-old
"Actinomyces_odontolyticus_29988629:Actinomyces odontolyticus
",none,lobectomy.
"Actinomyces_odontolyticus_31464925:Actinomyces odontolyticus
",none,room
"Actinomyces_odontolyticus_31576208:Actinomyces odontolyticus
",>65岁,65-year-old
"Actinomyces_odontolyticus_31660290:Actinomyces odontolyticus
",17-65岁,60-year-old
"Actinomyces_odontolyticus_32042809:Actinomyces odontolyticus
",none,a
"Actinomyces_odontolyticus_8635341:Actinomyces odontolyticus
",none,second patient
"Bacteroides_11436922:Bacteroides
",1-17岁,16
"Bacteroides_11757959:Bacteroides
",17-65岁,30
"Bacteroides_12959026:Bacteroides
",none,lung
"Bacteroides_1425719:Bacteroides
",none,:
"Bacteroides_15599270:Bacteroides
",1-17岁,children
"Bacteroides_22346488:Bacteroides
",1-17岁,seven
"Bacteroides_24439468:Bacteroides
",17-65岁,60
"Bacteroides_25164409:Bacteroides
",17-65岁,adult
"Bacteroides_26185943:Bacteroides
",none,.
"Bacteroides_29204301:Bacteroides
",none,thrombophlebitis
"Bacteroides_3000667:Bacteroides
",17-65岁,16-20
"Bacteroides_3055099:Bacteroides
",17-65岁,39 years old
"Bacteroides_32277408:Bacteroides
",17-65岁,63
"Bacteroides_3290185:Bacteroides
",none,dependent
"Bacteroides_3291418:Bacteroides
",1-17岁,eight patients
"Bacteroides_3523069:Bacteroides
",none,:
"Bacteroides_369416:Bacteroides
",1-17岁,7
"Bacteroides_37594:Bacteroides
",none,.
"Bacteroides_3826924:Bacteroides
",none,.
"Bacteroides_477429:Bacteroides
",17-65岁,27
"Bacteroides_6222696:Bacteroides
",>65岁,69
"Bacteroides_6346729:Bacteroides
",none,:
"Bacteroides_6352619:Bacteroides
",17-65岁,32
"Bacteroides_6696329:Bacteroides
",1-17岁,1 yr
"Bacteroides_6718932:Bacteroides
",1-17岁,10
"Bacteroides_6785206:Bacteroides
",none,all
"Bacteroides_6990374:Bacteroides
",1-17岁,8
"Bacteroides_7001901:Bacteroides
",none,a
"Bacteroides_7002519:Bacteroides
",none,increasing
"Bacteroides_7389240:Bacteroides
",1岁以下,infants
"Bacteroides_7434283:Bacteroides
",17-65岁,20 and 50
"Bacteroides_7460462:Bacteroides
",>65岁,74
"Bacteroides_7629859:Bacteroides
",>65岁,197 (72
"Bacteroides_7752213:Bacteroides
",>65岁,418
"Bacteroides_7996025:Bacteroides
",none,.
"Bacteroides_8034995:Bacteroides
",>65岁,213
"Bacteroides_8060194:Bacteroides
",none,newborn
"Bacteroides_8324127:Bacteroides
",>65岁,193 reviewed
"Bacteroides_8324128:Bacteroides
",>65岁,110
"Bacteroides_8364428:Bacteroides
",>65岁,100
"Bacteroides_8486033:Bacteroides
",>65岁,197
"Bacteroides_9489438:Bacteroides
",17-65岁,40
"Bacteroides_fragilis_1041750:Bacteroides fragilis
",none,patients
"Bacteroides_fragilis_11436922:Bacteroides fragilis
",1-17岁,16
"Bacteroides_fragilis_1425719:Bacteroides fragilis
",none,:
"Bacteroides_fragilis_15599270:Bacteroides fragilis
",1-17岁,children
"Bacteroides_fragilis_2184407:Bacteroides fragilis
",>65岁,72
"Bacteroides_fragilis_2575644:Bacteroides fragilis
",17-65岁,21
"Bacteroides_fragilis_2686918:Bacteroides fragilis
",>65岁,82
"Bacteroides_fragilis_3000667:Bacteroides fragilis
",17-65岁,16-20
"Bacteroides_fragilis_30951830:Bacteroides fragilis
",>65岁,Elder
"Bacteroides_fragilis_352421:Bacteroides fragilis
",1-17岁,11
"Bacteroides_fragilis_380459:Bacteroides fragilis
",1-17岁,eight
"Bacteroides_fragilis_477429:Bacteroides fragilis
",17-65岁,27
"Bacteroides_fragilis_6110328:Bacteroides fragilis
",none,.
"Bacteroides_fragilis_6222696:Bacteroides fragilis
",>65岁,69
"Bacteroides_fragilis_6696329:Bacteroides fragilis
",1-17岁,1 yr
"Bacteroides_fragilis_6718932:Bacteroides fragilis
",none,desirable
"Bacteroides_fragilis_6990374:Bacteroides fragilis
",1-17岁,8
"Bacteroides_fragilis_7126499:Bacteroides fragilis
",1-17岁,15
"Bacteroides_fragilis_7389240:Bacteroides fragilis
",1岁以下,infants
"Bacteroides_fragilis_7460462:Bacteroides fragilis
",>65岁,74
"Bacteroides_fragilis_7752213:Bacteroides fragilis
",>65岁,418
"Bacteroides_fragilis_8034995:Bacteroides fragilis
",>65岁,213
"Bacteroides_fragilis_808801:Bacteroides fragilis
",none,:
"Bacteroides_fragilis_8486033:Bacteroides fragilis
",>65岁,197
"Bifidobacterium_628649:Bifidobacterium
",17-65岁,52-year-old
"Clostridium_botulinum_17724910:Clostridium botulinum
",>65岁,78-year-old
"Clostridium_botulinum_28348769:Clostridium botulinum
",>65岁,70-year-old
"Clostridium_botulinum_32521963:Clostridium botulinum
",1-17岁,"3, 3 and 8"
"Clostridium_botulinum_3887319:Clostridium botulinum
",1岁以下,infants
"Clostridium_botulinum_7036593:Clostridium botulinum
",1-17岁,4 weeks old
"Clostridium_difficile_23660799:Clostridium difficile
",>65岁,1993
"Clostridium_difficile_24535015:Clostridium difficile
",17-65岁,adult
"Clostridium_difficile_24773791:Clostridium difficile
",none,long-term
"Clostridium_difficile_25197879:Clostridium difficile
",>65岁,18 to 80
"Clostridium_difficile_25253977:Clostridium difficile
",none,a
"Clostridium_difficile_25987247:Clostridium difficile
",none,Surrey
"Clostridium_difficile_26126606:Clostridium difficile
",>65岁,65
"Clostridium_difficile_26518395:Clostridium difficile
",none,Henry
"Clostridium_difficile_27105657:Clostridium difficile
",none,age
"Clostridium_difficile_27527631:Clostridium difficile
",17-65岁,62-year-old
"Clostridium_difficile_27620311:Clostridium difficile
",none,in patients who developed CDI.
"Clostridium_difficile_27815923:Clostridium difficile
",>65岁,217
"Clostridium_difficile_28497295:Clostridium difficile
",none,old
"Clostridium_difficile_30301467:Clostridium difficile
",1岁以下,infant
"Clostridium_difficile_31023851:Clostridium difficile
",>65岁,1995
"Clostridium_difficile_31047954:Clostridium difficile
",>65岁,2001
"Clostridium_difficile_31284301:Clostridium difficile
",none,medical
"Clostridium_difficile_31371062:Clostridium difficile
",17-65岁,18
"Clostridium_difficile_31372907:Clostridium difficile
",none,devised
"Clostridium_difficile_31562598:Clostridium difficile
",none,setting
"Clostridium_difficile_31634096:Clostridium difficile
",none,determining
"Clostridium_difficile_31921413:Clostridium difficile
",>65岁,72
"Clostridium_difficile_32022877:Clostridium difficile
",>65岁,2005
"Clostridium_difficile_32065604:Clostridium difficile
",>65岁,"70 years [interquartile range, 62-81"
"Clostridium_difficile_32437825:Clostridium difficile
",>65岁,75
"Clostridium_difficile_32441243:Clostridium difficile
",1-17岁,9
"Clostridium_difficile_32508359:Clostridium difficile
",>65岁,1368
"Clostridium_difficile_32713744:Clostridium difficile
",>65岁,79
"Clostridium_difficile_32765885:Clostridium difficile
",>65岁,18 years or older
"Clostridium_difficile_32803988:Clostridium difficile
",17-65岁,64
"Clostridium_difficile_32866743:Clostridium difficile
",>65岁,"105,184"
"Clostridium_difficile_33105772:Clostridium difficile
",1-17岁,6
"Clostridium_difficile_33277995:Clostridium difficile
",1-17岁,younger
"Clostridium_difficile_33295435:Clostridium difficile
",1岁以下,infant
"Clostridium_difficile_33314875:Clostridium difficile
",none,age
"Clostridium_difficile_33344318:Clostridium difficile
",none,of
"Clostridium_perfringens_11307588:Clostridium perfringens
",17-65岁,adult
"Clostridium_perfringens_16276197:Clostridium perfringens
",1-17岁,12-yr-old
"Clostridium_perfringens_171947:Clostridium perfringens
",none,.
"Clostridium_perfringens_19144160:Clostridium perfringens
",>65岁,82 years old
"Clostridium_perfringens_19901370:Clostridium perfringens
",17-65岁,34
"Clostridium_perfringens_2200827:Clostridium perfringens
",none,pleural
"Clostridium_perfringens_2877498:Clostridium perfringens
",none,:
"Clostridium_perfringens_29108905:Clostridium perfringens
",none,to
"Clostridium_perfringens_30488175:Clostridium perfringens
",17-65岁,30
"Clostridium_perfringens_33295638:Clostridium perfringens
",17-65岁,18-year-old
"Clostridium_perfringens_33344302:Clostridium perfringens
",>65岁,80-year-old
"Clostridium_perfringens_3546148:Clostridium perfringens
",17-65岁,45
"Clostridium_perfringens_4312540:Clostridium perfringens
",none,tissue
"Clostridium_perfringens_4314032:Clostridium perfringens
",none,:
"Clostridium_perfringens_602960:Clostridium perfringens
",none,.
"Clostridium_perfringens_6095404:Clostridium perfringens
",none,patients
"Clostridium_perfringens_805193:Clostridium perfringens
",1-17岁,14
"Clostridium_perfringens_8447582:Clostridium perfringens
",none,a
"Clostridium_putrificum_17724910:Clostridium putrificum
",>65岁,78-year-old
"Clostridium_putrificum_28348769:Clostridium putrificum
",>65岁,70-year-old
"Clostridium_putrificum_32521963:Clostridium putrificum
",1-17岁,"3, 3 and 8"
"Clostridium_putrificum_3887319:Clostridium putrificum
",1岁以下,infants
"Clostridium_putrificum_7036593:Clostridium putrificum
",1-17岁,4 weeks old
"Clostridium_tetani_10410591:Clostridium tetani
",>65岁,elderly
"Clostridium_tetani_2583016:Clostridium tetani
",17-65岁,57-year-old
"Clostridium_tetani_27386340:Clostridium tetani
",1-17岁,15
"Clostridium_tetani_28535026:Clostridium tetani
",17-65岁,37
"Clostridium_tetani_29217961:Clostridium tetani
",1-17岁,8
"Clostridium_tetani_30294137:Clostridium tetani
",17-65岁,55-year-old
"Clostridium_tetani_31169668:Clostridium tetani
",17-65岁,63-year-old
"Clostridium_tetani_31559734:Clostridium tetani
",1-17岁,12-years-old
"Clostridium_tetani_32560315:Clostridium tetani
",17-65岁,48-year-old
"Eubacterium_3000667:Eubacterium
",17-65岁,16-20
"Eubacterium_7328011:Eubacterium
",none,elephant
"Fusobacterium_10551960:Fusobacterium
",17-65岁,30
"Fusobacterium_11399017:Fusobacterium
",none,here
"Fusobacterium_11422899:Fusobacterium
",17-65岁,17-year-old
"Fusobacterium_12689848:Fusobacterium
",>65岁,95
"Fusobacterium_12959026:Fusobacterium
",none,.
"Fusobacterium_15599270:Fusobacterium
",1-17岁,children
"Fusobacterium_15780418:Fusobacterium
",none,.
"Fusobacterium_16454590:Fusobacterium
",1-17岁,16-year-old
"Fusobacterium_16491835:Fusobacterium
",17-65岁,adult
"Fusobacterium_1783810:Fusobacterium
",>65岁,16 to 89
"Fusobacterium_18054276:Fusobacterium
",17-65岁,28-year-old
"Fusobacterium_18253750:Fusobacterium
",1-17岁,15-year-old
"Fusobacterium_18314296:Fusobacterium
",>65岁,68
"Fusobacterium_18365159:Fusobacterium
",17-65岁,18-year-old
"Fusobacterium_18547858:Fusobacterium
",17-65岁,44-year-old
"Fusobacterium_18552584:Fusobacterium
",none,patient
"Fusobacterium_19756057:Fusobacterium
",17-65岁,19-year-old
"Fusobacterium_20607669:Fusobacterium
",17-65岁,39-year old
"Fusobacterium_20862633:Fusobacterium
",1-17岁,15-year-old
"Fusobacterium_21233887:Fusobacterium
",none,a
"Fusobacterium_21499592:Fusobacterium
",17-65岁,46-year-old
"Fusobacterium_21546562:Fusobacterium
",none,a
"Fusobacterium_21596220:Fusobacterium
",1-17岁,seven
"Fusobacterium_21735747:Fusobacterium
",17-65岁,20-year-old
"Fusobacterium_21921428:Fusobacterium
",>65岁,91-year-old
"Fusobacterium_22090304:Fusobacterium
",none,old
"Fusobacterium_23722529:Fusobacterium
",none,one
"Fusobacterium_23797007:Fusobacterium
",17-65岁,24-year-old
"Fusobacterium_23868895:Fusobacterium
",none,entirely
"Fusobacterium_24003573:Fusobacterium
",none,presenting
"Fusobacterium_2497114:Fusobacterium
",none,:
"Fusobacterium_26163394:Fusobacterium
",1-17岁,young
"Fusobacterium_26179541:Fusobacterium
",17-65岁,33-year-old
"Fusobacterium_28698043:Fusobacterium
",none,A rare case of lemierre syndrome.
"Fusobacterium_29204301:Fusobacterium
",none,thrombophlebitis
"Fusobacterium_29626971:Fusobacterium
",1-17岁,two hospitals
"Fusobacterium_30473582:Fusobacterium
",17-65岁,21-year-old
"Fusobacterium_30709834:Fusobacterium
",1-17岁,young
"Fusobacterium_31556282:Fusobacterium
",17-65岁,19-year old
"Fusobacterium_31638919:Fusobacterium
",17-65岁,58-year-old
"Fusobacterium_31808441:Fusobacterium
",1-17岁,16-year-old
"Fusobacterium_32132153:Fusobacterium
",1-17岁,adolescent
"Fusobacterium_32231820:Fusobacterium
",17-65岁,27-year-old
"Fusobacterium_32257468:Fusobacterium
",17-65岁,20-year-old
"Fusobacterium_32624490:Fusobacterium
",17-65岁,29-year-old
"Fusobacterium_3290185:Fusobacterium
",none,dependent
"Fusobacterium_33003102:Fusobacterium
",1-17岁,15-year-old
"Fusobacterium_33040042:Fusobacterium
",1-17岁,young
"Fusobacterium_3453275:Fusobacterium
",none,one and one-half year old
"Fusobacterium_352421:Fusobacterium
",none,patients
"Fusobacterium_37594:Fusobacterium
",none,infections
"Fusobacterium_477429:Fusobacterium
",17-65岁,27
"Fusobacterium_6694861:Fusobacterium
",none,.
"Fusobacterium_6849207:Fusobacterium
",none,these
"Fusobacterium_7002519:Fusobacterium
",none,increasing
"Fusobacterium_7369198:Fusobacterium
",1-17岁,adolescent
"Fusobacterium_7713211:Fusobacterium
",1-17岁,young
"Fusobacterium_7752213:Fusobacterium
",>65岁,418
"Fusobacterium_7960743:Fusobacterium
",none,a patient recently
"Fusobacterium_8324127:Fusobacterium
",>65岁,193 reviewed
"Fusobacterium_8324128:Fusobacterium
",>65岁,110
"Fusobacterium_8685643:Fusobacterium
",1-17岁,10
"Fusobacterium_9181658:Fusobacterium
",none,died after the
"Fusobacterium_9480485:Fusobacterium
",17-65岁,60-year old
"Fusobacterium_9489438:Fusobacterium
",17-65岁,40
"Fusobacterium_necrophorum_11422899:Fusobacterium necrophorum
",17-65岁,17-year-old
"Fusobacterium_necrophorum_12441902:Fusobacterium necrophorum
",none,"pharyngitis,"
"Fusobacterium_necrophorum_16454590:Fusobacterium necrophorum
",1-17岁,16-year-old
"Fusobacterium_necrophorum_18054276:Fusobacterium necrophorum
",17-65岁,28-year-old
"Fusobacterium_necrophorum_18253750:Fusobacterium necrophorum
",1-17岁,15-year-old
"Fusobacterium_necrophorum_18314296:Fusobacterium necrophorum
",>65岁,68
"Fusobacterium_necrophorum_18365159:Fusobacterium necrophorum
",17-65岁,18-year-old
"Fusobacterium_necrophorum_18552584:Fusobacterium necrophorum
",none,old
"Fusobacterium_necrophorum_19756057:Fusobacterium necrophorum
",17-65岁,19-year-old
"Fusobacterium_necrophorum_20607669:Fusobacterium necrophorum
",17-65岁,39-year old
"Fusobacterium_necrophorum_20862633:Fusobacterium necrophorum
",1-17岁,15-year-old
"Fusobacterium_necrophorum_21233887:Fusobacterium necrophorum
",none,Olav's
"Fusobacterium_necrophorum_21546562:Fusobacterium necrophorum
",1-17岁,young
"Fusobacterium_necrophorum_21735747:Fusobacterium necrophorum
",17-65岁,20-year-old
"Fusobacterium_necrophorum_22090304:Fusobacterium necrophorum
",17-65岁,22 year-old
"Fusobacterium_necrophorum_2232147:Fusobacterium necrophorum
",17-65岁,62
"Fusobacterium_necrophorum_2312393:Fusobacterium necrophorum
",1-17岁,2
"Fusobacterium_necrophorum_23797007:Fusobacterium necrophorum
",17-65岁,24-year-old
"Fusobacterium_necrophorum_26163394:Fusobacterium necrophorum
",1-17岁,young
"Fusobacterium_necrophorum_26179541:Fusobacterium necrophorum
",17-65岁,33-year-old
"Fusobacterium_necrophorum_28698043:Fusobacterium necrophorum
",none,.
"Fusobacterium_necrophorum_29204301:Fusobacterium necrophorum
",none,.
"Fusobacterium_necrophorum_30473582:Fusobacterium necrophorum
",17-65岁,21-year-old
"Fusobacterium_necrophorum_30533234:Fusobacterium necrophorum
",17-65岁,22-year-old
"Fusobacterium_necrophorum_30709834:Fusobacterium necrophorum
",1-17岁,young
"Fusobacterium_necrophorum_31201970:Fusobacterium necrophorum
",17-65岁,63-year-old
"Fusobacterium_necrophorum_31211045:Fusobacterium necrophorum
",17-65岁,23-year-old
"Fusobacterium_necrophorum_31467732:Fusobacterium necrophorum
",none,man
"Fusobacterium_necrophorum_31556282:Fusobacterium necrophorum
",17-65岁,19-year old
"Fusobacterium_necrophorum_31638919:Fusobacterium necrophorum
",17-65岁,58-year-old
"Fusobacterium_necrophorum_31662923:Fusobacterium necrophorum
",none,old
"Fusobacterium_necrophorum_31795752:Fusobacterium necrophorum
",17-65岁,31-year-old
"Fusobacterium_necrophorum_31808441:Fusobacterium necrophorum
",1-17岁,16-year-old
"Fusobacterium_necrophorum_31819670:Fusobacterium necrophorum
",>65岁,70-year-old
"Fusobacterium_necrophorum_32132153:Fusobacterium necrophorum
",1-17岁,adolescent
"Fusobacterium_necrophorum_32161697:Fusobacterium necrophorum
",17-65岁,24-year-old
"Fusobacterium_necrophorum_32257468:Fusobacterium necrophorum
",17-65岁,20-year-old
"Fusobacterium_necrophorum_32371121:Fusobacterium necrophorum
",17-65岁,19-year-old
"Fusobacterium_necrophorum_32775208:Fusobacterium necrophorum
",>65岁,72-year-old
"Fusobacterium_necrophorum_32879837:Fusobacterium necrophorum
",17-65岁,19-year-old
"Fusobacterium_necrophorum_33003102:Fusobacterium necrophorum
",1-17岁,15-year-old
"Fusobacterium_necrophorum_33040042:Fusobacterium necrophorum
",1-17岁,young
"Fusobacterium_necrophorum_33127694:Fusobacterium necrophorum
",17-65岁,adolescents and young adult
"Fusobacterium_necrophorum_3453275:Fusobacterium necrophorum
",none,one and one-half year old
"Fusobacterium_necrophorum_6694861:Fusobacterium necrophorum
",none,effusions
"Fusobacterium_necrophorum_7369198:Fusobacterium necrophorum
",1-17岁,adolescent
"Fusobacterium_necrophorum_7713211:Fusobacterium necrophorum
",1-17岁,young
"Fusobacterium_necrophorum_8034995:Fusobacterium necrophorum
",>65岁,213
"Fusobacterium_necrophorum_813518:Fusobacterium necrophorum
",1-17岁,adolescent
"Fusobacterium_nucleatum_10551960:Fusobacterium nucleatum
",17-65岁,30
