,num,num_origin
"Andes_virus_8427974:Andes virus
",>100,738
"Andes_virus_8525335:Andes virus
",>100,105
"Andes_virus_8527558:Andes virus
",10-100,24 cases
"Andes_virus_8537665:Andes virus
",>100,385
"Andes_virus_8784877:Andes virus
",1,a
"Andes_virus_8964681:Andes virus
",none,:
"Andes_virus_9046232:Andes virus
",1,first documented case
"Andes_virus_9363136:Andes virus
",none,new
"Antequera_virus_20702662:Antequera virus
",>100,115
"Antequera_virus_31421285:Antequera virus
",10-100,87
"Apeu_virus_12467:Apeu virus
",none,some cases
"Apeu_virus_1928573:Apeu virus
",10-100,60
"Apeu_virus_31220115:Apeu virus
",10-100,94
"Apeu_virus_33630998:Apeu virus
",1,An
"Apeu_virus_9559529:Apeu virus
",none,:
"Araraquara_virus_24508343:Araraquara virus
",>100,4000
"Araraquara_virus_25076425:Araraquara virus
",>100,314
"Araraquara_virus_26132430:Araraquara virus
",10-100,37
"Araraquara_virus_27034670:Araraquara virus
",10-100,82
"Araraquara_virus_33909850:Araraquara virus
",1,first case
"Araraquara_virus_34105632:Araraquara virus
",1,A case
"Astrovirus_34605974:Astrovirus
",1-10,Five cases
"Australian_bat_lyssavirus_12088481:Australian bat lyssavirus
",1,a patient
"Australian_bat_lyssavirus_34673456:Australian bat lyssavirus
",none,:
"Baku_virus_10851986:Baku virus
",none,from patients
"Baku_virus_18590132:Baku virus
",none,:
"Baku_virus_32275257:Baku virus
",none,:
"Baku_virus_32275260:Baku virus
",none,we
"Baku_virus_33110743:Baku virus
",1,a case
"Baku_virus_34497715:Baku virus
",>100,2307
"Bangui_virus_23391188:Bangui virus
",10-100,49 of the 329 (14.9%) nasopharyngeal samples: 29
"Bangui_virus_34013070:Bangui virus
",>100,390
"Barmah_Forest_virus_18694529:Barmah Forest virus
",1-10,six
"Barmah_Forest_virus_19068981:Barmah Forest virus
",10-100,50
"Barmah_Forest_virus_29906040:Barmah Forest virus
",1,Case
"Barmah_Forest_virus_32215760:Barmah Forest virus
",none,:
"Barmah_Forest_virus_33406122:Barmah Forest virus
",>100,210
"Barmah_Forest_virus_33694220:Barmah Forest virus
",>100,1766
"Barmah_Forest_virus_34857965:Barmah Forest virus
",1,A
"Barmah_Forest_virus_9410246:Barmah Forest virus
",1,first case
"Batai_virus_33630998:Batai virus
",1,An
"Bayou_virus_19077779:Bayou virus
",1,a 1993 epidemic in the southwestern United States. This study reviewed all cases
"Bayou_virus_24274585:Bayou virus
",>100,624
"Bayou_virus_7561804:Bayou virus
",1,A
"Bayou_virus_7853545:Bayou virus
",1,a
"Bayou_virus_8879771:Bayou virus
",1,a
"Bayou_virus_9452404:Bayou virus
",1,third known case
"Belem_virus_22591236:Belem virus
",>100,243
"Belem_virus_27835759:Belem virus
",1-10,three
"Belem_virus_32781034:Belem virus
",1-10,nine patients
"Belem_virus_33070890:Belem virus
",1,Case
"Belem_virus_33186512:Belem virus
",10-100,Fifty
"Belem_virus_34008791:Belem virus
",10-100,"46,028"
"Belem_virus_34511064:Belem virus
",10-100,84
"Belem_virus_34702363:Belem virus
",1,A
"Belgrade_virus_33220441:Belgrade virus
",>100,107
"Belgrade_virus_33326871:Belgrade virus
",10-100,34
"Belgrade_virus_33847291:Belgrade virus
",10-100,24
"Belgrade_virus_33876965:Belgrade virus
",1,a
"Belgrade_virus_34260481:Belgrade virus
",10-100,19
"Belgrade_virus_34544179:Belgrade virus
",1,a
"Belgrade_virus_34562770:Belgrade virus
",none,article
"Belmont_virus_32505080:Belmont virus
",1,A case
"Belmont_virus_32539769:Belmont virus
",none,:
"Belmont_virus_33351830:Belmont virus
",none,admitted patients
"Benfica_virus_17207033:Benfica virus
",>100,203
"Bermejo_virus_24508343:Bermejo virus
",>100,4000
"Bermejo_virus_26041403:Bermejo virus
",1,first case
"Bermejo_virus_32376403:Bermejo virus
",none,:
"Bermejo_virus_32552792:Bermejo virus
",1,this case
"Bermejo_virus_32702723:Bermejo virus
",1,a
"Bermejo_virus_33755009:Bermejo virus
",10-100,20 support screening strategies.
"Bermejo_virus_34215803:Bermejo virus
",>100,298
"Bermejo_virus_34428858:Bermejo virus
",10-100,31
"Bhanja_virus_34466301:Bhanja virus
",1-10,two
"BK_polyomavirus_16153469:BK polyomavirus
",1,a case
"BK_polyomavirus_16305617:BK polyomavirus
",none,:This overview summarizes recent
"BK_polyomavirus_22959064:BK polyomavirus
",1,A
"BK_polyomavirus_22998078:BK polyomavirus
",1,a
"BK_polyomavirus_23782063:BK polyomavirus
",1,a
"BK_polyomavirus_26012149:BK polyomavirus
",10-100,36
"BK_polyomavirus_26814103:BK polyomavirus
",>100,615
"BK_polyomavirus_27228054:BK polyomavirus
",10-100,36
"BK_polyomavirus_27433463:BK polyomavirus
",10-100,79
"BK_polyomavirus_27595281:BK polyomavirus
",>100,127
"BK_polyomavirus_27653963:BK polyomavirus
",10-100,77
"BK_polyomavirus_27919133:BK polyomavirus
",1-10,6
"BK_polyomavirus_29877001:BK polyomavirus
",none,All patients
"BK_polyomavirus_29983984:BK polyomavirus
",1,a
"BK_polyomavirus_31322786:BK polyomavirus
",10-100,48
"BK_polyomavirus_31559731:BK polyomavirus
",1,an
"BK_polyomavirus_31707755:BK polyomavirus
",10-100,17
"BK_polyomavirus_32533615:BK polyomavirus
",1,a
"BK_polyomavirus_32711848:BK polyomavirus
",10-100,53
"BK_polyomavirus_32799433:BK polyomavirus
",>100,216
"BK_polyomavirus_33323766:BK polyomavirus
",10-100,30
"BK_polyomavirus_33335983:BK polyomavirus
",10-100,49
"BK_polyomavirus_34550000:BK polyomavirus
",>100,284
"BK_polyomavirus_34798365:BK polyomavirus
",10-100,36
"BK_polyomavirus_34936110:BK polyomavirus
",1-10,four cases
"BK_polyomavirus_9244421:BK polyomavirus
",1,an
"Black_Creek_Canal_virus_24274585:Black Creek Canal virus
",>100,624
"Black_Creek_Canal_virus_8579086:Black Creek Canal virus
",1,a
"Black_Creek_Canal_virus_8879771:Black Creek Canal virus
",1,a
"Bluetongue_virus_1472733:Bluetongue virus
",none,:
"Bovine_Ephemeral_Fever_virus_551359:Bovine Ephemeral Fever virus
",1,one
"Bozo_virus_34428858:Bozo virus
",10-100,50
"Bwamba_virus_31220115:Bwamba virus
",10-100,94
"Calchaqui_virus_33958604:Calchaqui virus
",>100,1495
"California_encephalitis_virus_17671056:California encephalitis virus
",>100,111 patients
"California_encephalitis_virus_32344276:California encephalitis virus
",none,patients
"California_encephalitis_virus_8106772:California encephalitis virus
",>100,218 patients
"Calovo_virus_33630998:Calovo virus
",1,An
"Castelo_dos_Sonhos_virus_10534737:Castelo dos Sonhos virus
",1,a
"Castelo_dos_Sonhos_virus_20835614:Castelo dos Sonhos virus
",none,:
"Castelo_dos_Sonhos_virus_24508343:Castelo dos Sonhos virus
",none,About
"Castelo_dos_Sonhos_virus_31130600:Castelo dos Sonhos virus
",>100,112
"CAS_virus_34562770:CAS virus
",none,article
"Catarina_virus_33175011:Catarina virus
",>100,"6,989"
"Catarina_virus_33331280:Catarina virus
",1,a
"Catarina_virus_33714813:Catarina virus
",1-10,three
"Catarina_virus_33785204:Catarina virus
",none,patients
"Catarina_virus_34213771:Catarina virus
",>100,271
"Catarina_virus_34231814:Catarina virus
",1,An
"Catarina_virus_34787263:Catarina virus
",1,A case
"Catu_virus_12467:Catu virus
",none,some cases
"Catu_virus_1928573:Catu virus
",10-100,60
"Catu_virus_31220115:Catu virus
",10-100,94
"Catu_virus_33630998:Catu virus
",1,An
"Catu_virus_9559529:Catu virus
",none,:
"Central_Plata_virus_11374136:Central Plata virus
",10-100,58
"Central_Plata_virus_26826986:Central Plata virus
",>100,1386
"Chaco_virus_27295701:Chaco virus
",>100,488
"Chaco_virus_32334847:Chaco virus
",1,a
"Chaco_virus_33053023:Chaco virus
",10-100,47
"Chandipura_virus_2420069:Chandipura virus
",>100,118
"Chandipura_virus_3002257:Chandipura virus
",none,:
"Chenuda_virus_29519857:Chenuda virus
",none,of confirmed cAHS cases
"Chikungunya_virus_11485641:Chikungunya virus
",none,.
"Chikungunya_virus_18694529:Chikungunya virus
",1-10,six
"Chikungunya_virus_19068981:Chikungunya virus
",10-100,50 patients
"Chikungunya_virus_26821179:Chikungunya virus
",>100,677
"Chikungunya_virus_27473947:Chikungunya virus
",>100,154
"Chikungunya_virus_29906040:Chikungunya virus
",1,Case
"Chikungunya_virus_32215760:Chikungunya virus
",none,:
"Chikungunya_virus_32308221:Chikungunya virus
",10-100,64
"Chikungunya_virus_33406122:Chikungunya virus
",>100,210
"Chikungunya_virus_33694220:Chikungunya virus
",>100,1766
"Chim_virus_32156607:Chim virus
",>100,4880
"Chim_virus_32474009:Chim virus
",none,.
"Chim_virus_32531257:Chim virus
",>100,123
"Chim_virus_32621814:Chim virus
",none,:
"Chim_virus_32659224:Chim virus
",none,the disease
"Chim_virus_32946791:Chim virus
",10-100,43
"Chim_virus_33002475:Chim virus
",none,patients
"Chim_virus_33159954:Chim virus
",1,a case
"Chim_virus_33741357:Chim virus
",10-100,34
"Chim_virus_34843703:Chim virus
",1,A
"Chim_virus_9730310:Chim virus
",1,A
"Choclo_virus_11062031:Choclo virus
",1,an
"Choclo_virus_20524006:Choclo virus
",10-100,14
"Choclo_virus_23836565:Choclo virus
",>100,117
"Choclo_virus_34851327:Choclo virus
",1,a
"Congo_virus_17888170:Congo virus
",1-10,three
"Congo_virus_18712099:Congo virus
",10-100,31
"Congo_virus_23169969:Congo virus
",1-10,5
"Congo_virus_2456715:Congo virus
",none,:
"Congo_virus_29450871:Congo virus
",10-100,60
"Congo_virus_31505631:Congo virus
",1,a
"Congo_virus_32774639:Congo virus
",none,:
"Congo_virus_33193965:Congo virus
",1,a
"Congo_virus_33539399:Congo virus
",>100,424
"Congo_virus_33650812:Congo virus
",1-10,eight
"Congo_virus_33823942:Congo virus
",1-10,two cases
"Congo_virus_34416809:Congo virus
",1,A
"Congo_virus_6897472:Congo virus
",1,a
"Connecticut_virus_34560045:Connecticut virus
",none,:
"Connecticut_virus_34851963:Connecticut virus
",>100,103
"Cowpox_virus_10405311:Cowpox virus
",1,a
"Cowpox_virus_17435100:Cowpox virus
",1,a
"Cowpox_virus_19769672:Cowpox virus
",1,a
"Cowpox_virus_24920091:Cowpox virus
",1,an
"Cowpox_virus_25972246:Cowpox virus
",1-10,five cases
"Cowpox_virus_28839944:Cowpox virus
",1-10,two cases
"coxsackievirus_A10_11136758:coxsackievirus A10
",>100,"2,295 virus infections were detected in 6,986 patients"
"coxsackievirus_A12_32436882:coxsackievirus A12
",10-100,82
"coxsackievirus_A16_19951666:coxsackievirus A16
",none,.
"coxsackievirus_A16_26521518:coxsackievirus A16
",10-100,eighteen
"coxsackievirus_A16_28866699:coxsackievirus A16
",1,A
"coxsackievirus_A16_33999799:coxsackievirus A16
",>100,959
"coxsackievirus_A1_30326889:coxsackievirus A1
",1,A
"coxsackievirus_A24_12854382:coxsackievirus A24
",>100,129
"coxsackievirus_A24_29650033:coxsackievirus A24
",10-100,51
"coxsackievirus_A2_12854382:coxsackievirus A2
",>100,129
"coxsackievirus_A2_20457425:coxsackievirus A2
",>100,280
"coxsackievirus_A2_21546563:coxsackievirus A2
",10-100,32
"coxsackievirus_A2_23876841:coxsackievirus A2
",1-10,4
"coxsackievirus_A2_26655266:coxsackievirus A2
",>100,470
"coxsackievirus_A2_27058330:coxsackievirus A2
",>100,290
"coxsackievirus_A2_27752104:coxsackievirus A2
",10-100,10 210
"coxsackievirus_A2_28852711:coxsackievirus A2
",10-100,21
"coxsackievirus_A2_30395634:coxsackievirus A2
",>100,599
"coxsackievirus_A2_33280235:coxsackievirus A2
",10-100,71
"coxsackievirus_A2_34794380:coxsackievirus A2
",1,a
"coxsackievirus_A4_24410962:coxsackievirus A4
",1,A
"coxsackievirus_A4_27246444:coxsackievirus A4
",>100,437
"coxsackievirus_A4_27752104:coxsackievirus A4
",>100,210
"coxsackievirus_A4_28724375:coxsackievirus A4
",1,A
"coxsackievirus_A4_30237097:coxsackievirus A4
",10-100,28
"coxsackievirus_A4_31983616:coxsackievirus A4
",1,a
"coxsackievirus_A6_31683008:coxsackievirus A6
",10-100,55
"coxsackievirus_A6_31870905:coxsackievirus A6
",>100,292
"coxsackievirus_A6_34064852:coxsackievirus A6
",>100,255
"coxsackievirus_A8_33084935:coxsackievirus A8
",none,patients
"coxsackievirus_A9_1113739:coxsackievirus A9
",1,An
"coxsackievirus_A9_11235909:coxsackievirus A9
",1,"A full-term, healthy male neonate was delivered by caesarian section to a"
"coxsackievirus_A9_1306597:coxsackievirus A9
",1,A
"coxsackievirus_A9_16095148:coxsackievirus A9
",1,a case of hyper-IgM1 syndrome in a
"coxsackievirus_A9_16450275:coxsackievirus A9
",1,a
"coxsackievirus_A9_19966312:coxsackievirus A9
",none,:
"coxsackievirus_A9_20729140:coxsackievirus A9
",>100,199
"coxsackievirus_A9_23347781:coxsackievirus A9
",>100,100
"coxsackievirus_A9_2540916:coxsackievirus A9
",10-100,67
"coxsackievirus_A9_30988475:coxsackievirus A9
",10-100,42
"coxsackievirus_A9_33150450:coxsackievirus A9
",>100,"18 261 specimens collected, EVs were detected in 625"
"coxsackievirus_A9_4385125:coxsackievirus A9
",none,:
"coxsackievirus_A9_5653627:coxsackievirus A9
",1-10,two
"coxsackievirus_A9_8261072:coxsackievirus A9
",10-100,21
"coxsackievirus_A9_910771:coxsackievirus A9
",none,:
"coxsackievirus_A_20599410:coxsackievirus A
",10-100,of enterovirus 71 (EV71) cases
"coxsackievirus_A_21604573:coxsackievirus A
",>100,201
"coxsackievirus_A_33715290:coxsackievirus A
",>100,2244
"coxsackievirus_B1_16280613:coxsackievirus B1
",>100,2701
"coxsackievirus_B1_26935868:coxsackievirus B1
",>100,126
"coxsackievirus_B1_27058330:coxsackievirus B1
",>100,290
"coxsackievirus_B1_28298902:coxsackievirus B1
",10-100,38
"coxsackievirus_B1_28724375:coxsackievirus B1
",1,A
"coxsackievirus_B1_28852711:coxsackievirus B1
",10-100,21
"coxsackievirus_B1_30229724:coxsackievirus B1
",10-100,45
"coxsackievirus_B1_33280235:coxsackievirus B1
",10-100,71
"coxsackievirus_B1_33999799:coxsackievirus B1
",>100,959
"coxsackievirus_B1_4199715:coxsackievirus B1
",>100,259
"coxsackievirus_B2_27195770:coxsackievirus B2
",>100,179
"coxsackievirus_B2_33999799:coxsackievirus B2
",>100,959
"coxsackievirus_B2_4199715:coxsackievirus B2
",>100,259
"coxsackievirus_B3_29396353:coxsackievirus B3
",10-100,12
"coxsackievirus_B3_30988475:coxsackievirus B3
",10-100,42
"coxsackievirus_B3_31354952:coxsackievirus B3
",10-100,26
"coxsackievirus_B3_32947598:coxsackievirus B3
",>100,114
"coxsackievirus_B3_33575465:coxsackievirus B3
",none,:
"coxsackievirus_B3_33999799:coxsackievirus B3
",>100,959
"coxsackievirus_B3_34153861:coxsackievirus B3
",>100,"1,498"
"coxsackievirus_B3_34452471:coxsackievirus B3
",10-100,73
"coxsackievirus_B3_4199715:coxsackievirus B3
",>100,259
"coxsackievirus_B4_16095148:coxsackievirus B4
",1,a case of hyper-IgM1 syndrome in a
"coxsackievirus_B4_32714705:coxsackievirus B4
",1,A
"coxsackievirus_B4_4199715:coxsackievirus B4
",>100,259
"coxsackievirus_B5_4199715:coxsackievirus B5
",>100,259
"coxsackievirus_B5_5844200:coxsackievirus B5
",1-10,Two cases
"coxsackievirus_B6_16280613:coxsackievirus B6
",>100,2701
"coxsackievirus_B6_21537784:coxsackievirus B6
",1,a
"coxsackievirus_B6_4199715:coxsackievirus B6
",>100,259
"coxsackievirus_B6_6302218:coxsackievirus B6
",10-100,78
"coxsackievirus_B6_7650200:coxsackievirus B6
",>100,495
"coxsackievirus_B_11235909:coxsackievirus B
",1,a
"coxsackievirus_B_16095148:coxsackievirus B
",1,a case of hyper-IgM1 syndrome in a
"coxsackievirus_B_16450275:coxsackievirus B
",1,a
"coxsackievirus_B_19966312:coxsackievirus B
",none,:
"coxsackievirus_B_20729140:coxsackievirus B
",>100,199
"coxsackievirus_B_23347781:coxsackievirus B
",>100,100
"coxsackievirus_B_30988475:coxsackievirus B
",10-100,42
"coxsackievirus_B_33722228:coxsackievirus B
",>100,237
"coxsackievirus_B_4385125:coxsackievirus B
",none,:
"coxsackievirus_B_5653627:coxsackievirus B
",1-10,two
"coxsackievirus_B_8261072:coxsackievirus B
",10-100,21
"coxsackievirus_B_910771:coxsackievirus B
",none,:
"Crimean-Congo_hemorrhagic_fever_22120806:Crimean-Congo hemorrhagic fever
",1,a case
"Crimean-Congo_hemorrhagic_fever_23621726:Crimean-Congo hemorrhagic fever
",10-100,53
"Crimean-Congo_hemorrhagic_fever_29450871:Crimean-Congo hemorrhagic fever
",10-100,60
"Crimean-Congo_hemorrhagic_fever_33316200:Crimean-Congo hemorrhagic fever
",1,A
"Crimean-Congo_hemorrhagic_fever_33849418:Crimean-Congo hemorrhagic fever
",>100,942
"Crimean-Congo_hemorrhagic_fever_33904695:Crimean-Congo hemorrhagic fever
",none,:
"Crimean-Congo_hemorrhagic_fever_34416809:Crimean-Congo hemorrhagic fever
",1,A
"Crimean-Congo_hemorrhagic_fever_34531189:Crimean-Congo hemorrhagic fever
",10-100,58
"Crimean_Hemorrhagic_Fever_virus_29450871:Crimean Hemorrhagic Fever virus
",10-100,60
"Crimean_Hemorrhagic_Fever_virus_33316200:Crimean Hemorrhagic Fever virus
",1,A
"Crimean_Hemorrhagic_Fever_virus_33849418:Crimean Hemorrhagic Fever virus
",>100,942
"Crimean_Hemorrhagic_Fever_virus_33904695:Crimean Hemorrhagic Fever virus
",none,:
"Crimean_Hemorrhagic_Fever_virus_34416809:Crimean Hemorrhagic Fever virus
",1,A
"Crimean_Hemorrhagic_Fever_virus_34531189:Crimean Hemorrhagic Fever virus
",10-100,58
"Cuiaba_virus_30360748:Cuiaba virus
",10-100,27
"Cuiaba_virus_31573747:Cuiaba virus
",1,a
"Cuiaba_virus_33656128:Cuiaba virus
",none,was conducted
"Dengue_2_virus_33901185:Dengue 2 virus
",10-100,80
"Dengue_2_virus_33956939:Dengue 2 virus
",1,1
"Dengue_2_virus_34094622:Dengue 2 virus
",1,a case
"Dengue_2_virus_34172701:Dengue 2 virus
",1,a
"Dengue_2_virus_34181577:Dengue 2 virus
",1,a
"Dengue_2_virus_34186213:Dengue 2 virus
",10-100,50
"Dengue_2_virus_34340682:Dengue 2 virus
",1,a
"Dengue_2_virus_34436792:Dengue 2 virus
",1,an
"Dengue_2_virus_34461977:Dengue 2 virus
",1,a
"Dengue_2_virus_34517998:Dengue 2 virus
",none,.
"Dengue_2_virus_34804700:Dengue 2 virus
",1,A
"Dengue_2_virus_34987943:Dengue 2 virus
",1,an
"Dengue_4_virus_20420502:Dengue 4 virus
",10-100,43
"Dengue_4_virus_2042704:Dengue 4 virus
",>100,278
"Dengue_4_virus_22232450:Dengue 4 virus
",>100,226
"Dengue_4_virus_23593267:Dengue 4 virus
",>100,1180
"Dengue_4_virus_26821179:Dengue 4 virus
",>100,677
"Dengue_4_virus_27159214:Dengue 4 virus
",>100,3851
"Dengue_4_virus_27473947:Dengue 4 virus
",>100,154
"Dengue_4_virus_32896654:Dengue 4 virus
",>100,519
"Dengue_4_virus_33259817:Dengue 4 virus
",>100,178
"Dengue_4_virus_33331656:Dengue 4 virus
",1,a systematic review and meta-analyses
"Dengue_4_virus_33354821:Dengue 4 virus
",10-100,99
"Dengue_4_virus_33901185:Dengue 4 virus
",10-100,80
"Dengue_4_virus_33956939:Dengue 4 virus
",1,1
"Dengue_4_virus_34186213:Dengue 4 virus
",10-100,50
"Dengue_4_virus_34583338:Dengue 4 virus
",1-10,Two hundred
"Dengue_virus_33259817:Dengue virus
",1,One
"Dengue_virus_33347804:Dengue virus
",1-10,8 patients
"Dengue_virus_33406122:Dengue virus
",>100,210
"Dengue_virus_33481738:Dengue virus
",1,an
"Dengue_virus_33771221:Dengue virus
",1,a
"Dengue_virus_33956939:Dengue virus
",10-100,14
"Dengue_virus_34094622:Dengue virus
",1,a case
"Dengue_virus_34172701:Dengue virus
",1,a
"Dengue_virus_34181577:Dengue virus
",1,a
"Dengue_virus_34340682:Dengue virus
",1,a
"Dengue_virus_34436792:Dengue virus
",1,an
"Dengue_virus_34804700:Dengue virus
",1,A
"Dobrava-Belgrade_virus_10413962:Dobrava-Belgrade virus
",1-10,Two cases
"Dobrava-Belgrade_virus_10742726:Dobrava-Belgrade virus
",1-10,three
"Dobrava-Belgrade_virus_10780770:Dobrava-Belgrade virus
",>100,241
"Dobrava-Belgrade_virus_11035576:Dobrava-Belgrade virus
",1-10,Seven
"Dobrava-Belgrade_virus_11244810:Dobrava-Belgrade virus
",>100,129
"Dobrava-Belgrade_virus_11784935:Dobrava-Belgrade virus
",none,:The seroprevalence of Chlamydia pneumoniae and Mycoplasma pneumoniae in hantavirus seronegative patients
"Dobrava-Belgrade_virus_12376607:Dobrava-Belgrade virus
",none,:
"Dobrava-Belgrade_virus_12878094:Dobrava-Belgrade virus
",>100,492
"Dobrava-Belgrade_virus_12890323:Dobrava-Belgrade virus
",1-10,six patients
"Dobrava-Belgrade_virus_12966548:Dobrava-Belgrade virus
",>100,818
"Dobrava-Belgrade_virus_14532254:Dobrava-Belgrade virus
",1,a
"Dobrava-Belgrade_virus_15163237:Dobrava-Belgrade virus
",1,An
"Dobrava-Belgrade_virus_15474623:Dobrava-Belgrade virus
",1,Case
"Dobrava-Belgrade_virus_15763221:Dobrava-Belgrade virus
",1,a patient
"Dobrava-Belgrade_virus_16676106:Dobrava-Belgrade virus
",10-100,98
"Dobrava-Belgrade_virus_16810539:Dobrava-Belgrade virus
",1,A
"Dobrava-Belgrade_virus_17146421:Dobrava-Belgrade virus
",none,.
"Dobrava-Belgrade_virus_17694939:Dobrava-Belgrade virus
",1,A
"Dobrava-Belgrade_virus_18460521:Dobrava-Belgrade virus
",none,:
"Dobrava-Belgrade_virus_18712099:Dobrava-Belgrade virus
",10-100,31
"Dobrava-Belgrade_virus_18992690:Dobrava-Belgrade virus
",1,A
"Dobrava-Belgrade_virus_19199189:Dobrava-Belgrade virus
",none,reaction
"Dobrava-Belgrade_virus_19268795:Dobrava-Belgrade virus
",none,:
"Dobrava-Belgrade_virus_19684976:Dobrava-Belgrade virus
",10-100,70
"Dobrava-Belgrade_virus_20087179:Dobrava-Belgrade virus
",1-10,Two
"Dobrava-Belgrade_virus_20171551:Dobrava-Belgrade virus
",none,.
"Dobrava-Belgrade_virus_21670936:Dobrava-Belgrade virus
",none,:
"Dobrava-Belgrade_virus_23282770:Dobrava-Belgrade virus
",>100,159
"Dobrava-Belgrade_virus_23670277:Dobrava-Belgrade virus
",1,Another case
"Dobrava-Belgrade_virus_24094390:Dobrava-Belgrade virus
",1,an
"Dobrava-Belgrade_virus_2572978:Dobrava-Belgrade virus
",1,Another case
"Dobrava-Belgrade_virus_26087934:Dobrava-Belgrade virus
",10-100,73
"Dobrava-Belgrade_virus_27960210:Dobrava-Belgrade virus
",none,:
"Dobrava-Belgrade_virus_29129538:Dobrava-Belgrade virus
",none,:
"Dobrava-Belgrade_virus_30136660:Dobrava-Belgrade virus
",1,a
"Dobrava-Belgrade_virus_30893528:Dobrava-Belgrade virus
",1-10,3
"Dobrava-Belgrade_virus_32837494:Dobrava-Belgrade virus
",none,:
"Dobrava-Belgrade_virus_33666908:Dobrava-Belgrade virus
",1,a
"Dobrava-Belgrade_virus_33704045:Dobrava-Belgrade virus
",1-10,2
"Dobrava-Belgrade_virus_34066699:Dobrava-Belgrade virus
",none,:
"Dobrava-Belgrade_virus_34202952:Dobrava-Belgrade virus
",>100,185
"Dobrava-Belgrade_virus_34207939:Dobrava-Belgrade virus
",>100,301
"Dobrava-Belgrade_virus_34211356:Dobrava-Belgrade virus
",none,piece
"Dobrava-Belgrade_virus_34222146:Dobrava-Belgrade virus
",none,adult
"Dobrava-Belgrade_virus_34271201:Dobrava-Belgrade virus
",>100,175
"Dobrava-Belgrade_virus_34287302:Dobrava-Belgrade virus
",1,a
"Dobrava-Belgrade_virus_34350315:Dobrava-Belgrade virus
",>100,385
