,age,age_origin
"Aujeszky's_disease_virus_193243:Aujeszky's disease virus
",none,serologic
"Aujeszky's_disease_virus_3032388:Aujeszky's disease virus
",none,same building
"Aujeszky's_disease_virus_31408708:Aujeszky's disease virus
",none,jobs
"Aujeszky's_disease_virus_4298985:Aujeszky's disease virus
",none,Prelininary
"Aujeszky's_disease_virus_4375835:Aujeszky's disease virus
",none,pigs
"Aujeszky's_disease_virus_4375836:Aujeszky's disease virus
",none,virus.ABSTRACT:
"Aujeszky's_disease_virus_5145357:Aujeszky's disease virus
",none,pigs
"Aujeszky's_disease_virus_9450249:Aujeszky's disease virus
",1-17岁,"1 week old, 1:10 in pigs 5 weeks old"
"Auzduk_disease_virus_34967364:Auzduk disease virus
",>65岁,285
"Auzduk_disease_virus_34967391:Auzduk disease virus
",none,","
"Auzduk_disease_virus_34969237:Auzduk disease virus
",none,a female
"Auzduk_disease_virus_34969371:Auzduk disease virus
",1-17岁,young
"Auzduk_disease_virus_34969397:Auzduk disease virus
",1-17岁,10
"Auzduk_disease_virus_34969772:Auzduk disease virus
",none,'
"Auzduk_disease_virus_34969944:Auzduk disease virus
",17-65岁,42
"Auzduk_disease_virus_34970399:Auzduk disease virus
",none,several
"Auzduk_disease_virus_34972531:Auzduk disease virus
",17-65岁,54 (45-62
"Auzduk_disease_virus_34974546:Auzduk disease virus
",>65岁,65
"Auzduk_disease_virus_34976489:Auzduk disease virus
",none,g
"Auzduk_disease_virus_34976917:Auzduk disease virus
",none,in-person
"Auzduk_disease_virus_34976930:Auzduk disease virus
",1-17岁,one- to six-year-old
"Auzduk_disease_virus_34977051:Auzduk disease virus
",17-65岁,60 year-old
"Auzduk_disease_virus_34979686:Auzduk disease virus
",1-17岁,young
"Auzduk_disease_virus_34981690:Auzduk disease virus
",none,reduction
"Auzduk_disease_virus_34981695:Auzduk disease virus
",1-17岁,younger
"Auzduk_disease_virus_34982463:Auzduk disease virus
",17-65岁,60-year-old
"Auzduk_disease_virus_34982465:Auzduk disease virus
",17-65岁,middle-aged
"Auzduk_disease_virus_34985120:Auzduk disease virus
",none,IHCA
"Auzduk_disease_virus_34986935:Auzduk disease virus
",>65岁,2019
"Auzduk_disease_virus_34987501:Auzduk disease virus
",1-17岁,eight-year old
"Auzduk_disease_virus_34987943:Auzduk disease virus
",1-17岁,eight-year-old
"Auzduk_disease_virus_34990342:Auzduk disease virus
",none,contagion and costs associated to medical care. This review of the principal dermatologic conditions during confinement
"Auzduk_disease_virus_34990346:Auzduk disease virus
",17-65岁,40
"Auzduk_disease_virus_34993157:Auzduk disease virus
",1-17岁,six
"Avian_carcinoma_10444952:Avian carcinoma
",17-65岁,39-year old
"Avian_carcinoma_13464959:Avian carcinoma
",none,A case of chicken-pox pneumonia with x-ray findings suggesting metastatic carcinoma.
"Avian_carcinoma_23772455:Avian carcinoma
",1-17岁,9-year-old
"Avian_encephalomyelitis_virus_19428570:Avian encephalomyelitis virus
",>65岁,112
"Avian_infectious_bronchitis_virus_10084516:Avian infectious bronchitis virus
",1-17岁,young
"Avian_infectious_bronchitis_virus_11402514:Avian infectious bronchitis virus
",>65岁,81
"Avian_infectious_bronchitis_virus_11780266:Avian infectious bronchitis virus
",none,care
"Avian_infectious_bronchitis_virus_11941552:Avian infectious bronchitis virus
",>65岁,1792
"Avian_infectious_bronchitis_virus_12424681:Avian infectious bronchitis virus
",1-17岁,16
"Avian_infectious_bronchitis_virus_12754459:Avian infectious bronchitis virus
",1-17岁,2
"Avian_infectious_bronchitis_virus_14720004:Avian infectious bronchitis virus
",17-65岁,45
"Avian_infectious_bronchitis_virus_14747964:Avian infectious bronchitis virus
",1-17岁,two
"Avian_infectious_bronchitis_virus_15356830:Avian infectious bronchitis virus
",17-65岁,23
"Avian_infectious_bronchitis_virus_15642235:Avian infectious bronchitis virus
",1-17岁,6
"Avian_infectious_bronchitis_virus_15894841:Avian infectious bronchitis virus
",none,judicial
"Avian_infectious_bronchitis_virus_16167272:Avian infectious bronchitis virus
",1-17岁,0 to 16
"Avian_infectious_bronchitis_virus_16586359:Avian infectious bronchitis virus
",1-17岁,15
"Avian_infectious_bronchitis_virus_17984837:Avian infectious bronchitis virus
",>65岁,152
"Avian_infectious_bronchitis_virus_19164432:Avian infectious bronchitis virus
",>65岁,221
"Avian_infectious_bronchitis_virus_19292960:Avian infectious bronchitis virus
",1-17岁,1
"Avian_infectious_bronchitis_virus_20109989:Avian infectious bronchitis virus
",17-65岁,adults
"Avian_infectious_bronchitis_virus_20143214:Avian infectious bronchitis virus
",1-17岁,13
"Avian_infectious_bronchitis_virus_20160606:Avian infectious bronchitis virus
",17-65岁,adult
"Avian_infectious_bronchitis_virus_20499655:Avian infectious bronchitis virus
",>65岁,17-71
"Avian_infectious_bronchitis_virus_21163036:Avian infectious bronchitis virus
",none,general
"Avian_infectious_bronchitis_virus_21453970:Avian infectious bronchitis virus
",1-17岁,young
"Avian_infectious_bronchitis_virus_21880125:Avian infectious bronchitis virus
",1-17岁,7.5 years (range 0.1-15
"Avian_infectious_bronchitis_virus_22460392:Avian infectious bronchitis virus
",none,population
"Avian_infectious_bronchitis_virus_22734294:Avian infectious bronchitis virus
",1-17岁,4
"Avian_infectious_bronchitis_virus_23221145:Avian infectious bronchitis virus
",17-65岁,47
"Avian_infectious_bronchitis_virus_23570768:Avian infectious bronchitis virus
",17-65岁,adults
"Avian_infectious_bronchitis_virus_23698479:Avian infectious bronchitis virus
",none,ones
"Avian_infectious_bronchitis_virus_25966820:Avian infectious bronchitis virus
",>65岁,14 months (5-80
"Avian_infectious_bronchitis_virus_3046192:Avian infectious bronchitis virus
",none,.
"Avian_infectious_bronchitis_virus_30584049:Avian infectious bronchitis virus
",none,of
"Avian_infectious_bronchitis_virus_31066061:Avian infectious bronchitis virus
",>65岁,65
"Avian_infectious_bronchitis_virus_31093225:Avian infectious bronchitis virus
",>65岁,74
"Avian_infectious_bronchitis_virus_31130122:Avian infectious bronchitis virus
",17-65岁,1 month-18
"Avian_infectious_bronchitis_virus_31257406:Avian infectious bronchitis virus
",1-17岁,0-2
"Avian_infectious_bronchitis_virus_31996093:Avian infectious bronchitis virus
",>65岁,2018
"Avian_infectious_bronchitis_virus_32226645:Avian infectious bronchitis virus
",none,recipients
"Avian_infectious_bronchitis_virus_32308494:Avian infectious bronchitis virus
",none,retail
"Avian_infectious_bronchitis_virus_32731716:Avian infectious bronchitis virus
",17-65岁,adult
"Avian_infectious_bronchitis_virus_3283884:Avian infectious bronchitis virus
",none,1950s
"Avian_infectious_bronchitis_virus_33249989:Avian infectious bronchitis virus
",1-17岁,less than eleven
"Avian_infectious_bronchitis_virus_33971146:Avian infectious bronchitis virus
",none,casts
"Avian_infectious_bronchitis_virus_34116347:Avian infectious bronchitis virus
",>65岁,2019
"Avian_infectious_bronchitis_virus_34147497:Avian infectious bronchitis virus
",none,:
"Avian_infectious_bronchitis_virus_34441292:Avian infectious bronchitis virus
",>65岁,35-96
"Avian_infectious_bronchitis_virus_34648561:Avian infectious bronchitis virus
",none,guidance
"Avian_infectious_bronchitis_virus_34865877:Avian infectious bronchitis virus
",>65岁,2018
"Avian_infectious_bronchitis_virus_3493694:Avian infectious bronchitis virus
",none,homosexual
"Avian_infectious_bronchitis_virus_34987501:Avian infectious bronchitis virus
",1-17岁,eight-year old
"Avian_infectious_bronchitis_virus_4075365:Avian infectious bronchitis virus
",none,basically healthy
"Avian_infectious_bronchitis_virus_7938988:Avian infectious bronchitis virus
",none,first
"Avian_infectious_bronchitis_virus_8092913:Avian infectious bronchitis virus
",1-17岁,10
"Avian_infectious_bronchitis_virus_8268355:Avian infectious bronchitis virus
",>65岁,108
"Avian_infectious_bronchitis_virus_8537596:Avian infectious bronchitis virus
",>65岁,older
"Avian_infectious_bronchitis_virus_9072495:Avian infectious bronchitis virus
",17-65岁,60
"Avian_infectious_bronchitis_virus_9323784:Avian infectious bronchitis virus
",1-17岁,16 years old
"Avian_infectious_bronchitis_virus_9405940:Avian infectious bronchitis virus
",none,Italian
"Avian_paramyxovirus_1_13076240:Avian paramyxovirus 1
",none,mice
"Avian_paramyxovirus_1_14902770:Avian paramyxovirus 1
",none,of mice.
"Avian_paramyxovirus_1_17855523:Avian paramyxovirus 1
",none,a patient who
"Avian_paramyxovirus_1_20406088:Avian paramyxovirus 1
",none,outcomes
"Avian_paramyxovirus_1_24239518:Avian paramyxovirus 1
",none,s
"Avian_paramyxovirus_1_29373675:Avian paramyxovirus 1
",none,.
"Avian_paramyxovirus_1_32087815:Avian paramyxovirus 1
",1-17岁,5
"Avian_paramyxovirus_1_32233034:Avian paramyxovirus 1
",none,.
"Avian_paramyxovirus_1_32983152:Avian paramyxovirus 1
",none,dysregulation
"Avian_paramyxovirus_1_33013412:Avian paramyxovirus 1
",none,patients
"Avian_paramyxovirus_1_33982333:Avian paramyxovirus 1
",>65岁,122
"Avian_paramyxovirus_1_4914089:Avian paramyxovirus 1
",1-17岁,five
"Avian_paramyxovirus_1_6198976:Avian paramyxovirus 1
",17-65岁,19
"Avian_paramyxovirus_1_8396437:Avian paramyxovirus 1
",>65岁,1987
"Avian_paramyxovirus_1_961435:Avian paramyxovirus 1
",>65岁,148
"Avian_paramyxovirus_2_14902770:Avian paramyxovirus 2
",none,of mice.
"Avian_paramyxovirus_4_961435:Avian paramyxovirus 4
",>65岁,148
"Avian_paramyxovirus_6_11385510:Avian paramyxovirus 6
",1-17岁,five
"Avian_paramyxovirus_6_30390413:Avian paramyxovirus 6
",1-17岁,8
"Avian_paramyxovirus_7_11385510:Avian paramyxovirus 7
",1-17岁,five
"Avian_paramyxovirus_7_29373675:Avian paramyxovirus 7
",none,.
"Avian_paramyxovirus_8_28577214:Avian paramyxovirus 8
",none,Kazakhstan
"Avian_paramyxovirus_8_30390413:Avian paramyxovirus 8
",1-17岁,8
"Avian_reovirus_6_9567302:Avian reovirus 6
",none,Lebanon
"Avian_reovirus_7_9567302:Avian reovirus 7
",none,Lebanon
"Avian_reovirus_8_9567302:Avian reovirus 8
",none,Lebanon
"B19_virus_10354011:B19 virus
",1-17岁,1 to 12
"B19_virus_11582920:B19 virus
",1-17岁,four
"B19_virus_12848745:B19 virus
",none,bone-marrow
"B19_virus_14556063:B19 virus
",1-17岁,11-year-old
"B19_virus_16462583:B19 virus
",1-17岁,16-year-old
"B19_virus_16503960:B19 virus
",17-65岁,adult
"B19_virus_17468770:B19 virus
",1-17岁,child
"B19_virus_17906838:B19 virus
",>65岁,elderly
"B19_virus_19486795:B19 virus
",17-65岁,40-year-old
"B19_virus_21532231:B19 virus
",>65岁,70-year-old
"B19_virus_22717293:B19 virus
",17-65岁,46-year-old
"B19_virus_24356475:B19 virus
",none,A
"B19_virus_28397477:B19 virus
",1-17岁,0 - 5
"B19_virus_30159289:B19 virus
",>65岁,156
"B19_virus_30281528:B19 virus
",17-65岁,21-year-old
"B19_virus_31220115:B19 virus
",17-65岁,2-54
"B19_virus_32928810:B19 virus
",17-65岁,44-year-old
"B19_virus_34451422:B19 virus
",1-17岁,5-year old
"B19_virus_34676356:B19 virus
",17-65岁,18-year-old
"B19_virus_34774573:B19 virus
",17-65岁,18
"B19_virus_34970255:B19 virus
",17-65岁,43-year-old
"B19_virus_9747749:B19 virus
",none,under diagnosed cause of community acquired pneumonia.
"B19_virus_9859908:B19 virus
",none,:
"B19_virus_9870672:B19 virus
",>65岁,10 to 78
"B19_virus_9973642:B19 virus
",none,A
"Babahoya_virus_34976930:Babahoya virus
",1-17岁,one- to six-year-old
"Babahoya_virus_34979686:Babahoya virus
",1-17岁,young
"Babahoya_virus_34981690:Babahoya virus
",none,reduction
"Babahoya_virus_34981695:Babahoya virus
",1-17岁,younger
"Babahoya_virus_34982460:Babahoya virus
",17-65岁,38-year-old
"Babahoya_virus_34982465:Babahoya virus
",17-65岁,middle-aged
"Babahoya_virus_34987123:Babahoya virus
",none,"intestines,"
"Babahoya_virus_34987501:Babahoya virus
",1-17岁,eight-year old
"Babahoya_virus_34987943:Babahoya virus
",1-17岁,eight-year-old
"Babahoya_virus_34988242:Babahoya virus
",17-65岁,40-year-old
"Babahoya_virus_34990346:Babahoya virus
",17-65岁,40
"Babahoya_virus_34992722:Babahoya virus
",none,care
"Babahoya_virus_34993157:Babahoya virus
",1-17岁,six
"Baboon_herpesvirus_16539338:Baboon herpesvirus
",1-17岁,7-d-old
"Baboon_herpesvirus_18081530:Baboon herpesvirus
",1-17岁,6.5-year-old
"Bahia_Grande_virus_28427542:Bahia Grande virus
",17-65岁,adults
"Baku_virus_10851986:Baku virus
",none,from
"Baku_virus_18590132:Baku virus
",none,age
"Baku_virus_32275257:Baku virus
",none,s
"Baku_virus_33110743:Baku virus
",none,humanity
"Baku_virus_34497715:Baku virus
",17-65岁,15-55
"Bangui_virus_23391188:Bangui virus
",1-17岁,0-15
"Bangui_virus_34013070:Bangui virus
",1-17岁,5
"Barmah_Forest_virus_18694529:Barmah Forest virus
",none,age
"Barmah_Forest_virus_19068981:Barmah Forest virus
",1-17岁,9
"Barmah_Forest_virus_29906040:Barmah Forest virus
",none,may
"Barmah_Forest_virus_32215760:Barmah Forest virus
",17-65岁,50
"Barmah_Forest_virus_33406122:Barmah Forest virus
",none,patients
"Barmah_Forest_virus_33694220:Barmah Forest virus
",>65岁,1766
"Barmah_Forest_virus_34857965:Barmah Forest virus
",1岁以下,5-month-old
"Barmah_Forest_virus_9410246:Barmah Forest virus
",17-65岁,adults
"Batai_virus_33630998:Batai virus
",17-65岁,adult
"Batarna_virus_34976930:Batarna virus
",1-17岁,one- to six-year-old
"Batarna_virus_34979686:Batarna virus
",1-17岁,young
